lat,lon,desirable_score,total_deductions,overall_score,final_score
30.4,-85.6,0.0,0,0,0
30.4,-85.58,0.0,0,0,0
30.4,-85.56,0.0,0,0,0
30.4,-85.54,0.0,0,0,0
30.4,-85.52000000000001,0.0,0,0,0
30.4,-85.50000000000001,0.0,0,0,0
30.4,-85.48000000000002,0.0,0,0,0
30.4,-85.46000000000002,0.0,0,0,0
30.4,-85.44000000000003,0.0,0,0,0
30.4,-85.42000000000003,0.0,0,0,0
30.4,-85.40000000000003,0.0,0,0,0
30.4,-85.38000000000004,0.0,0,0,0
30.4,-85.36000000000004,0.0,0,0,0
30.4,-85.34000000000005,0.0,0,0,0
30.4,-85.32000000000005,0.0,0,0,0
30.4,-85.30000000000005,0.0,0,0,0
30.4,-85.28000000000006,0.0,0,0,0
30.4,-85.26000000000006,1.5,0,1.5,1.5
30.4,-85.24000000000007,0.0,0,0,0
30.4,-85.22000000000007,0.0,0,0,0
30.4,-85.20000000000007,0.0,0,0,0
30.4,-85.18000000000008,0.0,0,0,0
30.4,-85.16000000000008,1.5,0,1.5,1.5
30.4,-85.14000000000009,1.5,0,1.5,1.5
30.4,-85.12000000000009,1.0,0,1.0,1.0
30.4,-85.1000000000001,0.0,0,0,0
30.4,-85.0800000000001,1.0,0,1.0,1.0
30.4,-85.0600000000001,4.5,0,4.5,4.5
30.4,-85.0400000000001,7.0,0,7.0,7.0
30.4,-85.02000000000011,0.0,0,0,0
30.4,-85.00000000000011,2.5,0,2.5,2.5
30.4,-84.98000000000012,8.0,0,8.0,8.0
30.4,-84.96000000000012,4.0,0,4.0,4.0
30.4,-84.94000000000013,0.0,0,0,0
30.4,-84.92000000000013,0.0,0,0,0
30.4,-84.90000000000013,0.0,0,0,0
30.4,-84.88000000000014,0.0,0,0,0
30.4,-84.86000000000014,0.0,0,0,0
30.4,-84.84000000000015,0.0,0,0,0
30.4,-84.82000000000015,0.0,0,0,0
30.4,-84.80000000000015,13.0,0,13.0,13.0
30.4,-84.78000000000016,0.0,0,0,0
30.4,-84.76000000000016,0.0,0,0,0
30.4,-84.74000000000017,0.0,0,0,0
30.4,-84.72000000000017,0.0,0,0,0
30.4,-84.70000000000017,0.0,0,0,0
30.4,-84.68000000000018,1.5,0,1.5,1.5
30.4,-84.66000000000018,1.5,0,1.5,1.5
30.4,-84.64000000000019,1.5,0,1.5,1.5
30.4,-84.62000000000019,5.0,0,5.0,5.0
30.4,-84.6000000000002,4.0,0,4.0,4.0
30.4,-84.5800000000002,0.0,0,0,0
30.4,-84.5600000000002,1.5,0,1.5,1.5
30.4,-84.5400000000002,2.0,0,2.0,2.0
30.4,-84.52000000000021,1.5,0,1.5,1.5
30.4,-84.50000000000021,0.0,0,0,0
30.4,-84.48000000000022,0.0,0,0,0
30.4,-84.46000000000022,0.0,0,0,0
30.4,-84.44000000000023,0.0,0,0,0
30.4,-84.42000000000023,2.0,0,2.0,2.0
30.4,-84.40000000000023,2.0,0,2.0,2.0
30.4,-84.38000000000024,0.0,0,0,0
30.4,-84.36000000000024,4.5,0,4.5,4.5
