SITE NAME,SITE ADDRESS LINE1,SITE CITY,SITE COUNTY / PARISH,SITE POSTAL CODE,SITE STATE,SITE LATITUDE,SITE LONGITUDE,SITE NAICS CODE 1
INNOVATIVE CHEMICAL TECHNOLOGIES INC,8 RIVERSIDE DRIVE,CARTERSVILLE,BARTOW COUNTY,30120,GA,34.14025,-84.84717,325199 All Other Basic Organic Chemical Manufacturing
INNOVATIVE CHEMICAL TECHNOLOGIES INC,103 WALNUT GROVE ROAD,CARTERSVILLE,BARTOW COUNTY,30120-6427,GA,34.13669960489195,-84.8207550244155,325199 All Other Basic Organic Chemical Manufacturing
TIARCO RST,1010 VISTA DR,DALTON,WHITFIELD COUNTY,30721,GA,34.79898,-84.94949,325199 All Other Basic Organic Chemical Manufacturing
PREMIER POLYMERS,234 LOWY DR,CHATSWORTH,MURRAY COUNTY,30705,GA,34.779575,-84.808032,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
HARCROS CHEMICALS INC,4030 FAMBROUGH DRIVE,POWDER SPRINGS,COBB COUNTY,30127-5338,GA,33.87772,-84.70793,424690 Other Chemical And Allied Products Merchant Wholesalers
HARCROS CHEMICALS INC - VALDOSTA,125 BLANCHARD ST,VALDOSTA,LOWNDES COUNTY,31601,GA,30.84509,-83.24735,424690 Other Chemical And Allied Products Merchant Wholesalers
"HARCROS CHEMICALS, INC.",3452 CORPORATE DRIVE,DALTON,,30720,GA,34.696746,-84.984612,325188 All Other Basic Inorganic Chemical Manufacturing
"Kemira Chemicals, Inc.","1000 Parkwood Circle, Suite 500",Atlanta,,30339,GA,33.90189,-84.45979,325130 Synthetic Dye And Pigment Manufacturing
ECOLAB INC,261 HWY. 155 S.,MCDONOUGH,HENRY COUNTY,30253-6635,GA,33.42506,-84.14986,325611 Soap And Other Detergent Manufacturing
"UNIVAR SOLUTIONS USA INC. - DALLAS, GA",448 CADILLAC PKWY,DALLAS,PAULDING COUNTY,30157,GA,33.895542,-84.798906,424690 Other Chemical And Allied Products Merchant Wholesalers
COLONIAL CHEMICAL SOLUTIONS INC,916 W LATHROP,SAVANNAH,,31402,GA,32.09613,-81.12346,424690 Other Chemical And Allied Products Merchant Wholesalers
MCCULLOUGH & ASSOCIATES,1746 NE EXPRESSWAY NE,ATLANTA,DEKALB COUNTY,30329,GA,33.838904,-84.322783,424690 Other Chemical And Allied Products Merchant Wholesalers
RHODIA INC,577 BANKHEAD HWY.,WINDER,BARROW,30680,GA,33.993333,-83.765,325199 All Other Basic Organic Chemical Manufacturing
ZSCHIMMER & SCHWARZ INC,70 GA HWY 22 W,MILLEDGEVILLE,BALDWIN,31061-6606,GA,33.09227,-83.27805,325613 Surface Active Agent Manufacturing
"LG CHEM AMERICA, INC.",3475 PIEDMONT RD NE,ATLANTA,FULTON COUNTY,30305,GA,33.85001,-84.37549,424690 Other Chemical And Allied Products Merchant Wholesalers
BWA WATER ADDITIVES US LLC,"1979 LAKESIDE PARKWAY, SUITE 925",TUCKER,DEKALB,30084-5870,GA,33.84058,-84.24033,424690 Other Chemical And Allied Products Merchant Wholesalers
ITALMATCH USA CORPORATION,5544 OAKDALE ROAD SE,SMYRNA,COBB COUNTY,30082,GA,33.819282,-84.500549,325180 Other Basic Inorganic Chemical Manufacturing
LG HAUSYS AMERICA INC,310 LG DR SE,ADAIRSVILLE,BARTOW,30103,GA,34.4251,-84.9227,325211 Plastics Material And Resin Manufacturing
IVC US,101 IVC DR,DALTON,WHITFIELD,30721,GA,34.71709,-84.94529,326192 Resilient Floor Covering Manufacturing
OTSUKA CHEMICAL AMERICA INC.,100 THE LAKES PARKWAY,GRIFFIN,SPALDING COUNTY,30224,GA,33.234931,-84.213673,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing
TOSOH SPECIALTY CHEMICALS,1720 WINDWARD CON,ALPHARETTA,FORSYTH COUNTY,30005,GA,34.10241,-84.24078,424690 Other Chemical And Allied Products Merchant Wholesalers
AJAY NORTH AMERICA LLC,1400 INDUSTRY RD,POWDER SPRINGS,COBB COUNTY,30127,GA,33.867778,-84.646444,325180 Other Basic Inorganic Chemical Manufacturing
"PORSCHE CARS NORTH AMERICA, INC.",1 PORSCHE DR,ATLANTA,FULTON COUNTY,30354,GA,33.652249,-84.398874,423110 Automobile And Other Motor Vehicle Merchant Wholesalers
MFG CHEMICAL INC CALLAHAN ROAD,117 CALLAHAN RD,DALTON,,30721-9006,GA,34.711969,-84.973554,325613 Surface Active Agent Manufacturing
"SOLVAY SPECIALTY POLYMERS USA, LLC",4500 MCGINNIS FERRY RD,ALPHARETTA,FORSYTH COUNTY,30005,GA,34.10247,-84.21736,325211 Plastics Material And Resin Manufacturing
"HIGHCHEM AMERICA,INC.",1325 SATELLITE BLVD NW,SUWANEE,GWINNETT COUNTY,30024,GA,34.007766,-84.074478,424690 Other Chemical And Allied Products Merchant Wholesalers
