lat,lon,google_type
30.330,-85.600,car_repair
30.330,-85.600,farm
30.330,-85.600,casino
30.330,-85.600,stadium
30.330,-85.600,night_club
30.330,-85.600,airport
30.330,-85.450,car_repair
30.330,-85.450,farm
30.330,-85.450,casino
30.330,-85.450,stadium
30.330,-85.450,night_club
30.330,-85.450,airport
30.330,-85.300,car_repair
30.330,-85.300,farm
30.330,-85.300,casino
30.330,-85.300,stadium
30.330,-85.300,night_club
30.330,-85.300,airport
30.330,-85.150,car_repair
30.330,-85.150,farm
30.330,-85.150,casino
30.330,-85.150,stadium
30.330,-85.150,night_club
30.330,-85.150,airport
30.330,-85.000,car_repair
30.330,-85.000,farm
30.330,-85.000,casino
30.330,-85.000,stadium
30.330,-85.000,night_club
30.330,-85.000,airport
30.330,-84.850,car_repair
30.330,-84.850,farm
30.330,-84.850,casino
30.330,-84.850,stadium
30.330,-84.850,night_club
30.330,-84.850,airport
30.330,-84.700,car_repair
30.330,-84.700,farm
30.330,-84.700,casino
30.330,-84.700,stadium
30.330,-84.700,night_club
30.330,-84.700,airport
30.330,-84.550,car_repair
30.330,-84.550,farm
30.330,-84.550,casino
30.330,-84.550,stadium
30.330,-84.550,night_club
30.330,-84.550,airport
30.330,-84.400,car_repair
30.330,-84.400,farm
30.330,-84.400,casino
30.330,-84.400,stadium
30.330,-84.400,night_club
30.330,-84.400,airport
30.330,-84.250,car_repair
30.330,-84.250,farm
30.330,-84.250,casino
30.330,-84.250,stadium
30.330,-84.250,night_club
30.330,-84.250,airport
30.330,-84.100,car_repair
30.330,-84.100,farm
30.330,-84.100,casino
30.330,-84.100,stadium
30.330,-84.100,night_club
30.330,-84.100,airport
30.330,-83.950,car_repair
30.330,-83.950,farm
30.330,-83.950,casino
30.330,-83.950,stadium
30.330,-83.950,night_club
30.330,-83.950,airport
30.330,-83.800,car_repair
30.330,-83.800,farm
30.330,-83.800,casino
30.330,-83.800,stadium
30.330,-83.800,night_club
30.330,-83.800,airport
30.330,-83.650,car_repair
30.330,-83.650,farm
30.330,-83.650,casino
30.330,-83.650,stadium
30.330,-83.650,night_club
30.330,-83.650,airport
30.330,-83.500,car_repair
30.330,-83.500,farm
30.330,-83.500,casino
30.330,-83.500,stadium
30.330,-83.500,night_club
30.330,-83.500,airport
