amenity_key,google_type,place_id,name,lat,lon,types,vicinity,business_status
commercial_livestock,farm,ChIJTerHB_wQk4gRjTqoVuMHa-0,Alford,30.6938049,-85.3921505,locality|political,Alford,
commercial_livestock,farm,ChIJFSID8ZIQk4gRtOxDG8LOoW0,Compass Lake In the Hills,30.6068954,-85.38474269999999,rv_park|lodging|travel_agency|real_estate_agency|point_of_interest|establishment,"645 Compass Lake Drive, Alford",OPERATIONAL
commercial_livestock,farm,ChIJFSID8ZIQk4gRAiEy5Tm6RaY,Olle's Restaurant (by reservations only),30.6086567,-85.3848359,restaurant|food|point_of_interest|establishment,"645 Compass Lake Drive, Alford",OPERATIONAL
commercial_livestock,farm,ChIJ11pfO_cQk4gR5kAx529kDVY,Trading Post,30.5999079,-85.39136789999999,bar|point_of_interest|establishment,"464 Lakepoint Road, Alford",OPERATIONAL
commercial_livestock,farm,ChIJObSdYIgFk4gRNulal8QH9yo,Oakie Ridge Baptist Church,30.636762,-85.4904404,church|place_of_worship|point_of_interest|establishment,"2971 Gilberts Mill Road, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJ4RRVgOICk4gRNGdyImea9XY,BACK TO BACK MEDICAL LLC,30.58745369999999,-85.4708642,point_of_interest|health|store|establishment,"417 Buckhorn Boulevard, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJEaqpQfcQk4gR2VINGhmSUcs,Peoples Store at Compass Lake,30.5979994,-85.39196969999999,store|point_of_interest|establishment,"545 City Square Road, Alford",OPERATIONAL
commercial_livestock,farm,ChIJvyZGTPcQk4gRZC1YMWWgCbQ,Peoples Landing,30.59796579999999,-85.3918419,travel_agency|real_estate_agency|point_of_interest|establishment,"545 City Square Road, Alford",OPERATIONAL
commercial_livestock,farm,ChIJk6QC7zUbk4gReQktlAwKx_o,Cypress Creek Community Church,30.69957729999999,-85.4332275,church|place_of_worship|point_of_interest|establishment,"1772 Macedonia Road, Cottondale",OPERATIONAL
commercial_livestock,farm,ChIJySrJnRwGk4gREmcnFQNwfxc,LAB COUNTRY,30.64108000000001,-85.531993,point_of_interest|establishment,"2590 Schmidt Lane, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJebDG_cAPk4gR-1qNVmCHf_g,Country Oaks Library & Learning,30.606588,-85.4557109,library|point_of_interest|establishment,"268 Quail Hollow Boulevard, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJjxJ1j5cQk4gReYnaoLtoOc0,"Compass Lake Engineering, LLC",30.6182992,-85.37702689999999,point_of_interest|establishment,"719 White Drive, Alford",OPERATIONAL
commercial_livestock,farm,ChIJHyWmx3kFk4gRA9Kip9UuzNM,Manship's Trucking LLC,30.6413835,-85.4470771,point_of_interest|establishment,"243 Pike Pond Road, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJ9UKAtQUPk4gRZMEE6p4sJT8,Green Acres,30.614508,-85.443665,point_of_interest|establishment,"198 Champion Drive, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJR1uMYecPk4gRwVeacfZJAWw,Peaceful Pines FL,30.6095936,-85.44430030000001,lodging|travel_agency|real_estate_agency|point_of_interest|establishment,"3113 Tumble Creek Boulevard, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJbycSjvYPk4gRg0EvQ9Gdk-M,Gilbert's Catfish Pond,30.6210549,-85.4750068,point_of_interest|establishment,"2854 Highview Circle, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJebDG_cAPk4gRsnzwfxCR8Q8,Country Oaks Volunteer Fire,30.606588,-85.4557109,fire_station|point_of_interest|establishment,"268 Quail Hollow Boulevard, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJtefca5kPk4gRT11Auq41oiQ,Spotless Pools,30.6150788,-85.4719815,general_contractor|point_of_interest|establishment,"2944 Highview Lane, Chipley",OPERATIONAL
commercial_livestock,farm,ChIJrZo0Aj8Rk4gRkWd5zzRdn0g,Rudd Family Farm,30.6220513,-85.4215658,point_of_interest|establishment,"JHCH+R9, Round Lake",OPERATIONAL
commercial_livestock,farm,ChIJ61lID2cak4gRWkfOf3QGGW0,Round Lake,30.651389,-85.38888899999999,locality|political,Round Lake,
commercial_livestock,farm,ChIJY502DU0Xk4gRFVPQ8wJAp4A,Compass Homes of NW Fl,30.616291,-85.35293399999999,general_contractor|point_of_interest|establishment,"679 Carver Circle, Alford",OPERATIONAL
commercial_livestock,farm,ChIJY_z9lvMm9hQRhyNMjqJ520I,South of Dixie Ranch,30.65901899999999,-85.2927349,food|point_of_interest|establishment,"3663 Laramore Road, Marianna",OPERATIONAL
commercial_livestock,farm,ChIJTV7j1IYYk4gRZ__ZB5BzXSs,Daniel S Adams - Aflac Insurance Agent,30.6754804,-85.27754499999999,insurance_agency|point_of_interest|establishment,"3857 Scott Church Road, Marianna",OPERATIONAL
commercial_livestock,farm,ChIJQ_Jc4n4ik4gRJDcQPsig1as,Bar L Citrus,30.6759377,-85.2695651,food|store|point_of_interest|establishment,"4141 Laramore Road, Marianna",OPERATIONAL
