ID_NUMBER,FACILITY_NAME,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,ACTIVE_SITE,OPERATING_TSDF,NAICS_CODE
GAR000036301,MOMENTIVE PERFORMANCE MATERIALS,------,Other,1775 WESTGATE PARKWAY,ATLANTA,GA,30336,33.706651,-84.609211,N  ,-----,------         ,49311
GAD984298091,COUNTRY CUPBOARD #1,------,Other,280 INDUSTRIAL BLVD,ELLIJAY,GA,30540,,,N  ,-----,------         ,
GAD984294470,COUNTRY CUPBOARD #19,------,Other,703 OOTHOALOOGA ST,CALHOUN,GA,30701,34.498049,-84.96185,N  ,-----,------         ,
GAD984298190,COUNTRY CUPBOARD #7,------,Other,HWY 76,BLUE RIDGE,GA,30513,,,N  ,-----,------         ,
GA0000079947,NATIONAL FILTRATION SYSTEMS,------,Other,2825 SIMPSON CIR,NORCROSS,GA,30071,33.96707,-84.177686,N  ,-----,------         ,
GAR000021360,RAINBOWS PAINT & BODY INCA,------,VSQG,1288 E HWY 80,POOLER,GA,31322,32.102213,-81.223984,3  ,H----,------         ,811121
GAD984316240,SOUTHWEST STAINLESS LP HG9221,------,Other,200-C PIEDMONT CT,DORAVILLE,GA,30348,,,N  ,-----,------         ,42151
GAR000036293,SHORT STOP #5,------,Other,2510 MILLEDGEVILLE RD,AUGUSTA,GA,30904,,,N  ,-----,------         ,44711
GA0000927145,RITZ CLEANERS,------,Other,3600 DALLAS HWY #B330,MARIETTA,GA,30064,,,N  ,-----,------         ,81232
GAD984293597,EXPRESSWAY BODY WORKS INC,------,Other,1300 50TH STREET,COLUMBUS,GA,31904,,,N  ,-----,------         ,
GAD981273816,FEDERAL EXPRESS MEGA,------,VSQG,6650 CORNERS INDUSTRIAL CT,NORCROSS,GA,30092,33.941565,-84.251618,3  ,H----,------         ,49211
GAD067575209,CMI INDUSTRIES CLARKSVILLE PLANT,------,Other,HIGHWAY 441 NORTH,CLARKESVILLE,GA,30523,34.65,-83.448333,N  ,-----,------         ,31321
GAD981274731,ZIPPY MART GA530,------,Other,GREEN & JEFFERSON,BOSTON,GA,31626,30.791824,-83.786922,N  ,-----,------         ,
GAR000030957,MICRO MACRO INTERNATIONAL INC,------,VSQG,183 PARADISE BLVD STE 108,ATHENS,GA,30607,33.97857,-83.399841,3  ,H----,------         ,
GAR000017186,ENGLANDS COLLISON CENTER INC,------,Other,586 SW BROAD ST,JESUP,GA,31545,31.601669,-81.887115,N  ,-----,------         ,811121
GAD981219504,ALADDIN MANUFACTURING - CARADON,------,SQG,949 INDUSTRIAL BLVD,CHATSWORTH,GA,30705,,,2  ,H----,------         ,313110
GAD984313148,COTTONS COLLISION CENTER & FRAME SHOP,------,Other,112 COTTON RD,LAGRANGE,GA,30240,,,N  ,-----,------         ,
GAD984320754,BRIANS PRECISION PAINT & BODY,------,Other,5072 ANNISTOWN RD,STONE MOUNTAIN,GA,30087,,,N  ,-----,------         ,
GAR000043067,TANNER - DEEN MOTORS INC,------,VSQG,1100 E. OGLETHORPE BLVD,ALBANY,GA,31705,31.574416,-84.095189,3  ,H----,------         ,44111
GAR000027110,WAL-MART STORE #1122,------,Other,700 SOUTH BIG A RD,TOCCOA,GA,30577,,,N  ,-----,------         ,
GAD981265176,TUFTCO-DALTON INC,------,SQG,304 TUFTCO DR,DALTON,GA,30721,34.737084,-84.959015,2  ,H----,------         ,333249
GAR000044743,DIAMOND CRYSTAL BRANDS,------,VSQG,1090 PACIFIC AVE,BREMEN,GA,30110,33.724301,-85.132816,3  ,H----,------         ,31131
GAD981256340,NORTH PERIMETER COLLISION INC,------,Other,3854 N PEACHTREE RD,CHAMBLEE,GA,30341,33.904247,-84.295532,N  ,-----,------         ,811121
GA0000036699,QUALITY AUTO CARE,------,Other,495 B HOLIDAY CIRCLE,FORSYTH,GA,31029,33.031461,-83.922729,,-----,------         ,811111
GAR000030619,PROGRESSIVE DECATUR LLC,------,Other,321 W HILL ST,DECATUR,GA,30031,,,N  ,-----,------         ,11111
GAR000063743,EASTSIDE TRAIL,------,Other,801 ANGIER SPRINGS RD,ATLANTA,GA,30306,,,N  ,-----,------         ,23832
GAD981269939,SOUTHERN ROADBUILDERS APAC GA INC,------,Other,5738 COLUMBIA RD,APPLING,GA,30813,33.515128,-82.223804,N  ,-----,------         ,11111
GAD981271778,INNERFACE SIGN STSYTEMS INC,------,Other,5320 WEBB PKWY,LILBURN,GA,30247-5947,,,N  ,-----,------         ,
GAD984311886,EXPOTECHNIK AMERICA INC,------,Other,5390 E PONCE DE LEON,STONE MOUNTAIN,GA,30083,,,N  ,-----,------         ,
