2020 Census Tract,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13001950100,50,245,0.20408163265306123
13001950201,0,75,0
13001950202,55,310,0.1774193548387097
13001950301,65,210,0.30952380952380953
13001950302,45,190,0.23684210526315788
13001950400,25,65,0.38461538461538464
13001950500,29,105,0.2761904761904762
13003960100,89,320,0.278125
13003960200,90,255,0.35294117647058826
13003960300,80,120,0.6666666666666666
13005970100,45,110,0.4090909090909091
13005970201,120,340,0.35294117647058826
13005970202,35,290,0.1206896551724138
13007960100,60,290,0.20689655172413793
13007960200,15,85,0.17647058823529413
13009970101,0,90,0
13009970102,70,175,0.4
13009970201,90,770,0.11688311688311688
13009970202,95,225,0.4222222222222222
13009970301,0,0,-
13009970302,130,320,0.40625
13009970400,245,620,0.3951612903225806
13009970501,805,1000,0.805
13009970502,10,10,1
13009970600,165,350,0.4714285714285714
13009970701,160,375,0.4266666666666667
13009970702,133,275,0.48363636363636364
13009970801,0,60,0
13009970802,365,385,0.948051948051948
13011970100,85,405,0.20987654320987653
13011970200,64,190,0.3368421052631579
13011970300,110,315,0.3492063492063492
13011970400,60,145,0.41379310344827586
13013180103,295,425,0.6941176470588235
13013180104,14,120,0.11666666666666667
13013180105,10,55,0.18181818181818182
13013180106,80,225,0.35555555555555557
13013180107,50,215,0.23255813953488372
13013180108,30,90,0.3333333333333333
13013180203,115,490,0.23469387755102042
13013180204,165,410,0.4024390243902439
13013180205,135,490,0.2755102040816326
13013180206,60,250,0.24
13013180301,29,180,0.16111111111111112
13013180302,45,160,0.28125
13013180303,65,285,0.22807017543859648
13013180401,20,80,0.25
13013180402,89,495,0.1797979797979798
13013180501,35,250,0.14
13013180502,125,185,0.6756756756756757
13013180503,69,215,0.3209302325581395
13015960101,20,85,0.23529411764705882
13015960103,0,20,0
13015960104,44,195,0.22564102564102564
13015960105,29,109,0.26605504587155965
13015960201,45,95,0.47368421052631576
13015960202,50,335,0.14925373134328357
13015960203,75,345,0.21739130434782608
13015960301,10,95,0.10526315789473684
13015960302,8,94,0.0851063829787234
13015960403,65,1005,0.06467661691542288
13015960404,315,535,0.5887850467289719
13015960405,95,500,0.19
13015960406,10,220,0.045454545454545456
13015960407,60,130,0.46153846153846156
13015960501,275,645,0.4263565891472868
13015960502,120,200,0.6
13015960601,175,515,0.33980582524271846
13015960602,185,475,0.3894736842105263
13015960701,330,980,0.336734693877551
13015960702,0,475,0
13015960801,215,255,0.8431372549019608
13015960802,160,450,0.35555555555555557
13015960804,40,140,0.2857142857142857
13015960805,45,250,0.18
13015960901,39,140,0.2785714285714286
13015960902,125,290,0.43103448275862066
13015961001,0,135,0
13015961002,19,195,0.09743589743589744
13017960100,30,120,0.25
13017960200,20,59,0.3389830508474576
13017960300,155,515,0.30097087378640774
13017960400,170,695,0.2446043165467626
13017960501,15,90,0.16666666666666666
13017960502,65,525,0.12380952380952381
13019970100,19,110,0.17272727272727273
13019970200,74,295,0.25084745762711863
13019970300,30,275,0.10909090909090909
13019970400,115,385,0.2987012987012987
13019970500,165,270,0.6111111111111112
13019970600,65,235,0.2765957446808511
13021010100,225,545,0.41284403669724773
13021010200,270,565,0.4778761061946903
13021010400,135,280,0.48214285714285715
13021010500,40,160,0.25
13021010800,320,705,0.45390070921985815
13021011001,450,985,0.45685279187817257
13021011002,60,245,0.24489795918367346
13021011100,180,370,0.4864864864864865
13021011500,225,425,0.5294117647058824
13021011701,195,405,0.48148148148148145
13021011702,205,385,0.5324675324675324
13021011800,95,305,0.3114754098360656
13021011900,125,320,0.390625
13021012000,0,74,0
13021012101,110,230,0.4782608695652174
13021012102,165,415,0.39759036144578314
13021012200,200,440,0.45454545454545453
13021012400,440,735,0.5986394557823129
13021012500,440,665,0.6616541353383458
13021012600,200,545,0.3669724770642202
13021012700,180,365,0.4931506849315068
13021012800,180,675,0.26666666666666666
13021012900,120,280,0.42857142857142855
13021013101,305,660,0.4621212121212121
13021013102,205,500,0.41
13021013201,375,1005,0.373134328358209
13021013202,185,545,0.3394495412844037
13021013302,80,300,0.26666666666666666
13021013407,175,425,0.4117647058823529
13021013408,175,255,0.6862745098039216
13021013409,105,280,0.375
13021013411,425,545,0.7798165137614679
13021013412,100,200,0.5
13021013413,65,155,0.41935483870967744
13021013502,79,190,0.41578947368421054
13021013503,75,160,0.46875
13021013505,65,275,0.23636363636363636
13021013506,0,15,0
13021013603,100,155,0.6451612903225806
13021013604,0,75,0
13021013605,110,230,0.4782608695652174
13021013607,70,90,0.7777777777777778
13021013608,205,255,0.803921568627451
13021013701,140,350,0.4
13021013702,225,390,0.5769230769230769
13021013800,65,315,0.20634920634920634
13021013900,65,240,0.2708333333333333
13021014000,210,580,0.3620689655172414
13023790100,30,80,0.375
13023790200,45,280,0.16071428571428573
13023790301,70,200,0.35
13023790302,60,195,0.3076923076923077
13025960101,0,160,0
13025960102,40,190,0.21052631578947367
13025960201,15,55,0.2727272727272727
13025960202,145,360,0.4027777777777778
13025960300,134,380,0.3526315789473684
13027960200,15,75,0.2
13027960301,75,255,0.29411764705882354
13027960302,10,50,0.2
13027960400,110,445,0.24719101123595505
13027960500,180,470,0.3829787234042553
13027960600,45,130,0.34615384615384615
13029920101,130,230,0.5652173913043478
13029920103,65,480,0.13541666666666666
13029920104,0,10,0
13029920301,0,85,0
13029920303,275,730,0.3767123287671233
13029920305,60,90,0.6666666666666666
13029920307,45,70,0.6428571428571429
13029920308,190,460,0.41304347826086957
13029980000,0,0,-
13031110100,99,195,0.5076923076923077
13031110201,90,185,0.4864864864864865
13031110202,205,425,0.4823529411764706
13031110301,75,190,0.39473684210526316
13031110302,95,275,0.34545454545454546
13031110401,425,955,0.44502617801047123
13031110405,490,1210,0.4049586776859504
13031110406,260,555,0.46846846846846846
13031110407,70,125,0.56
13031110408,115,350,0.32857142857142857
13031110500,395,750,0.5266666666666666
13031110602,210,705,0.2978723404255319
13031110603,80,410,0.1951219512195122
13031110604,395,645,0.6124031007751938
13031110701,230,450,0.5111111111111111
13031110702,120,220,0.5454545454545454
13031110703,70,190,0.3684210526315789
13031110800,55,155,0.3548387096774194
13031110901,0,85,0
13031110902,0,110,0
13033950101,35,150,0.23333333333333334
13033950102,55,80,0.6875
13033950200,8,129,0.06201550387596899
13033950400,180,600,0.3
13033950500,50,195,0.2564102564102564
13033950700,10,120,0.08333333333333333
13033950900,74,190,0.3894736842105263
13035150101,100,190,0.5263157894736842
13035150102,70,280,0.25
13035150201,165,400,0.4125
13035150202,40,210,0.19047619047619047
13035150300,160,235,0.6808510638297872
13037950100,4,100,0.04
13037950200,120,250,0.48
13039010100,85,180,0.4722222222222222
13039010201,23,180,0.12777777777777777
13039010202,15,40,0.375
13039010302,105,400,0.2625
13039010303,145,330,0.4393939393939394
13039010304,30,245,0.12244897959183673
13039010305,4,125,0.032
13039010403,0,15,0
13039010404,405,535,0.7570093457943925
13039010405,270,440,0.6136363636363636
13039010406,65,65,1
13039010407,60,145,0.41379310344827586
13039010500,65,250,0.26
13039010602,30,79,0.379746835443038
13039010603,35,80,0.4375
13039010604,415,710,0.5845070422535211
13039990000,0,0,-
13043950100,235,820,0.2865853658536585
13043950200,70,355,0.19718309859154928
13043950300,4,105,0.0380952380952381
13045910101,85,675,0.1259259259259259
13045910103,90,215,0.4186046511627907
13045910105,0,205,0
13045910106,495,770,0.6428571428571429
13045910201,0,155,0
13045910202,0,120,0
13045910203,20,115,0.17391304347826086
13045910301,155,189,0.8201058201058201
13045910302,35,185,0.1891891891891892
13045910400,25,275,0.09090909090909091
13045910502,400,965,0.41450777202072536
13045910503,290,610,0.47540983606557374
13045910504,90,300,0.3
13045910600,270,665,0.40601503759398494
13045910704,65,175,0.37142857142857144
13045910705,265,695,0.381294964028777
13045910706,0,65,0
13045910707,0,45,0
13045910708,165,625,0.264
13045910709,35,140,0.25
13045910800,34,185,0.1837837837837838
13045910900,104,200,0.52
13045911001,105,220,0.4772727272727273
13045911002,125,465,0.26881720430107525
13045911101,265,785,0.3375796178343949
13045911102,55,130,0.4230769230769231
13045911201,80,235,0.3404255319148936
13045911202,80,210,0.38095238095238093
13047030100,185,425,0.43529411764705883
13047030201,90,495,0.18181818181818182
13047030202,45,240,0.1875
13047030303,0,115,0
13047030304,25,60,0.4166666666666667
13047030305,25,75,0.3333333333333333
13047030306,20,215,0.09302325581395349
13047030402,85,240,0.3541666666666667
13047030403,0,70,0
13047030404,0,45,0
13047030501,55,210,0.2619047619047619
13047030502,35,235,0.14893617021276595
13047030600,160,385,0.4155844155844156
13047030701,45,350,0.12857142857142856
13047030702,415,1010,0.41089108910891087
13049010101,60,165,0.36363636363636365
13049010102,150,450,0.3333333333333333
13049010200,30,130,0.23076923076923078
13051000601,224,700,0.32
13051001100,180,460,0.391304347826087
13051001200,265,610,0.4344262295081967
13051002000,190,355,0.5352112676056338
13051002100,110,265,0.41509433962264153
13051002200,235,690,0.34057971014492755
13051002300,154,340,0.45294117647058824
13051002600,140,235,0.5957446808510638
13051002700,275,370,0.7432432432432432
13051002800,285,665,0.42857142857142855
13051002900,25,135,0.18518518518518517
13051003000,35,80,0.4375
13051003301,75,260,0.28846153846153844
13051003302,25,210,0.11904761904761904
13051003400,115,345,0.3333333333333333
13051003501,110,590,0.1864406779661017
13051003502,240,590,0.4067796610169492
13051003601,305,645,0.4728682170542636
13051003602,320,875,0.3657142857142857
13051003700,65,290,0.22413793103448276
13051003800,35,190,0.18421052631578946
13051003900,54,265,0.2037735849056604
13051004001,305,585,0.5213675213675214
13051004002,110,465,0.23655913978494625
13051004100,80,120,0.6666666666666666
13051004207,290,530,0.5471698113207547
13051004208,370,820,0.45121951219512196
13051004209,290,730,0.3972602739726027
13051004210,260,840,0.30952380952380953
13051004211,135,250,0.54
13051004212,105,420,0.25
13051004300,145,400,0.3625
13051004400,210,445,0.47191011235955055
13051004500,135,335,0.40298507462686567
13051010102,200,450,0.4444444444444444
13051010200,175,330,0.5303030303030303
13051010502,215,820,0.2621951219512195
13051010503,85,210,0.40476190476190477
13051010504,265,600,0.44166666666666665
13051010601,120,765,0.1568627450980392
13051010603,90,225,0.4
13051010701,0,0,-
13051010702,100,460,0.21739130434782608
13051010703,255,355,0.7183098591549296
13051010704,255,280,0.9107142857142857
13051010705,0,0,-
13051010706,85,85,1
13051010707,0,0,-
13051010801,125,365,0.3424657534246575
13051010806,90,470,0.19148936170212766
13051010807,400,465,0.8602150537634409
13051010810,75,120,0.625
13051010811,160,400,0.4
13051010812,0,0,-
13051010813,300,480,0.625
13051010814,200,490,0.40816326530612246
13051010815,25,120,0.20833333333333334
13051010816,195,345,0.5652173913043478
13051010817,35,35,1
13051010818,115,255,0.45098039215686275
13051010819,85,180,0.4722222222222222
13051010820,105,275,0.38181818181818183
13051010821,0,20,0
13051010901,434,970,0.44742268041237115
13051011004,10,45,0.2222222222222222
13051011005,10,10,1
13051011006,65,140,0.4642857142857143
13051011007,0,105,0
13051011008,85,135,0.6296296296296297
13051011104,35,255,0.13725490196078433
13051011107,15,60,0.25
13051011108,10,10,1
13051011110,0,4,0
13051011111,69,119,0.5798319327731093
13051011112,135,240,0.5625
13051011113,0,15,0
13051011114,55,135,0.4074074074074074
13051011115,44,200,0.22
13051011200,89,185,0.4810810810810811
13051011300,230,430,0.5348837209302325
13051011400,130,435,0.2988505747126437
13051011500,0,18,0
13051011600,65,325,0.2
13051011700,160,435,0.367816091954023
13051011800,35,150,0.23333333333333334
13051011900,195,540,0.3611111111111111
13051980000,0,0,-
13051990000,0,0,-
13053020100,115,390,0.2948717948717949
13053020201,0,25,0
13053020203,75,170,0.4411764705882353
13053020205,130,390,0.3333333333333333
13053020206,0,0,-
13055010100,20,105,0.19047619047619047
13055010201,15,175,0.08571428571428572
13055010202,120,320,0.375
13055010300,60,205,0.2926829268292683
13055010401,0,110,0
13055010402,235,660,0.3560606060606061
13055010501,20,110,0.18181818181818182
13055010502,55,480,0.11458333333333333
13055010600,4,75,0.05333333333333334
13057090101,20,230,0.08695652173913043
13057090102,30,75,0.4
13057090103,8,104,0.07692307692307693
13057090201,95,185,0.5135135135135135
13057090202,99,190,0.5210526315789473
13057090301,75,130,0.5769230769230769
13057090302,0,50,0
13057090303,0,175,0
13057090401,445,1380,0.322463768115942
13057090402,20,245,0.08163265306122448
13057090503,0,0,-
13057090504,0,0,-
13057090505,0,0,-
13057090506,25,55,0.45454545454545453
13057090507,0,0,-
13057090603,65,175,0.37142857142857144
13057090604,155,355,0.43661971830985913
13057090605,235,540,0.4351851851851852
13057090606,85,330,0.25757575757575757
13057090703,75,840,0.08928571428571429
13057090704,260,355,0.7323943661971831
13057090705,195,265,0.7358490566037735
13057090706,0,0,-
13057090707,0,85,0
13057090708,180,485,0.3711340206185567
13057090709,45,60,0.75
13057090710,0,0,-
13057090805,25,90,0.2777777777777778
13057090806,0,40,0
13057090807,100,120,0.8333333333333334
13057090808,15,35,0.42857142857142855
13057090809,0,40,0
13057090810,15,70,0.21428571428571427
13057090905,125,450,0.2777777777777778
13057090906,4,65,0.06153846153846154
13057090907,15,170,0.08823529411764706
13057090908,25,25,1
13057090909,190,695,0.2733812949640288
13057090910,125,205,0.6097560975609756
13057090911,0,20,0
13057090912,15,45,0.3333333333333333
13057091001,305,710,0.4295774647887324
13057091006,40,50,0.8
13057091007,0,50,0
13057091009,145,295,0.4915254237288136
13057091010,0,20,0
13057091011,425,615,0.6910569105691057
13057091012,215,265,0.8113207547169812
13057091013,115,350,0.32857142857142857
13057091014,355,645,0.5503875968992248
13057091101,100,185,0.5405405405405406
13057091104,15,100,0.15
13057091105,300,615,0.4878048780487805
13057091106,100,290,0.3448275862068966
13057091107,15,80,0.1875
13057091108,30,50,0.6
13059000100,570,845,0.6745562130177515
13059000401,270,520,0.5192307692307693
13059000402,199,305,0.6524590163934426
13059000600,255,760,0.3355263157894737
13059000900,585,1305,0.4482758620689655
13059001200,375,740,0.5067567567567568
13059001700,39,255,0.15294117647058825
13059001800,120,335,0.3582089552238806
13059001900,225,555,0.40540540540540543
13059002000,130,355,0.36619718309859156
13059002100,400,755,0.5298013245033113
13059002200,275,425,0.6470588235294118
13059030101,585,915,0.639344262295082
13059030102,375,715,0.5244755244755245
13059030200,570,1410,0.40425531914893614
13059130300,330,705,0.46808510638297873
13059130400,155,545,0.28440366972477066
13059130500,125,215,0.5813953488372093
13059130601,15,760,0.019736842105263157
13059130602,175,530,0.330188679245283
13059130701,170,370,0.4594594594594595
13059130702,120,220,0.5454545454545454
13059140300,290,800,0.3625
13059140400,70,205,0.34146341463414637
13059140500,405,685,0.5912408759124088
13059140600,119,455,0.26153846153846155
13059150300,300,590,0.5084745762711864
13059150400,575,1095,0.5251141552511416
13059150500,575,1240,0.4637096774193548
13059150600,365,1070,0.3411214953271028
13059150701,535,1060,0.5047169811320755
13059150702,20,145,0.13793103448275862
13059150800,200,610,0.32786885245901637
13059150900,195,330,0.5909090909090909
13061960300,33,245,0.1346938775510204
13063040202,174,485,0.35876288659793815
13063040203,150,760,0.19736842105263158
13063040204,315,1050,0.3
13063040302,415,1055,0.3933649289099526
13063040306,240,1330,0.18045112781954886
13063040307,65,385,0.16883116883116883
13063040308,410,940,0.43617021276595747
13063040309,220,575,0.3826086956521739
13063040310,270,450,0.6
13063040407,80,325,0.24615384615384617
13063040409,195,500,0.39
13063040410,90,740,0.12162162162162163
13063040414,65,205,0.3170731707317073
13063040416,80,205,0.3902439024390244
13063040417,620,1465,0.4232081911262799
13063040418,60,60,1
13063040419,465,980,0.4744897959183674
13063040420,30,330,0.09090909090909091
13063040421,35,65,0.5384615384615384
13063040422,245,640,0.3828125
13063040423,190,875,0.21714285714285714
13063040424,160,580,0.27586206896551724
13063040425,205,595,0.3445378151260504
13063040426,225,305,0.7377049180327869
13063040427,65,335,0.19402985074626866
13063040509,120,335,0.3582089552238806
13063040510,280,485,0.5773195876288659
13063040512,295,740,0.39864864864864863
13063040513,125,330,0.3787878787878788
