geoid,name,Severe Cost Burden: Less than or equal to 30% of HAMFI,Severe Cost Burden: Greater than 30% but less than or equal to 50% of HAMFI,Severe Cost Burden: Greater than 50% but less than or equal to 80% of HAMFI,Total with Severe Cost Burden,Total: Less than or equal to 30% of HAMFI,Total: Greater than 30% but less than or equal to 50% of HAMFI,Total: Greater than 50% but less than or equal to 80% of HAMFI,Total renters,Total: Propotion of Sever Cost Burden to Total Renters,GeoID2
05000US13001,"Appling County, Georgia",145,30,0,175,440,330,245,1015,0.1724137931034483,13001
05000US13003,"Atkinson County, Georgia",100,30,10,140,255,185,165,605,0.23140495867768596,13003
05000US13005,"Bacon County, Georgia",115,40,0,155,325,230,270,825,0.18787878787878787,13005
05000US13007,"Baker County, Georgia",85,0,0,85,190,35,130,355,0.23943661971830985,13007
05000US13009,"Baldwin County, Georgia",1315,510,30,1855,2130,1445,895,4470,0.41498881431767337,13009
05000US13011,"Banks County, Georgia",140,100,15,255,360,280,475,1115,0.22869955156950672,13011
05000US13013,"Barrow County, Georgia",920,180,25,1125,1700,1455,1460,4615,0.2437703141928494,13013
05000US13015,"Bartow County, Georgia",1790,305,0,2095,3270,2720,3335,9325,0.22466487935656837,13015
05000US13017,"Ben Hill County, Georgia",200,100,4,304,850,470,600,1920,0.15833333333333333,13017
05000US13019,"Berrien County, Georgia",325,135,0,460,765,500,455,1720,0.26744186046511625,13019
05000US13021,"Bibb County, Georgia",4610,1770,485,6865,8370,4570,5195,18135,0.37854976564653986,13021
05000US13023,"Bleckley County, Georgia",165,10,0,175,335,130,215,680,0.25735294117647056,13023
05000US13025,"Brantley County, Georgia",225,30,0,255,315,500,245,1060,0.24056603773584906,13025
05000US13027,"Brooks County, Georgia",285,20,0,305,510,220,395,1125,0.27111111111111114,13027
05000US13029,"Bryan County, Georgia",495,175,115,785,785,750,725,2260,0.3473451327433628,13029
05000US13031,"Bulloch County, Georgia",2360,985,175,3520,3095,2445,2750,8290,0.42460796139927626,13031
05000US13033,"Burke County, Georgia",390,4,0,394,890,335,495,1720,0.22906976744186047,13033
05000US13035,"Butts County, Georgia",210,265,30,505,465,550,570,1585,0.3186119873817035,13035
05000US13037,"Calhoun County, Georgia",85,15,0,100,195,100,150,445,0.2247191011235955,13037
05000US13039,"Camden County, Georgia",1090,290,95,1475,1390,1010,1690,4090,0.3606356968215159,13039
05000US13043,"Candler County, Georgia",355,15,10,380,680,330,365,1375,0.27636363636363637,13043
05000US13045,"Carroll County, Georgia",2520,305,0,2825,4530,2580,3020,10130,0.2788746298124383,13045
05000US13047,"Catoosa County, Georgia",730,235,10,975,1345,1050,1745,4140,0.23550724637681159,13047
05000US13049,"Charlton County, Georgia",125,85,0,210,325,245,140,710,0.29577464788732394,13049
05000US13051,"Chatham County, Georgia",6905,3770,695,11370,11065,8240,9875,29180,0.3896504455106237,13051
05000US13053,"Chattahoochee County, Georgia",150,115,75,340,280,210,445,935,0.36363636363636365,13053
