GEO_ID,NAME,% of renter occupied units with complete plumbing,% of renter occupied units with complete kitchen,% incomplete plumbing,% incomplete kitchen,GeoID
0500000US13239,"Quitman County, Georgia",82.9,82.9,17.099999999999994,17.099999999999994,13239
0500000US13003,"Atkinson County, Georgia",90.6,91.1,9.400000000000006,8.900000000000006,13003
0500000US13289,"Twiggs County, Georgia",90.1,91.3,9.900000000000006,8.700000000000003,13289
0500000US13167,"Johnson County, Georgia",100.0,93.7,0.0,6.299999999999997,13167
0500000US13241,"Rabun County, Georgia",98.0,94.1,2.0,5.900000000000006,13241
0500000US13165,"Jenkins County, Georgia",100.0,94.9,0.0,5.099999999999994,13165
0500000US13173,"Lanier County, Georgia",100.0,95.3,0.0,4.700000000000003,13173
0500000US13279,"Toombs County, Georgia",99.3,95.9,0.7000000000000028,4.099999999999994,13279
0500000US13115,"Floyd County, Georgia",99.4,95.9,0.5999999999999943,4.099999999999994,13115
0500000US13087,"Decatur County, Georgia",100.0,95.9,0.0,4.099999999999994,13087
0500000US13207,"Monroe County, Georgia",96.0,96.0,4.0,4.0,13207
0500000US13107,"Emanuel County, Georgia",99.6,96.4,0.4000000000000057,3.5999999999999943,13107
0500000US13037,"Calhoun County, Georgia",98.9,96.6,1.0999999999999943,3.4000000000000057,13037
0500000US13081,"Crisp County, Georgia",99.1,96.6,0.9000000000000057,3.4000000000000057,13081
0500000US13143,"Haralson County, Georgia",100.0,96.7,0.0,3.299999999999997,13143
0500000US13147,"Hart County, Georgia",96.9,96.9,3.0999999999999943,3.0999999999999943,13147
0500000US13157,"Jackson County, Georgia",98.8,96.9,1.2000000000000028,3.0999999999999943,13157
0500000US13155,"Irwin County, Georgia",97.0,97.0,3.0,3.0,13155
0500000US13231,"Pike County, Georgia",98.4,97.1,1.5999999999999943,2.9000000000000057,13231
0500000US13073,"Columbia County, Georgia",99.2,97.2,0.7999999999999972,2.799999999999997,13073
0500000US13075,"Cook County, Georgia",99.4,97.4,0.5999999999999943,2.5999999999999943,13075
0500000US13039,"Camden County, Georgia",98.2,97.5,1.7999999999999972,2.5,13039
0500000US13045,"Carroll County, Georgia",99.9,97.5,0.09999999999999432,2.5,13045
0500000US13033,"Burke County, Georgia",98.6,97.7,1.4000000000000057,2.299999999999997,13033
0500000US13187,"Lumpkin County, Georgia",100.0,97.7,0.0,2.299999999999997,13187
0500000US13251,"Screven County, Georgia",100.0,97.7,0.0,2.299999999999997,13251
0500000US13321,"Worth County, Georgia",100.0,97.7,0.0,2.299999999999997,13321
0500000US13141,"Hancock County, Georgia",97.8,97.8,2.200000000000003,2.200000000000003,13141
0500000US13109,"Evans County, Georgia",99.2,97.8,0.7999999999999972,2.200000000000003,13109
0500000US13095,"Dougherty County, Georgia",99.8,97.8,0.20000000000000284,2.200000000000003,13095
0500000US13217,"Newton County, Georgia",99.8,97.8,0.20000000000000284,2.200000000000003,13217
0500000US13105,"Elbert County, Georgia",100.0,97.8,0.0,2.200000000000003,13105
0500000US13205,"Mitchell County, Georgia",100.0,97.8,0.0,2.200000000000003,13205
0500000US13023,"Bleckley County, Georgia",98.7,98.0,1.2999999999999972,2.0,13023
0500000US13277,"Tift County, Georgia",98.9,98.0,1.0999999999999943,2.0,13277
0500000US13099,"Early County, Georgia",99.0,98.0,1.0,2.0,13099
0500000US13133,"Greene County, Georgia",100.0,98.0,0.0,2.0,13133
0500000US13113,"Fayette County, Georgia",99.5,98.1,0.5,1.9000000000000057,13113
0500000US13255,"Spalding County, Georgia",99.5,98.1,0.5,1.9000000000000057,13255
0500000US13185,"Lowndes County, Georgia",98.3,98.2,1.7000000000000028,1.7999999999999972,13185
0500000US13129,"Gordon County, Georgia",99.7,98.2,0.29999999999999716,1.7999999999999972,13129
0500000US13137,"Habersham County, Georgia",100.0,98.2,0.0,1.7999999999999972,13137
