GEO_ID,NAME,Total Renter Occupied,<=0.5 occupants per room,0.51-1 occupant per room,1.01-1.50 occupants per room,1.51-2 occupants per room,>=2.01 occupants per room,% >=1.01 occupants per room,% >= 1.51 occupants,% >=2.01 occupants,GeoID
0500000US13087,"Decatur County, Georgia",3910,2030,1295,127,227,231,0.149616368286445,0.11713554987212277,0.05907928388746803,13087
0500000US13253,"Seminole County, Georgia",974,540,318,7,109,0,0.11909650924024641,0.11190965092402463,0.0,13253
0500000US13235,"Pulaski County, Georgia",975,524,335,42,74,0,0.11897435897435897,0.0758974358974359,0.0,13235
0500000US13099,"Early County, Georgia",1259,676,469,20,85,9,0.09054805401111994,0.07466243050039714,0.007148530579825258,13099
0500000US13263,"Talbot County, Georgia",503,403,62,4,34,0,0.07554671968190854,0.06759443339960239,0.0,13263
0500000US13271,"Telfair County, Georgia",915,570,252,38,55,0,0.10163934426229508,0.060109289617486336,0.0,13271
0500000US13125,"Glascock County, Georgia",295,204,32,42,17,0,0.2,0.0576271186440678,0.0,13125
0500000US13123,"Gilmer County, Georgia",3184,2042,888,85,137,32,0.07977386934673367,0.05307788944723618,0.010050251256281407,13123
0500000US13007,"Baker County, Georgia",405,314,65,7,19,0,0.06419753086419754,0.04691358024691358,0.0,13007
0500000US13129,"Gordon County, Georgia",6380,3258,2577,262,145,138,0.08542319749216301,0.044357366771159874,0.021630094043887146,13129
0500000US13201,"Miller County, Georgia",856,487,274,60,18,17,0.11098130841121495,0.04088785046728972,0.01985981308411215,13201
0500000US13047,"Catoosa County, Georgia",6712,4129,2228,84,271,0,0.05289034564958284,0.040375446960667465,0.0,13047
0500000US13131,"Grady County, Georgia",3384,1775,1332,142,135,0,0.08185579196217493,0.0398936170212766,0.0,13131
0500000US13277,"Tift County, Georgia",5893,3960,1657,44,168,64,0.04683522823689123,0.03936874257593755,0.01086034277956898,13277
0500000US13055,"Chattooga County, Georgia",2960,1619,1098,132,102,9,0.08209459459459459,0.0375,0.0030405405405405407,13055
0500000US13249,"Schley County, Georgia",459,325,106,12,0,16,0.06100217864923747,0.034858387799564274,0.034858387799564274,13249
0500000US13109,"Evans County, Georgia",1458,900,375,137,38,8,0.12551440329218108,0.03155006858710562,0.0054869684499314125,13109
0500000US13027,"Brooks County, Georgia",1840,1086,697,0,19,38,0.03097826086956522,0.03097826086956522,0.020652173913043477,13027
0500000US13233,"Polk County, Georgia",5606,3260,2064,119,163,0,0.050303246521584015,0.02907599001070282,0.0,13233
0500000US13301,"Warren County, Georgia",643,389,220,16,0,18,0.05287713841368585,0.027993779160186624,0.027993779160186624,13301
0500000US13161,"Jeff Davis County, Georgia",1613,1034,505,30,44,0,0.04587724736515809,0.02727836329820211,0.0,13161
0500000US13065,"Clinch County, Georgia",669,416,159,78,0,16,0.14050822122571002,0.02391629297458894,0.02391629297458894,13065
0500000US13035,"Butts County, Georgia",2370,1457,732,125,56,0,0.07637130801687764,0.02362869198312236,0.0,13035
0500000US13139,"Hall County, Georgia",20293,10290,7746,1791,394,72,0.11122061794707534,0.022963583501700094,0.0035480214852412163,13139
0500000US13167,"Johnson County, Georgia",852,566,213,54,19,0,0.08568075117370892,0.022300469483568074,0.0,13167
0500000US13279,"Toombs County, Georgia",3632,2183,1327,44,51,27,0.03359030837004405,0.021475770925110133,0.007433920704845815,13279
0500000US13165,"Jenkins County, Georgia",672,349,309,0,14,0,0.020833333333333332,0.020833333333333332,0.0,13165
0500000US13169,"Jones County, Georgia",1930,1160,714,18,0,38,0.029015544041450778,0.019689119170984457,0.019689119170984457,13169
0500000US13053,"Chattahoochee County, Georgia",1825,1087,703,0,35,0,0.019178082191780823,0.019178082191780823,0.0,13053
0500000US13209,"Montgomery County, Georgia",713,489,172,40,12,0,0.0729312762973352,0.016830294530154277,0.0,13209
0500000US13015,"Bartow County, Georgia",11104,6711,3978,230,151,34,0.03737391930835735,0.016660662824207494,0.0030619596541786743,13015
0500000US13081,"Crisp County, Georgia",3432,2169,1139,69,55,0,0.03613053613053613,0.016025641025641024,0.0,13081
0500000US13121,"Fulton County, Georgia",207382,141434,58523,4234,2788,403,0.03580349307075831,0.015387063486705693,0.0019432737653219663,13121
0500000US13303,"Washington County, Georgia",2415,1709,631,38,26,11,0.031055900621118012,0.015320910973084885,0.004554865424430642,13303
0500000US13011,"Banks County, Georgia",1593,981,516,72,24,0,0.060263653483992465,0.015065913370998116,0.0,13011
0500000US13117,"Forsyth County, Georgia",12864,8213,3943,516,178,14,0.05503731343283582,0.014925373134328358,0.0010883084577114428,13117
0500000US13089,"DeKalb County, Georgia",123583,82428,35586,3741,1537,291,0.04506283226657388,0.014791678467103081,0.0023546927975530616,13089
0500000US13127,"Glynn County, Georgia",11122,6768,3891,300,158,5,0.04162920338068693,0.01465563747527423,0.0004495594317568783,13127
0500000US13153,"Houston County, Georgia",20187,13245,6320,332,271,19,0.03081190865408431,0.014365680883737058,0.0009411997820379452,13153
0500000US13003,"Atkinson County, Georgia",906,465,392,36,13,0,0.05408388520971302,0.01434878587196468,0.0,13003
0500000US13143,"Haralson County, Georgia",3426,2095,1223,59,49,0,0.03152364273204904,0.014302393461762989,0.0,13143
0500000US13285,"Troup County, Georgia",10447,6488,3484,328,109,38,0.04546759835359433,0.014071025174691299,0.0036374078682875465,13285
0500000US13299,"Ware County, Georgia",4694,3723,783,125,63,0,0.04005112910097997,0.01342138900724329,0.0,13299
0500000US13225,"Peach County, Georgia",3535,2149,1272,68,0,46,0.03224893917963225,0.013012729844413012,0.013012729844413012,13225
