2020 Census Tract,T2_est77,T2_est84,T2_est91,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,T7_est109,T7_est130,T7_est151,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13001950100,15,35,0,50,15,195,35,245,0.20408163265306123
13001950201,0,0,0,0,0,50,25,75,0
13001950202,55,0,0,55,100,185,25,310,0.1774193548387097
13001950301,65,0,0,65,100,45,65,210,0.30952380952380953
13001950302,45,0,0,45,120,70,0,190,0.23684210526315788
13001950400,15,10,0,25,20,20,25,65,0.38461538461538464
13001950500,0,25,4,29,20,50,35,105,0.2761904761904762
13003960100,10,75,4,89,40,200,80,320,0.278125
13003960200,50,40,0,90,90,115,50,255,0.35294117647058826
13003960300,55,15,10,80,80,20,20,120,0.6666666666666666
13005970100,25,20,0,45,35,55,20,110,0.4090909090909091
13005970201,100,20,0,120,180,95,65,340,0.35294117647058826
13005970202,20,15,0,35,125,85,80,290,0.1206896551724138
13007960100,50,0,10,60,180,35,75,290,0.20689655172413793
13007960200,15,0,0,15,30,0,55,85,0.17647058823529413
13009970101,0,0,0,0,0,50,40,90,0
13009970102,70,0,0,70,150,0,25,175,0.4
13009970201,65,25,0,90,245,280,245,770,0.11688311688311688
13009970202,95,0,0,95,120,60,45,225,0.4222222222222222
13009970301,0,0,0,0,0,0,0,0,-
13009970302,35,40,55,130,80,40,200,320,0.40625
13009970400,225,20,0,245,305,110,205,620,0.3951612903225806
13009970501,640,165,0,805,690,295,15,1000,0.805
13009970502,10,0,0,10,10,0,0,10,1
13009970600,145,20,0,165,170,115,65,350,0.4714285714285714
13009970701,115,45,0,160,180,130,65,375,0.4266666666666667
13009970702,125,4,4,133,195,25,55,275,0.48363636363636364
13009970801,0,0,0,0,30,0,30,60,0
13009970802,20,345,0,365,20,345,20,385,0.948051948051948
13011970100,45,15,25,85,230,35,140,405,0.20987654320987653
13011970200,30,30,4,64,40,100,50,190,0.3368421052631579
13011970300,35,45,30,110,135,70,110,315,0.3492063492063492
13011970400,20,40,0,60,45,60,40,145,0.41379310344827586
13013180103,285,0,10,295,315,70,40,425,0.6941176470588235
13013180104,10,0,4,14,10,75,35,120,0.11666666666666667
13013180105,10,0,0,10,20,35,0,55,0.18181818181818182
13013180106,35,0,45,80,55,90,80,225,0.35555555555555557
13013180107,20,30,0,50,40,105,70,215,0.23255813953488372
13013180108,10,20,0,30,20,50,20,90,0.3333333333333333
13013180203,100,0,15,115,225,150,115,490,0.23469387755102042
13013180204,100,15,50,165,165,125,120,410,0.4024390243902439
13013180205,95,40,0,135,215,175,100,490,0.2755102040816326
13013180206,35,25,0,60,65,45,140,250,0.24
13013180301,25,4,0,29,50,60,70,180,0.16111111111111112
13013180302,0,45,0,45,0,95,65,160,0.28125
13013180303,55,10,0,65,55,30,200,285,0.22807017543859648
13013180401,10,10,0,20,30,25,25,80,0.25
13013180402,85,4,0,89,210,115,170,495,0.1797979797979798
13013180501,0,25,10,35,10,90,150,250,0.14
13013180502,115,10,0,125,135,15,35,185,0.6756756756756757
13013180503,65,4,0,69,80,50,85,215,0.3209302325581395
13015960101,20,0,0,20,20,50,15,85,0.23529411764705882
13015960103,0,0,0,0,0,0,20,20,0
13015960104,25,4,15,44,35,70,90,195,0.22564102564102564
13015960105,25,4,0,29,45,60,4,109,0.26605504587155965
13015960201,0,0,45,45,0,0,95,95,0.47368421052631576
13015960202,0,0,50,50,150,45,140,335,0.14925373134328357
13015960203,75,0,0,75,220,55,70,345,0.21739130434782608
13015960301,10,0,0,10,10,55,30,95,0.10526315789473684
13015960302,4,0,4,8,15,4,75,94,0.0851063829787234
13015960403,40,10,15,65,265,195,545,1005,0.06467661691542288
13015960404,230,85,0,315,230,160,145,535,0.5887850467289719
13015960405,95,0,0,95,115,110,275,500,0.19
13015960406,10,0,0,10,50,105,65,220,0.045454545454545456
13015960407,30,0,30,60,50,35,45,130,0.46153846153846156
13015960501,230,45,0,275,240,165,240,645,0.4263565891472868
13015960502,120,0,0,120,150,0,50,200,0.6
13015960601,165,10,0,175,210,205,100,515,0.33980582524271846
13015960602,175,10,0,185,260,85,130,475,0.3894736842105263
13015960701,220,110,0,330,380,260,340,980,0.336734693877551
13015960702,0,0,0,0,0,145,330,475,0
13015960801,185,30,0,215,185,60,10,255,0.8431372549019608
