geoid,name,Housing Problems: Less than or equal to 30% of HAMFI,Housing Problems: Greater than 30% but less than or equal to 50% of HAMFI,Housing Problems: Greater than 50% but less than or equal to 80% of HAMFI,Total with Housing Problems,Total: Less than or equal to 30% of HAMFI,Total: Greater than 30% but less than or equal to 50% of HAMFI,Total: Greater than 50% but less than or equal to 80% of HAMFI,Total renters,Total: Propotion of Housing Problems to Total Renters,GeoID2
05000US13001,"Appling County, Georgia",255,145,50,450,440,330,245,1015,0.4433497536945813,13001
05000US13003,"Atkinson County, Georgia",140,75,10,225,255,185,165,605,0.371900826446281,13003
05000US13005,"Bacon County, Georgia",170,145,40,355,325,230,270,825,0.4303030303030303,13005
05000US13007,"Baker County, Georgia",120,10,20,150,190,35,130,355,0.4225352112676056,13007
05000US13009,"Baldwin County, Georgia",1435,1220,410,3065,2130,1445,895,4470,0.685682326621924,13009
05000US13011,"Banks County, Georgia",180,195,250,625,360,280,475,1115,0.5605381165919282,13011
05000US13013,"Barrow County, Georgia",1310,990,285,2585,1700,1455,1460,4615,0.5601300108342362,13013
05000US13015,"Bartow County, Georgia",2710,2035,605,5350,3270,2720,3335,9325,0.5737265415549598,13015
05000US13017,"Ben Hill County, Georgia",390,325,165,880,850,470,600,1920,0.4583333333333333,13017
05000US13019,"Berrien County, Georgia",470,335,120,925,765,500,455,1720,0.5377906976744186,13019
05000US13021,"Bibb County, Georgia",5990,3720,2985,12695,8370,4570,5195,18135,0.7000275709953129,13021
05000US13023,"Bleckley County, Georgia",190,70,25,285,335,130,215,680,0.41911764705882354,13023
05000US13025,"Brantley County, Georgia",270,265,35,570,315,500,245,1060,0.5377358490566038,13025
05000US13027,"Brooks County, Georgia",310,155,90,555,510,220,395,1125,0.49333333333333335,13027
05000US13029,"Bryan County, Georgia",585,595,490,1670,785,750,725,2260,0.7389380530973452,13029
05000US13031,"Bulloch County, Georgia",2470,2135,1155,5760,3095,2445,2750,8290,0.6948130277442702,13031
05000US13033,"Burke County, Georgia",695,175,115,985,890,335,495,1720,0.5726744186046512,13033
05000US13035,"Butts County, Georgia",245,505,315,1065,465,550,570,1585,0.6719242902208202,13035
05000US13037,"Calhoun County, Georgia",105,20,15,140,195,100,150,445,0.3146067415730337,13037
05000US13039,"Camden County, Georgia",1190,775,1075,3040,1390,1010,1690,4090,0.7432762836185819,13039
05000US13043,"Candler County, Georgia",520,260,125,905,680,330,365,1375,0.6581818181818182,13043
05000US13045,"Carroll County, Georgia",3435,1590,485,5510,4530,2580,3020,10130,0.543928923988154,13045
05000US13047,"Catoosa County, Georgia",955,800,390,2145,1345,1050,1745,4140,0.5181159420289855,13047
05000US13049,"Charlton County, Georgia",190,140,40,370,325,245,140,710,0.5211267605633803,13049
05000US13051,"Chatham County, Georgia",8180,6850,5285,20315,11065,8240,9875,29180,0.6961960246744345,13051
05000US13053,"Chattahoochee County, Georgia",235,165,270,670,280,210,445,935,0.7165775401069518,13053
05000US13055,"Chattooga County, Georgia",390,410,275,1075,680,690,690,2060,0.5218446601941747,13055
05000US13057,"Cherokee County, Georgia",3045,2765,1915,7725,4005,3330,4430,11765,0.6566085847853803,13057
05000US13059,"Clarke County, Georgia",8175,4625,2765,15565,10245,5455,6350,22050,0.7058956916099773,13059
05000US13061,"Clay County, Georgia",80,25,4,109,115,85,70,270,0.40370370370370373,13061
05000US13063,"Clayton County, Georgia",10620,8815,3915,23350,12645,10535,11855,35035,0.666476380762095,13063
05000US13065,"Clinch County, Georgia",135,35,30,200,285,85,95,465,0.43010752688172044,13065
05000US13067,"Cobb County, Georgia",13420,14455,13055,40930,16420,16080,22420,54920,0.745265841223598,13067
05000US13069,"Coffee County, Georgia",940,605,310,1855,1370,930,1265,3565,0.520336605890603,13069
05000US13071,"Colquitt County, Georgia",955,935,615,2505,1540,1205,1520,4265,0.5873388042203986,13071
05000US13073,"Columbia County, Georgia",825,925,980,2730,1050,1160,1625,3835,0.711864406779661,13073
05000US13075,"Cook County, Georgia",325,250,210,785,520,315,460,1295,0.6061776061776062,13075
05000US13077,"Coweta County, Georgia",2770,2085,1290,6145,3405,2750,2750,8905,0.6900617630544638,13077
05000US13079,"Crawford County, Georgia",115,85,115,315,240,100,230,570,0.5526315789473685,13079
05000US13081,"Crisp County, Georgia",935,570,215,1720,1470,965,555,2990,0.5752508361204013,13081
05000US13083,"Dade County, Georgia",215,205,130,550,270,290,520,1080,0.5092592592592593,13083
05000US13085,"Dawson County, Georgia",275,170,150,595,380,325,480,1185,0.5021097046413502,13085
05000US13087,"Decatur County, Georgia",685,505,390,1580,1140,585,820,2545,0.6208251473477406,13087
05000US13089,"DeKalb County, Georgia",23265,20690,15665,59620,29040,23120,29050,81210,0.7341460411279399,13089
05000US13091,"Dodge County, Georgia",400,240,110,750,665,515,470,1650,0.45454545454545453,13091
