cbsa,statefp,cnty,stcnty,tract,splittr,qct_id,fips
10500,13,095,13095,0015.00,0,1.3095E+11,13095001500
10500,13,095,13095,0114.00,0,1.3095E+11,13095011400
10500,13,095,13095,0106.01,0,1.3095E+11,13095010601
10500,13,095,13095,0001.01,0,1.3095E+11,13095000101
10500,13,095,13095,0107.01,0,1.3095E+11,13095010701
10500,13,095,13095,0103.02,0,1.3095E+11,13095010302
10500,13,273,13273,1203,0,1.32731E+11,13273120300
10500,13,095,13095,0008.00,0,1.3095E+11,13095000800
10500,13,095,13095,0002.00,0,1.3095E+11,13095000200
10500,13,095,13095,0014.03,0,1.3095E+11,13095001403
10500,13,273,13273,1204,0,1.32731E+11,13273120400
12020,13,059,13059,0001.00,0,1.3059E+11,13059000100
12020,13,059,13059,0301.01,0,1.3059E+11,13059030101
12020,13,059,13059,0009.00,0,1.3059E+11,13059000900
12020,13,059,13059,1504,0,1.30592E+11,13059150400
12020,13,059,13059,0302.00,0,1.3059E+11,13059030200
12020,13,059,13059,1405,0,1.30591E+11,13059140500
12020,13,059,13059,0301.02,0,1.3059E+11,13059030102
12020,13,059,13059,0006.00,0,1.3059E+11,13059000600
12020,13,059,13059,0021.00,0,1.3059E+11,13059002100
12020,13,059,13059,0004.01,0,1.3059E+11,13059000401
12020,13,059,13059,1505,0,1.30592E+11,13059150500
12020,13,059,13059,1506,0,1.30592E+11,13059150600
12060,13,121,13121,0068.02,0,1.3121E+11,13121006802
12060,13,121,13121,0078.08,0,1.3121E+11,13121007808
12060,13,121,13121,0076.03,0,1.3121E+11,13121007603
12060,13,045,13045,9105.02,0,1.30459E+11,13045910502
12060,13,121,13121,0048.00,0,1.3121E+11,13121004800
12060,13,121,13121,0074.00,0,1.3121E+11,13121007400
12060,13,255,13255,1604.02,0,1.32552E+11,13255160402
12060,13,121,13121,0042.00,0,1.3121E+11,13121004200
12060,13,255,13255,1608,0,1.32552E+11,13255160800
12060,13,121,13121,0110.00,0,1.3121E+11,13121011000
12060,13,121,13121,0086.01,0,1.3121E+11,13121008601
12060,13,121,13121,0066.02,0,1.3121E+11,13121006602
12060,13,121,13121,0076.04,0,1.3121E+11,13121007604
12060,13,121,13121,0073.02,0,1.3121E+11,13121007302
12060,13,063,13063,0406.34,0,1.3063E+11,13063040634
12060,13,121,13121,0083.01,0,1.3121E+11,13121008301
12060,13,121,13121,0025.00,0,1.3121E+11,13121002500
12060,13,121,13121,0028.02,0,1.3121E+11,13121002802
12060,13,089,13089,0220.12,0,1.3089E+11,13089022012
12060,13,121,13121,0070.01,0,1.3121E+11,13121007001
12060,13,255,13255,1604.01,0,1.32552E+11,13255160401
12060,13,121,13121,0083.02,0,1.3121E+11,13121008302
12060,13,121,13121,0024.00,0,1.3121E+11,13121002400
12060,13,121,13121,0075.00,0,1.3121E+11,13121007500
12060,13,089,13089,0220.14,0,1.3089E+11,13089022014
12060,13,121,13121,0023.00,0,1.3121E+11,13121002300
12060,13,121,13121,0061.00,0,1.3121E+11,13121006100
12060,13,121,13121,0063.00,0,1.3121E+11,13121006300
12060,13,121,13121,0071.00,0,1.3121E+11,13121007100
12060,13,089,13089,0232.18,0,1.3089E+11,13089023218
12060,13,063,13063,0405.19,0,1.3063E+11,13063040519
12060,13,089,13089,0224.04,0,1.3089E+11,13089022404
12060,13,089,13089,0219.13,0,1.3089E+11,13089021913
12060,13,077,13077,1706.05,0,1.30772E+11,13077170605
12060,13,255,13255,1609,0,1.32552E+11,13255160900
12060,13,089,13089,0234.30,0,1.3089E+11,13089023430
12060,13,063,13063,0403.06,0,1.3063E+11,13063040306
12060,13,255,13255,1603,0,1.32552E+11,13255160300
12060,13,121,13121,0040.00,0,1.3121E+11,13121004000
12060,13,063,13063,0406.17,0,1.3063E+11,13063040617
12060,13,121,13121,0064.00,0,1.3121E+11,13121006400
12060,13,045,13045,9105.03,0,1.30459E+11,13045910503
12060,13,121,13121,0039.00,0,1.3121E+11,13121003900
12060,13,089,13089,0231.12,0,1.3089E+11,13089023112
12060,13,297,13297,1103.02,0,1.32971E+11,13297110302
12060,13,067,13067,0310.01,0,1.3067E+11,13067031001
12060,13,247,13247,0602.01,0,1.32471E+11,13247060201
12060,13,089,13089,0231.08,0,1.3089E+11,13089023108
12060,13,121,13121,0010.02,0,1.3121E+11,13121001002
12060,13,067,13067,0313.19,0,1.3067E+11,13067031319
12060,13,297,13297,1104,0,1.32971E+11,13297110400
12060,13,013,13013,1802.03,0,1.30132E+11,13013180203
12060,13,121,13121,0113.10,0,1.3121E+11,13121011310
12060,13,089,13089,0220.13,0,1.3089E+11,13089022013
12060,13,097,13097,0803.03,0,1.30971E+11,13097080303
12060,13,217,13217,1004,0,1.32171E+11,13217100400
12060,13,217,13217,1007.02,0,1.32171E+11,13217100702
12060,13,067,13067,0309.11,0,1.3067E+11,13067030911
12060,13,067,13067,0304.14,0,1.3067E+11,13067030414
12060,13,089,13089,0231.14,0,1.3089E+11,13089023114
