System ID,System Name,School ID,School Name,Grade Cluster,2015,2016.0,2017.0,2018.0,2019.0,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?
601,Appling County,103,Appling County High School,H,73.6,81.3,84.4,80.9,76.2,0.10461956521739100,0.038130381303813100,-0.058096415327564900,0.028217843731213200,Yes,79.28,2015-2019,67.97,Yes,Yes
601,Appling County,177,Appling County Elementary School,E,68.8,67.5,82.0,71.8,69.4,-0.018895348837209300,0.21481481481481500,-0.033426183844011000,0.054164427377864800,Yes,71.9,2015-2019,66.04000000000000,Yes,Yes
601,Appling County,195,Appling County Middle School,M,68.8,74.0,75.8,77.1,75.4,0.07558139534883730,0.024324324324324300,-0.022049286640726200,0.025952144344145100,Yes,74.22,2015-2019,65.54000000000000,Yes,Yes
601,Appling County,277,Appling County Primary School,E,,,,66.1,60.0,,,-0.09228441754916780,-0.09228441754916780,No,63.05,2018-2019,65.75,No,No
601,Appling County,1050,Altamaha Elementary School,E,72.3,79.8,79.2,70.6,71.1,0.1037344398340250,-0.007518796992481130,0.00708215297450425,0.03443259860534930,Yes,74.6,2015-2019,66.04000000000000,Yes,Yes
601,Appling County,5050,Fourth District Elementary School,E,68.2,63.0,74.9,76.9,84.7,-0.07624633431085050,0.18888888888888900,0.10143042912873900,0.07135766123559240,Yes,73.54000000000000,2015-2019,66.04000000000000,Yes,Yes
601,Appling County,ALL,All Schools,E,68.7,66.8,80.6,73.2,69.3,-0.027656477438136900,0.20658682634730500,-0.05327868852459020,0.0418838867948594,Yes,71.72,2015-2019,66.04000000000000,Yes,Yes
601,Appling County,ALL,All Schools,H,73.6,81.3,84.4,80.9,76.2,0.10461956521739100,0.038130381303813100,-0.058096415327564900,0.028217843731213200,Yes,79.28,2015-2019,67.97,Yes,Yes
601,Appling County,ALL,All Schools,M,68.3,73.5,75.8,77.1,75.4,0.07613469985358720,0.03129251700680270,-0.022049286640726200,0.02845931007322120,Yes,74.02000000000000,2015-2019,65.54000000000000,Yes,Yes
602,Atkinson County,103,Atkinson County High School,H,88.5,78.5,80.1,72.3,76.7,-0.11299435028248600,0.020382165605095500,0.060857538035961400,-0.010584882213809700,No,79.22,2015-2019,67.97,Yes,No
602,Atkinson County,111,Atkinson County Middle School,M,72.7,69.2,77.0,62.7,73.6,-0.048143053645116900,0.1127167630057800,0.1738437001594900,0.07947246984005100,Yes,71.04,2015-2019,65.54000000000000,Yes,Yes
602,Atkinson County,187,Willacoochee Elementary School,E,89.7,85.3,83.6,62.6,75.1,-0.049052396878483900,-0.019929660023446700,0.1996805111821090,0.043566151426726000,Yes,79.26000000000000,2015-2019,66.04000000000000,Yes,Yes
602,Atkinson County,190,Pearson Elementary School,E,84.8,74.2,74.7,70.6,81.0,-0.12500000000000000,0.0067385444743935300,0.1473087818696890,0.009682442114694030,Yes,77.06000000000000,2015-2019,66.04000000000000,Yes,Yes
602,Atkinson County,ALL,All Schools,E,85.5,76.8,75.6,68.6,78.5,-0.10175438596491200,-0.015625000000000000,0.14431486880466500,0.008978494279917490,Yes,77,2015-2019,66.04000000000000,Yes,Yes
602,Atkinson County,ALL,All Schools,H,88.5,78.5,79.6,72.3,76.7,-0.11299435028248600,0.014012738853503100,0.060857538035961400,-0.012708024464340500,No,79.12000000000000,2015-2019,67.97,Yes,No
602,Atkinson County,ALL,All Schools,M,72.2,68.7,76.0,62.7,73.6,-0.048476454293628800,0.10625909752547300,0.1738437001594900,0.07720878113044460,Yes,70.64000000000000,2015-2019,65.54000000000000,Yes,Yes
603,Bacon County,102,Bacon County Primary School,E,,,,68.0,86.2,,,0.26764705882352900,0.26764705882352900,Yes,77.1,2018-2019,65.75,Yes,Yes
603,Bacon County,202,Bacon County Middle School,M,66.2,64.6,59.3,62.7,85.0,-0.02416918429003030,-0.08204334365325070,0.3556618819776710,0.08314978467813010,Yes,67.56,2015-2019,65.54000000000000,Yes,Yes
603,Bacon County,302,Bacon County High School,H,67,69.1,66.9,78.9,81.4,0.031343283582089500,-0.03183791606367570,0.03168567807351080,0.010397015197308200,Yes,72.66,2015-2019,67.97,Yes,Yes
603,Bacon County,3050,Bacon County Elementary School,E,79.8,82.1,79.9,77.6,80.0,0.028822055137844600,-0.026796589524969400,0.030927835051546500,0.010984433554807200,Yes,79.88,2015-2019,66.04000000000000,Yes,Yes
603,Bacon County,ALL,All Schools,E,79.2,81.6,78.4,77.5,79.8,0.030303030303030200,-0.039215686274509700,0.029677419354838700,0.006921587794453070,Yes,79.30000000000000,2015-2019,66.04000000000000,Yes,Yes
603,Bacon County,ALL,All Schools,H,67,68.6,65.9,78.9,81.4,0.023880597014925300,-0.039358600583090200,0.03168567807351080,0.005402558168448610,Yes,72.36000000000000,2015-2019,67.97,Yes,Yes
603,Bacon County,ALL,All Schools,M,66.2,64.1,58.3,62.7,85.0,-0.03172205438066480,-0.09048361934477380,0.3556618819776710,0.07781873608407760,Yes,67.26,2015-2019,65.54000000000000,Yes,Yes
604,Baker County,105,Baker County K12 School,E,49.4,49.7,48.2,53.4,60.4,0.006072874493927210,-0.030181086519114700,0.1310861423220970,0.03565931009897000,Yes,52.220000000000000,2015-2019,66.04000000000000,No,No
604,Baker County,105,Baker County K12 School,H,76.5,81.3,60.2,58.7,66.7,0.06274509803921560,-0.2595325953259530,0.1362862010221470,-0.020167098754863700,No,68.68000000000000,2015-2019,67.97,Yes,No
604,Baker County,105,Baker County K12 School,M,65.1,68.1,68.2,53.2,53.3,0.04608294930875580,0.0014684287812042400,0.0018796992481201900,0.016477025779360100,Yes,61.58,2015-2019,65.54000000000000,No,No
604,Baker County,183,Baker County Learning Center,H,,,,,,,,,,,,,,No,
604,Baker County,ALL,All Schools,E,48.9,48.7,48.2,53.4,60.4,-0.004089979550102160,-0.01026694045174540,0.1310861423220970,0.038909740773416600,Yes,51.92,2015-2019,66.04000000000000,No,No
604,Baker County,ALL,All Schools,H,76,80.8,60.2,58.7,66.7,0.06315789473684210,-0.2549504950495050,0.1362862010221470,-0.018502133096838800,No,68.48000000000000,2015-2019,67.97,Yes,No
604,Baker County,ALL,All Schools,M,64.6,67.6,68.2,53.2,53.3,0.04643962848297210,0.008875739644970540,0.0018796992481201900,0.019065022458687600,Yes,61.380000000000000,2015-2019,65.54000000000000,No,No
605,Baldwin County,100,Oak Hill MS,M,55.1,59.1,59.8,61.3,64.6,0.07259528130671510,0.011844331641285900,0.05383360522022830,0.0460910727227431,Yes,59.98,2015-2019,65.54000000000000,No,No
605,Baldwin County,104,Eagle Ridge Elementary School,E,47.3,54.1,60.8,,,0.1437632135306560,0.12384473197781900,,0.13380397275423700,Yes,54.06666666666670,2015-2017,64.66666666666670,No,No
605,Baldwin County,189,Baldwin High School,H,72.8,77.8,76.2,59.8,81.7,0.06868131868131870,-0.02056555269922870,0.36622073578595300,0.1381121672560140,Yes,73.66,2015-2019,67.97,Yes,Yes
605,Baldwin County,194,Midway Elementary School,E,56.3,56.6,55.9,,,0.005328596802841990,-0.012367491166077800,,-0.003519447181617900,No,56.26666666666670,2015-2017,64.66666666666670,No,No
605,Baldwin County,195,Blandy Hills Elementary School,E,49.4,62.8,69.4,,,0.27125506072874500,0.10509554140127400,,0.1881753010650100,Yes,60.53333333333330,2015-2017,64.66666666666670,No,No
605,Baldwin County,199,Creekside Elementary School,E,66.6,69.0,72.5,,,0.036036036036036100,0.050724637681159400,,0.043380336858597800,Yes,69.36666666666670,2015-2017,64.66666666666670,Yes,Yes
605,Baldwin County,300,Lakeview Academy,E,,,,66.5,71.6,,,0.07669172932330820,0.07669172932330820,Yes,69.05,2018-2019,65.75,Yes,Yes
605,Baldwin County,301,Midway Hills Primary,E,,,,50.2,60.5,,,0.20517928286852600,0.20517928286852600,Yes,55.35,2018-2019,65.75,No,No
605,Baldwin County,302,Lakeview Primary,E,,,,48.6,70.7,,,0.4547325102880660,0.4547325102880660,Yes,59.650000000000000,2018-2019,65.75,No,No
605,Baldwin County,303,Midway Hills Academy,E,,,,51.6,56.5,,,0.0949612403100775,0.0949612403100775,Yes,54.05,2018-2019,65.75,No,No
605,Baldwin County,ALL,All Schools,E,53,60.0,66.4,58.7,66.3,0.1320754716981130,0.10666666666666700,0.1294718909710390,0.12273800977860600,Yes,60.88000000000000,2015-2019,66.04000000000000,No,No
605,Baldwin County,ALL,All Schools,H,72.8,77.3,75.7,59.8,81.7,0.061813186813186800,-0.020698576972833000,0.36622073578595300,0.13577844854210200,Yes,73.46000000000000,2015-2019,67.97,Yes,Yes
605,Baldwin County,ALL,All Schools,M,55.1,58.6,59.4,61.4,64.6,0.06352087114337570,0.013651877133105800,0.05211726384364810,0.04309667070670990,Yes,59.82000000000000,2015-2019,65.54000000000000,No,No
606,Banks County,105,Banks County Middle School,M,72.8,77.5,81.5,64.4,75.2,0.06456043956043960,0.05161290322580650,0.1677018633540370,0.09462506871342780,Yes,74.28,2015-2019,65.54000000000000,Yes,Yes
606,Banks County,107,Banks County Elementary School,E,73.2,79.0,80.9,80.9,75.8,0.07923497267759560,0.024050632911392500,-0.06304079110012370,0.013414938162954800,Yes,77.96000000000000,2015-2019,66.04000000000000,Yes,Yes
606,Banks County,199,Banks County High School,H,75.9,81.9,76.4,73.5,73.1,0.07905138339920950,-0.06715506715506720,-0.005442176870748380,0.0021513797911313100,Yes,76.16000000000000,2015-2019,67.97,Yes,Yes
606,Banks County,205,Banks County Primary School,E,,,,77.1,74.3,,,-0.03631647211413750,-0.03631647211413750,No,75.70000000000000,2018-2019,65.75,Yes,No
606,Banks County,ALL,All Schools,E,72.5,77.8,80.7,80.9,75.9,0.07310344827586200,0.03727506426735230,-0.061804697156983900,0.016191271795410100,Yes,77.56000000000000,2015-2019,66.04000000000000,Yes,Yes
606,Banks County,ALL,All Schools,H,75.9,81.9,75.9,73.5,73.1,0.07905138339920950,-0.07326007326007330,-0.005442176870748380,0.00011637775612928200,Yes,76.06000000000000,2015-2019,67.97,Yes,Yes
606,Banks County,ALL,All Schools,M,72.3,77.0,81.0,64.4,75.2,0.06500691562932230,0.05194805194805200,0.1677018633540370,0.09488561031047050,Yes,73.98,2015-2019,65.54000000000000,Yes,Yes
607,Barrow County,101,Apalachee High School,H,76,76.9,73.4,77.0,77.0,0.01184210526315800,-0.045513654096228900,0,-0.011223849611023600,No,76.06,2015-2019,67.97,Yes,No
607,Barrow County,105,County Line Elementary School,E,75.7,76.8,83.3,76.4,81.7,0.014531043593130700,0.08463541666666670,0.06937172774869110,0.05617939600282950,Yes,78.78,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,106,Haymon-Morris Middle School,M,78,79.5,76.1,60.6,71.5,0.019230769230769200,-0.04276729559748440,0.17986798679868000,0.05211048681065490,Yes,73.14,2015-2019,65.54000000000000,Yes,Yes
607,Barrow County,113,Snodon Preparatory School,H,36.5,,,,,,,,,,,,,No,
607,Barrow County,114,Bear Creek Middle School,M,72,73.9,84.2,82.1,74.9,0.02638888888888900,0.1393775372124490,-0.08769792935444570,0.026022832248964200,Yes,77.42,2015-2019,65.54000000000000,Yes,Yes
607,Barrow County,189,Kennedy Elementary School,E,82.9,80.9,90.5,77.1,69.9,-0.024125452352231600,0.11866501854140900,-0.09338521400778200,0.00038478406046516900,Yes,80.26000000000000,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,193,Bramlett Elementary School,E,80.8,82.2,86.4,79.1,91.9,0.017326732673267400,0.05109489051094890,0.16182048040455100,0.07674736786292260,Yes,84.08,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,198,Westside Middle School,M,67.7,69.7,69.7,59.3,67.9,0.029542097488921700,0,0.1450252951096120,0.058189130866178000,Yes,66.86000000000000,2015-2019,65.54000000000000,Yes,Yes
607,Barrow County,205,Bethlehem Elementary School,E,75.7,80.9,81.8,72.4,78.7,0.06869220607661830,0.011124845488257000,0.08701657458563530,0.055611208716836900,Yes,77.9,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,289,Russell Middle School,M,75.2,76.8,74.3,71.6,81.9,0.021276595744680800,-0.032552083333333300,0.14385474860335200,0.04419308700489990,Yes,75.96,2015-2019,65.54000000000000,Yes,Yes
607,Barrow County,298,Yargo Elementary School,E,76.7,71.3,80.5,71.7,75.3,-0.07040417209908740,0.12903225806451600,0.05020920502092040,0.036279096995449700,Yes,75.1,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,299,Winder Elementary School,E,,,,73.2,70.6,,,-0.035519125683060200,-0.035519125683060200,No,71.9,2018-2019,65.75,Yes,No
607,Barrow County,1050,Auburn Elementary School,E,60.7,76.0,71.4,61.5,80.9,0.2520593080724880,-0.06052631578947360,0.3154471544715450,0.1689933822515200,Yes,70.1,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,3052,Winder-Barrow High School,H,80.2,74.5,73.0,69.4,74.3,-0.07107231920199500,-0.020134228187919500,0.07060518731988460,-0.006867120023343300,No,74.28,2015-2019,67.97,Yes,No
607,Barrow County,4050,Holsenbeck Elementary School,E,78,72.4,85.4,71.2,82.1,-0.07179487179487170,0.17955801104972400,0.1530898876404490,0.08695100896510040,Yes,77.82000000000000,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,5050,Statham Elementary School,E,71.5,82.2,84.5,64.3,71.0,0.14965034965035000,0.02798053527980530,0.10419906687402800,0.093943317268061,Yes,74.7,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,ALL,All Schools,E,75.8,76.9,82.1,66.9,77.7,0.014511873350923600,0.0676202860858256,0.16143497757847500,0.0811890456717415,Yes,75.88,2015-2019,66.04000000000000,Yes,Yes
607,Barrow County,ALL,All Schools,H,73.3,74.5,72.2,73.8,75.8,0.016371077762619400,-0.030872483221476500,0.02710027100271000,0.00419962184795099,Yes,73.92,2015-2019,67.97,Yes,Yes
607,Barrow County,ALL,All Schools,M,71.6,74.1,75.4,66.6,75.9,0.03491620111731840,0.017543859649123000,0.13963963963964000,0.06403323346869370,Yes,72.72,2015-2019,65.54000000000000,Yes,Yes
608,Bartow County,101,Woodland Middle School at Euharlee,M,62.8,76.4,67.9,70.3,69.0,0.21656050955414000,-0.1112565445026180,-0.018492176386913200,0.028937262888203100,Yes,69.28,2015-2019,65.54000000000000,Yes,Yes
608,Bartow County,104,Clear Creek Elementary School,E,74.4,68.7,75.4,70.4,77.4,-0.07661290322580650,0.09752547307132460,0.09943181818181820,0.040114796009112100,Yes,73.26000000000000,2015-2019,66.04000000000000,Yes,Yes
608,Bartow County,105,Adairsville High School,H,63.5,66.7,68.8,72.5,68.1,0.05039370078740160,0.03148425787106440,-0.06068965517241390,0.007062767828684050,Yes,67.92,2015-2019,67.97,No,No
608,Bartow County,106,Pine Log Elementary,E,74.2,72.1,69.8,81.4,78.1,-0.028301886792452900,-0.031900138696255200,-0.040540540540540700,-0.03358085534308290,No,75.12,2015-2019,66.04000000000000,Yes,No
608,Bartow County,107,Euharlee Elementary School,E,66.2,79.0,80.9,66.2,82.7,0.19335347432024200,0.024050632911392500,0.24924471299093700,0.15554960674085700,Yes,75,2015-2019,66.04000000000000,Yes,Yes
608,Bartow County,114,Cass High School,H,73.7,71.5,71.7,75.5,70.2,-0.029850746268656800,0.002797202797202840,-0.0701986754966887,-0.032417406322714200,No,72.52,2015-2019,67.97,Yes,No
608,Bartow County,115,Cloverleaf Elementary,E,70.5,67.3,65.8,75.4,80.2,-0.04539007092198590,-0.022288261515601800,0.06366047745358090,-0.0013392849946689300,No,71.84,2015-2019,66.04000000000000,Yes,No
608,Bartow County,175,White Elementary School,E,79.3,80.3,78.3,88.9,81.5,0.012610340479192900,-0.024906600249066000,-0.08323959505061870,-0.031845284940163900,No,81.66,2015-2019,66.04000000000000,Yes,No
608,Bartow County,177,Adairsville Elementary School,E,60.6,71.1,77.1,74.2,70.3,0.17326732673267300,0.08438818565400850,-0.05256064690026960,0.06836495516213730,Yes,70.66,2015-2019,66.04000000000000,Yes,Yes
608,Bartow County,186,Mission Road Elementary School,E,67.1,74.7,70.1,82.3,73.5,0.11326378539493300,-0.06157965194109780,-0.10692588092345100,-0.018413915823205200,No,73.54000000000000,2015-2019,66.04000000000000,Yes,No
608,Bartow County,190,South Central Middle School,M,66,64.0,62.2,64.7,52.5,-0.030303030303030300,-0.028125000000000000,-0.1885625965996910,-0.08233020896757370,No,61.880000000000000,2015-2019,65.54000000000000,No,No
608,Bartow County,195,Cass Middle School,M,69.2,69.5,76.8,66.6,74.8,0.004335260115606900,0.10503597122302200,0.12312312312312300,0.0774981181539172,Yes,71.38000000000000,2015-2019,65.54000000000000,Yes,Yes
608,Bartow County,196,Allatoona Elementary School,E,61.3,72.5,64.7,76.3,63.5,0.1827079934747150,-0.10758620689655200,-0.1677588466579290,-0.030879020026588800,No,67.66,2015-2019,66.04000000000000,Yes,No
608,Bartow County,198,Woodland High School,H,68.5,78.8,76.1,75.2,72.0,0.15036496350365000,-0.034263959390863000,-0.042553191489361700,0.02451593754114160,Yes,74.12,2015-2019,67.97,Yes,Yes
608,Bartow County,296,Kingston Elementary School,E,69.8,80.6,67.2,73.2,65.7,0.15472779369627500,-0.1662531017369730,-0.10245901639344300,-0.03799477481138010,No,71.30000000000000,2015-2019,66.04000000000000,Yes,No
608,Bartow County,301,Adairsville Middle School,M,72.6,81.4,71.3,71.4,71.1,0.12121212121212100,-0.12407862407862400,-0.004201680672269070,-0.0023560611795906200,No,73.56000000000000,2015-2019,65.54000000000000,Yes,No
608,Bartow County,377,Hamilton Crossing Elementary School,E,61.2,67.4,69.7,65.2,71.2,0.1013071895424840,0.03412462908011870,0.09202453987730060,0.07581878616663430,Yes,66.94,2015-2019,66.04000000000000,Yes,Yes
608,Bartow County,396,Taylorsville Elementary School,E,66.8,72.7,73.5,69.2,67.0,0.08832335329341330,0.011004126547455300,-0.03179190751445090,0.0225118574421392,Yes,69.84,2015-2019,66.04000000000000,Yes,Yes
608,Bartow County,2052,Emerson Elementary School,E,71.7,79.4,79.1,59.1,62.3,0.1073919107391910,-0.003778337531486290,0.05414551607445000,0.052586363094051600,Yes,70.32000000000000,2015-2019,66.04000000000000,Yes,Yes
