sys_sch,System ID,System Name,School ID,School Name,2019 CCRPI Single Score,2019 BTO Designation
6011050,601,Appling County,1050,Altamaha Elementary School,71.1,Below Expected Range
601177,601,Appling County,177,Appling County Elementary School,69.4,Within Expected Range
601103,601,Appling County,103,Appling County High School,76.2,Beating the Odds
601195,601,Appling County,195,Appling County Middle School,75.4,Within Expected Range
601277,601,Appling County,277,Appling County Primary School,60,Below Expected Range
6015050,601,Appling County,5050,Fourth District Elementary School,84.7,Beating the Odds
602103,602,Atkinson County,103,Atkinson County High School,76.7,Beating the Odds
602111,602,Atkinson County,111,Atkinson County Middle School,73.6,Within Expected Range
602190,602,Atkinson County,190,Pearson Elementary School,81,Beating the Odds
602187,602,Atkinson County,187,Willacoochee Elementary School,75.1,Beating the Odds
761403,761,Atlanta Public Schools,403,APS-Forrest Hills Academy,32.7,Beating the Odds
761415,761,Atlanta Public Schools,415,Atlanta Classical Academy,82.3,Within Expected Range
761505,761,Atlanta Public Schools,505,Atlanta Neighborhood Charter - Elementary,84.2,Within Expected Range
761206,761,Atlanta Public Schools,206,Atlanta Neighborhood Charter - Middle,78.2,Below Expected Range
7611411,761,Atlanta Public Schools,1411,B.E.S.T Academy,65.8,Within Expected Range
7615066,761,Atlanta Public Schools,5066,Barack and Michelle Obama Academy,50.2,Below Expected Range
761604,761,Atlanta Public Schools,604,Bazoline E. Usher/Collier Heights Elmentary School,65.8,Beating the Odds
7613051,761,Atlanta Public Schools,3051,Beecher Hills Elementary School,65.6,Within Expected Range
7615051,761,Atlanta Public Schools,5051,Benteen Elementary School,61.2,Within Expected Range
761303,761,Atlanta Public Schools,303,Bolton Academy,85.3,Beating the Odds
761315,761,Atlanta Public Schools,315,Booker T. Washington High School,54.1,Below Expected Range
7611053,761,Atlanta Public Schools,1053,Boyd Elementary School,43.7,Below Expected Range
7612053,761,Atlanta Public Schools,2053,Brandon Elementary School,96,Within Expected Range
761100,761,Atlanta Public Schools,100,Brown Middle School,66.1,Beating the Odds
761180,761,Atlanta Public Schools,180,Bunche Middle School,73.4,Beating the Odds
761305,761,Atlanta Public Schools,305,Burgess-Peterson Elementary School,79,Beating the Odds
7611413,761,Atlanta Public Schools,1413,Carver High School,51.9,Below Expected Range
761196,761,Atlanta Public Schools,196,Cascade Elementary School,44.8,Below Expected Range
761199,761,Atlanta Public Schools,199,Centennial Academy,75.4,Beating the Odds
761515,761,Atlanta Public Schools,515,Charles Drew Charter School JA/SA,81.1,Beating the Odds
761201,761,Atlanta Public Schools,201,Charles R. Drew Charter School,96.5,Beating the Odds
7614056,761,Atlanta Public Schools,4056,Cleveland Elementary School,62.1,Within Expected Range
7613057,761,Atlanta Public Schools,3057,Continental Colony Elementary School,67.2,Beating the Odds
7611410,761,Atlanta Public Schools,1410,Corretta Scott King Womens' Leadership Academy,76.8,Within Expected Range
7612664,761,Atlanta Public Schools,2664,Crim High School,30,Below Expected Range
761304,761,Atlanta Public Schools,304,Deerwood Academy School,64.4,Within Expected Range
761104,761,Atlanta Public Schools,104,Dobbs Elementary School,57.6,Within Expected Range
7614058,761,Atlanta Public Schools,4058,Douglass High School,51.4,Below Expected Range
7615558,761,Atlanta Public Schools,5558,Dunbar Elementary School,61.8,Within Expected Range
761106,761,Atlanta Public Schools,106,Early College High School at Carver,74.5,Beating the Odds
7615566,761,Atlanta Public Schools,5566,F. L. Stanton Elementary School,68,Beating the Odds
7613059,761,Atlanta Public Schools,3059,Fain Elementary School,60.5,Within Expected Range
7613559,761,Atlanta Public Schools,3559,Fickett Elementary School,70.7,Beating the Odds
761105,761,Atlanta Public Schools,105,Finch Elementary,61.4,Within Expected Range
7611560,761,Atlanta Public Schools,1560,Garden Hills Elementary School,82.2,Beating the Odds
7612560,761,Atlanta Public Schools,2560,Gideons Elementary School,61.1,Within Expected Range
7614560,761,Atlanta Public Schools,4560,Grady High School,87.5,Beating the Odds
761504,761,Atlanta Public Schools,504,Harper-Archer Middle School,49.9,Below Expected Range
761103,761,Atlanta Public Schools,103,Heritage Academy Elementary,57.6,Within Expected Range
7615562,761,Atlanta Public Schools,5562,Humphries Elementary School,68.6,Beating the Odds
7611063,761,Atlanta Public Schools,1063,Hutchinson Elementary School,76.4,Beating the Odds
7611563,761,Atlanta Public Schools,1563,Inman Middle School,86.9,Beating the Odds
7612563,761,Atlanta Public Schools,2563,Jackson Elementary School,91.6,Within Expected Range
7611418,761,Atlanta Public Schools,1418,John Lewis Invictus Academy,54.9,Within Expected Range
7611064,761,Atlanta Public Schools,1064,Kimberly Elementary School,61.2,Within Expected Range
761123,761,Atlanta Public Schools,123,Kindezi,65.2,Below Expected Range
7611417,761,Atlanta Public Schools,1417,Kindezi Old 4th Ward,71.9,Within Expected Range
761373,761,Atlanta Public Schools,373,King Middle School,70.7,Beating the Odds
761212,761,Atlanta Public Schools,212,KIPP Atlanta Collegiate,66.9,Within Expected Range
761115,761,Atlanta Public Schools,115,Kipp Strive Academy,80.8,Beating the Odds
761213,761,Atlanta Public Schools,213,KIPP Strive Primary,73.8,Within Expected Range
761122,761,Atlanta Public Schools,122,KIPP VISION,81.6,Beating the Odds
761214,761,Atlanta Public Schools,214,KIPP Vision Primary,77.3,Beating the Odds
761215,761,Atlanta Public Schools,215,Kipp WAYS Primary School,79.1,Beating the Odds
761605,761,Atlanta Public Schools,605,KIPP West Atlanta Young Scholars Academy,69.4,Within Expected Range
7612564,761,Atlanta Public Schools,2564,Lin Elementary School,87.3,Within Expected Range
761173,761,Atlanta Public Schools,173,Long Middle School,55.5,Within Expected Range
7614063,761,Atlanta Public Schools,4063,M. A. Jones Elementary School,73.3,Beating the Odds
761186,761,Atlanta Public Schools,186,"Maynard H. Jackson, Jr. High School",78.7,Beating the Odds
761182,761,Atlanta Public Schools,182,Mays High School,55.6,Below Expected Range
7611414,761,Atlanta Public Schools,1414,Michael R. Hollis Innovation Academy,62.6,Beating the Odds
761513,761,Atlanta Public Schools,513,Miles Intermediate School,54.7,Within Expected Range
7611664,761,Atlanta Public Schools,1664,Morningside Elementary School,96.7,Within Expected Range
761192,761,Atlanta Public Schools,192,North Atlanta High School,86.4,Beating the Odds
761101,761,Atlanta Public Schools,101,Parkside Elementary School,70.9,Within Expected Range
761296,761,Atlanta Public Schools,296,Perkerson Elementary School,48.4,Below Expected Range
7613065,761,Atlanta Public Schools,3065,Peyton Forest Elementary School,69.5,Beating the Odds
761288,761,Atlanta Public Schools,288,Price Middle School,56.6,Below Expected Range
7611066,761,Atlanta Public Schools,1066,Rivers Elementary School,89.7,Beating the Odds
7613566,761,Atlanta Public Schools,3566,Scott Elementary School,51.6,Below Expected Range
7614066,761,Atlanta Public Schools,4066,Slater Elementary School,56.9,Within Expected Range
7611567,761,Atlanta Public Schools,1567,Smith Elementary School,91,Within Expected Range
7611412,761,Atlanta Public Schools,1412,South Atlanta High School,62,Within Expected Range
761116,761,Atlanta Public Schools,116,Springdale Park Elementary School,96.7,Beating the Odds
7613067,761,Atlanta Public Schools,3067,Sutton Middle School,85.2,Beating the Odds
761188,761,Atlanta Public Schools,188,Sylvan Hills Middle School,70.4,Beating the Odds
7612062,761,Atlanta Public Schools,2062,The John Hope-Charles Walter Hill Elementary Schools,59.1,Within Expected Range
7611409,761,Atlanta Public Schools,1409,Therrell High School,64.3,Within Expected Range
7615067,761,Atlanta Public Schools,5067,Thomasville Heights Elementary School,58.5,Within Expected Range
7615567,761,Atlanta Public Schools,5567,Toomer Elementary School,58.6,Below Expected Range
7611068,761,Atlanta Public Schools,1068,Towns Elementary School,68.8,Beating the Odds
7611416,761,Atlanta Public Schools,1416,Tuskegee Airman Global Academy,72.7,Beating the Odds
7611208,761,Atlanta Public Schools,1208,Wesley International Academy Charter Facility,70.5,Within Expected Range
7612569,761,Atlanta Public Schools,2569,West Manor Elementary School,78,Beating the Odds
761314,761,Atlanta Public Schools,314,Westside Atlanta Charter School,79.7,Beating the Odds
7611415,761,Atlanta Public Schools,1415,Woodson Park Academy,51.8,Within Expected Range
761282,761,Atlanta Public Schools,282,Young Middle School,54,Below Expected Range
6033050,603,Bacon County,3050,Bacon County Elementary School,80,Beating the Odds
603302,603,Bacon County,302,Bacon County High School,81.4,Beating the Odds
603202,603,Bacon County,202,Bacon County Middle School,85,Beating the Odds
603102,603,Bacon County,102,Bacon County Primary School,86.2,Beating the Odds
604105,604,Baker County,105,Baker County K12 School,60.4,Within Expected Range
605189,605,Baldwin County,189,Baldwin High School,81.7,Beating the Odds
605300,605,Baldwin County,300,Lakeview Academy,71.6,Within Expected Range
605302,605,Baldwin County,302,Lakeview Primary,70.7,Within Expected Range
605303,605,Baldwin County,303,Midway Hills Academy,56.5,Below Expected Range
605301,605,Baldwin County,301,Midway Hills Primary,60.5,Within Expected Range
605100,605,Baldwin County,100,Oak Hill MS,64.6,Below Expected Range
606107,606,Banks County,107,Banks County Elementary School,75.8,Below Expected Range
606199,606,Banks County,199,Banks County High School,73.1,Within Expected Range
606105,606,Banks County,105,Banks County Middle School,75.2,Within Expected Range
606205,606,Banks County,205,Banks County Primary School,74.3,Within Expected Range
607101,607,Barrow County,101,Apalachee High School,77,Within Expected Range
6071050,607,Barrow County,1050,Auburn Elementary School,80.9,Within Expected Range
607114,607,Barrow County,114,Bear Creek Middle School,74.9,Below Expected Range
607205,607,Barrow County,205,Bethlehem Elementary School,78.7,Within Expected Range
607193,607,Barrow County,193,Bramlett Elementary School,91.9,Beating the Odds
607105,607,Barrow County,105,County Line Elementary School,81.7,Within Expected Range
607106,607,Barrow County,106,Haymon-Morris Middle School,71.5,Below Expected Range
6074050,607,Barrow County,4050,Holsenbeck Elementary School,82.1,Within Expected Range
607189,607,Barrow County,189,Kennedy Elementary School,69.9,Below Expected Range
607289,607,Barrow County,289,Russell Middle School,81.9,Within Expected Range
6075050,607,Barrow County,5050,Statham Elementary School,71,Below Expected Range
607198,607,Barrow County,198,Westside Middle School,67.9,Below Expected Range
607299,607,Barrow County,299,Winder Elementary School,70.6,Below Expected Range
6073052,607,Barrow County,3052,Winder-Barrow High School,74.3,Below Expected Range
607298,607,Barrow County,298,Yargo Elementary School,75.3,Below Expected Range
608177,608,Bartow County,177,Adairsville Elementary School,70.3,Below Expected Range
608105,608,Bartow County,105,Adairsville High School,68.1,Below Expected Range
608301,608,Bartow County,301,Adairsville Middle School,71.1,Below Expected Range
608196,608,Bartow County,196,Allatoona Elementary School,63.5,Below Expected Range
608114,608,Bartow County,114,Cass High School,70.2,Below Expected Range
608195,608,Bartow County,195,Cass Middle School,74.8,Within Expected Range
608104,608,Bartow County,104,Clear Creek Elementary School,77.4,Within Expected Range
608115,608,Bartow County,115,Cloverleaf Elementary,80.2,Within Expected Range
