,2020 Census Tract,Percent of Population Above the Poverty Level
0,13001950100,75.9
1,13001950201,82.3
2,13001950202,73.5
3,13001950301,84.9
4,13001950302,65.8
5,13001950400,81.7
6,13001950500,61.2
7,13003960100,84
8,13003960200,66.4
9,13003960300,77.4
10,13005970100,83.8
11,13005970201,76.2
12,13005970202,68.5
13,13007960100,75.1
14,13007960200,74.7
15,13009970101,98.2
16,13009970102,85.1
17,13009970201,66.7
18,13009970202,87.7
19,13009970301,92.1
20,13009970302,95
21,13009970400,75
22,13009970501,20
23,13009970502,89.7
24,13009970600,70.3
25,13009970701,65.3
26,13009970702,68.7
27,13009970801,93.2
28,13009970802,72.8
29,13011970100,81.1
30,13011970200,87.6
31,13011970300,91.3
32,13011970400,88.4
33,13013180103,91.9
34,13013180104,93.1
35,13013180105,95
36,13013180106,93.6
37,13013180107,93.6
38,13013180108,96
39,13013180203,75
40,13013180204,86.7
41,13013180205,83.3
42,13013180206,92
43,13013180301,90.5
44,13013180302,86.9
45,13013180303,94.9
46,13013180401,94.2
47,13013180402,86.2
48,13013180501,95.1
49,13013180502,86.2
50,13013180503,80.6
51,13015960101,95.1
52,13015960103,99.2
53,13015960104,90.6
54,13015960105,91.2
55,13015960201,94.8
56,13015960202,90.4
57,13015960203,88.9
58,13015960301,97.7
59,13015960302,82.4
60,13015960403,78.1
61,13015960404,84.8
62,13015960405,86.1
63,13015960406,96.1
64,13015960407,91
65,13015960501,80
66,13015960502,90.5
67,13015960601,85.4
68,13015960602,86.7
69,13015960701,76.9
70,13015960702,97.2
71,13015960801,76.6
72,13015960802,77.1
73,13015960804,90.4
74,13015960805,80.3
75,13015960901,93.4
76,13015960902,90.5
77,13015961001,96.2
78,13015961002,90.9
79,13017960100,76
80,13017960200,76.1
81,13017960300,79.7
82,13017960400,61.5
83,13017960501,71.9
84,13017960502,82.1
85,13019970100,75.7
86,13019970200,71.3
87,13019970300,90.4
88,13019970400,77.1
89,13019970500,81.8
90,13019970600,78.4
91,13021010100,33.5
92,13021010200,75.3
93,13021010400,59.6
94,13021010500,43.5
95,13021010800,67.6
96,13021011001,56.7
97,13021011002,80
98,13021011100,31.900000000000006
99,13021011500,39.1
100,13021011701,60.2
101,13021011702,68.1
102,13021011800,86
103,13021011900,91.7
104,13021012000,93.5
105,13021012101,72.4
106,13021012102,89.3
107,13021012200,67.9
108,13021012400,45.8
109,13021012500,61
110,13021012600,80.5
111,13021012700,59.4
112,13021012800,43.7
113,13021012900,59.9
114,13021013101,48.9
115,13021013102,74.2
116,13021013201,60
117,13021013202,52.6
118,13021013302,83.4
119,13021013407,86
120,13021013408,94.6
121,13021013409,89.7
122,13021013411,81.5
123,13021013412,93.1
124,13021013413,96.7
125,13021013502,84.9
126,13021013503,80.2
127,13021013505,92.3
128,13021013506,87
129,13021013603,74.6
130,13021013604,92.1
131,13021013605,93.6
132,13021013607,95.9
133,13021013608,96.3
134,13021013701,74.7
135,13021013702,57.7
136,13021013800,37.2
137,13021013900,77.2
138,13021014000,53.4
139,13023790100,89
140,13023790200,79.6
141,13023790301,76.9
142,13023790302,76.1
143,13025960101,80.8
144,13025960102,67.9
145,13025960201,87.2
146,13025960202,89.3
147,13025960300,88.8
148,13027960200,87.1
149,13027960301,80.1
150,13027960302,65.4
151,13027960400,70.3
152,13027960500,74.3
153,13027960600,86.4
154,13029920101,85.9
155,13029920103,87.7
156,13029920104,98.7
157,13029920301,85.2
158,13029920303,85.2
159,13029920305,94.1
160,13029920307,96.8
161,13029920308,93.5
162,13029980000,-
163,13031110100,85.2
164,13031110201,91.2
165,13031110202,84.1
166,13031110301,86.6
167,13031110302,93.7
168,13031110401,68.7
169,13031110405,53.6
170,13031110406,46.4
171,13031110407,48.2
172,13031110408,51.6
173,13031110500,70.7
174,13031110602,60
175,13031110603,94.7
176,13031110604,73.2
177,13031110701,76.9
178,13031110702,82
179,13031110703,91.4
180,13031110800,78.7
181,13031110901,83.3
182,13031110902,87.1
183,13033950101,93.2
184,13033950102,92.7
185,13033950200,87.1
186,13033950400,77.3
187,13033950500,85.4
188,13033950700,80.7
189,13033950900,77
190,13035150101,84.9
191,13035150102,88.1
192,13035150201,67.1
193,13035150202,91.5
194,13035150300,79.7
195,13037950100,86.4
196,13037950200,68.2
197,13039010100,88
198,13039010201,83.6
199,13039010202,92.7
200,13039010302,73.2
201,13039010303,90.8
202,13039010304,84.7
203,13039010305,91.2
204,13039010403,92.7
205,13039010404,73.3
206,13039010405,88.7
207,13039010406,95.5
208,13039010407,96.1
209,13039010500,86.2
210,13039010602,96
211,13039010603,62.8
212,13039010604,61.2
213,13039990000,-
214,13043950100,68.7
215,13043950200,91.1
216,13043950300,67.4
217,13045910101,93.9
218,13045910103,90.1
219,13045910105,94.5
220,13045910106,71
221,13045910201,97.9
222,13045910202,96.1
223,13045910203,80.7
224,13045910301,72.3
225,13045910302,90.7
226,13045910400,88.5
227,13045910502,39.5
228,13045910503,51.6
229,13045910504,64.9
230,13045910600,84.7
231,13045910704,89.4
232,13045910705,80.4
233,13045910706,96.6
234,13045910707,80.7
235,13045910708,79
236,13045910709,94.4
237,13045910800,76.9
238,13045910900,82
239,13045911001,91.8
240,13045911002,89.7
241,13045911101,67.6
242,13045911102,87.6
243,13045911201,67.9
244,13045911202,91.1
245,13047030100,88.4
246,13047030201,94.6
247,13047030202,86.6
248,13047030303,95
249,13047030304,97
250,13047030305,95.5
251,13047030306,93.6
252,13047030402,94.9
253,13047030403,99.5
254,13047030404,95.2
255,13047030501,80.5
256,13047030502,86.5
257,13047030600,88.1
258,13047030701,91
259,13047030702,84.3
260,13049010101,88.2
261,13049010102,67
262,13049010200,82.3
263,13051000601,71.7
264,13051001100,72.6
265,13051001200,39.3
266,13051002000,58.8
267,13051002100,78.6
268,13051002200,78.5
269,13051002300,78.2
270,13051002600,83.4
271,13051002700,80
272,13051002800,72.4
273,13051002900,95.2
274,13051003000,94.5
275,13051003301,76.1
276,13051003302,91.4
277,13051003400,87.9
278,13051003501,64.3
279,13051003502,74.2
280,13051003601,70.9
281,13051003602,75.7
282,13051003700,83.3
283,13051003800,83.1
284,13051003900,91.5
285,13051004001,89
286,13051004002,81.8
287,13051004100,86.8
288,13051004207,81.4
289,13051004208,84.7
290,13051004209,86.2
291,13051004210,87.4
292,13051004211,93.3
293,13051004212,86.3
294,13051004300,74.9
295,13051004400,63.5
296,13051004500,78.3
297,13051010102,73.8
298,13051010200,84.4
299,13051010502,66
300,13051010503,79.4
301,13051010504,68.7
302,13051010601,89
303,13051010603,84.2
304,13051010701,100
305,13051010702,93.2
306,13051010703,96.1
307,13051010704,97.2
308,13051010705,98.8
309,13051010706,94.2
310,13051010707,100
311,13051010801,92
312,13051010806,91.5
313,13051010807,91.8
314,13051010810,96.5
