,2020 Census Tract,Median Income
0,13001950100,59118
1,13001950201,40417
2,13001950202,25508
3,13001950301,46493
4,13001950302,32690
5,13001950400,47188
6,13001950500,35921
7,13003960100,30268
8,13003960200,41488
9,13003960300,34335
10,13005970100,46202
11,13005970201,46731
12,13005970202,29424
13,13007960100,41307
14,13007960200,30583
15,13009970101,89318
16,13009970102,59502
17,13009970201,31716
18,13009970202,70722
19,13009970301,74286
20,13009970302,64457
21,13009970400,48856
22,13009970501,14632
23,13009970502,78040
24,13009970600,31667
25,13009970701,21875
26,13009970702,41034
27,13009970801,68487
28,13009970802,44866
29,13011970100,52006
30,13011970200,64044
31,13011970300,59442
32,13011970400,60694
33,13013180103,100046
34,13013180104,68911
35,13013180105,78712
36,13013180106,53072
37,13013180107,64917
38,13013180108,78636
39,13013180203,44081
40,13013180204,63825
41,13013180205,55660
42,13013180206,60739
43,13013180301,65625
44,13013180302,61477
45,13013180303,86326
46,13013180401,80808
47,13013180402,60466
48,13013180501,77372
49,13013180502,61515
50,13013180503,58934
51,13015960101,72500
52,13015960103,91766
53,13015960104,54474
54,13015960105,93750
55,13015960201,83462
56,13015960202,68601
57,13015960203,65123
58,13015960301,76667
59,13015960302,50234
60,13015960403,42426
61,13015960404,63913
62,13015960405,69102
63,13015960406,43793
64,13015960407,103750
65,13015960501,60861
66,13015960502,56526
67,13015960601,62397
68,13015960602,59229
69,13015960701,48252
70,13015960702,44658
71,13015960801,50423
72,13015960802,44544
73,13015960804,92446
74,13015960805,46793
75,13015960901,86786
76,13015960902,73429
77,13015961001,95739
78,13015961002,58079
79,13017960100,46825
80,13017960200,66949
81,13017960300,39205
82,13017960400,28217
83,13017960501,27055
84,13017960502,34489
85,13019970100,47813
86,13019970200,40881
87,13019970300,43910
88,13019970400,42200
89,13019970500,48081
90,13019970600,57713
91,13021010100,12311
92,13021010200,26729
93,13021010400,20455
94,13021010500,13728
95,13021010800,24042
96,13021011001,25304
97,13021011002,-
98,13021011100,16140
99,13021011500,12083
100,13021011701,33953
101,13021011702,38194
102,13021011800,58229
103,13021011900,57692
104,13021012000,71813
105,13021012101,73158
106,13021012102,63340
107,13021012200,30253
108,13021012400,25068
109,13021012500,-
110,13021012600,32151
111,13021012700,18319
112,13021012800,19873
113,13021012900,23060
114,13021013101,32635
115,13021013102,35938
116,13021013201,29976
117,13021013202,20773
118,13021013302,41944
119,13021013407,52555
120,13021013408,100658
121,13021013409,57458
122,13021013411,72750
123,13021013412,98558
124,13021013413,61960
125,13021013502,50080
126,13021013503,65500
127,13021013505,48708
128,13021013506,91979
129,13021013603,70000
130,13021013604,64375
131,13021013605,79042
132,13021013607,75921
133,13021013608,100400
134,13021013701,33725
135,13021013702,-
136,13021013800,13546
137,13021013900,35234
138,13021014000,26964
139,13023790100,55833
140,13023790200,48092
141,13023790301,29506
142,13023790302,46667
143,13025960101,43114
144,13025960102,32450
145,13025960201,21502
146,13025960202,48316
147,13025960300,43759
148,13027960200,31528
149,13027960301,61250
150,13027960302,45000
151,13027960400,32009
152,13027960500,32094
153,13027960600,44725
154,13029920101,52480
155,13029920103,56130
156,13029920104,80286
157,13029920301,71146
158,13029920303,68710
159,13029920305,122028
160,13029920307,138438
161,13029920308,91168
162,13029980000,-
163,13031110100,53542
164,13031110201,51404
165,13031110202,58407
166,13031110301,66181
167,13031110302,72478
168,13031110401,30558
169,13031110405,33804
170,13031110406,37670
171,13031110407,26250
172,13031110408,32642
173,13031110500,48825
174,13031110602,38825
175,13031110603,64211
176,13031110604,33125
177,13031110701,57272
178,13031110702,75483
179,13031110703,78333
180,13031110800,53864
181,13031110901,72667
182,13031110902,56471
183,13033950101,56291
184,13033950102,73558
185,13033950200,52986
186,13033950400,34688
187,13033950500,49950
188,13033950700,46974
189,13033950900,42378
190,13035150101,83163
191,13035150102,62939
192,13035150201,41708
193,13035150202,43548
194,13035150300,58351
195,13037950100,51875
196,13037950200,42843
