data_source,site_name,site_address,site_city,site_county,site_latitude,site_longitude,undesirable_activity
hsi,Dow Chemical - Dalton Site,"1467 Prosser Dr., SE",Dalton,Whitfield,34.632777777777775,-84.92805555555556,hazardous_inventory
hsi,Shaver's Farm,641 Shaver Road,Chickamauga,Walker,34.79888888888889,-85.30749999999999,hazardous_inventory
hsi,G. C. Lee Site - Lee Engr & Const,Lutz Farm Road,Dupont,Clinch,30.988333333333333,-82.89666666666668,hazardous_inventory
hsi,Hercules 009 Landfill - NPL Site,Benedict Road and Route 25,Brunswick,Glynn,31.209444444444443,-81.48805555555556,hazardous_inventory
hsi,CSX Transportation - Middleton Derailment,Intersection of County Roads 296 & 304,Middleton,Elbert,34.09777777777778,-82.76861111111111,hazardous_inventory
hsi,U.S. Army - Fort Gillem - North Landfill Area,North Boundary Road & North A Avenue,Forest Park,Clayton,33.62916666666667,-84.33333333333333,hazardous_inventory
hsi,Fox Manufacturing Company,100 East Callahan St.,Rome,Floyd,34.264722222222225,-85.155,hazardous_inventory
hsi,Langdale Forest Products Corporation,1202 Madison Highway,Valdosta,Lowndes,30.81722222222222,-83.27666666666667,hazardous_inventory
hsi,Trane Technologies-Sylvania (fka Ingersoll-Torrington-Timken),400 Friendship Road,Sylvania,Screven,32.75805555555556,-81.61916666666666,hazardous_inventory
hsi,Blackman Uhler Chemical Company,1010 Glass Factory Avenue,Augusta,Richmond,33.450833333333335,-81.97916666666667,hazardous_inventory
hsi,Atlantic Wood Industries (Former),202 Oxnard Drive,Port Wentworth,Chatham,32.145833333333336,-81.14916666666667,hazardous_inventory
hsi,Powersville Landfill - Former NPL Site,Intersection of Newell Rd (GA 247 Conn) & GA 49N,Powersville,Peach,32.61,-83.79333333333334,hazardous_inventory
hsi,Henkel Site,701 Wissahickon Avenue,Cedartown,Polk,34.015277777777776,-85.26611111111112,hazardous_inventory
hsi,Baxley Creosoting Company,723 East Parker Street,Baxley,Appling,31.77472222222222,-82.33638888888889,hazardous_inventory
hsi,TH Agriculture & Nutrition Company - NPL Site,1401 Schley Avenue,Albany,Dougherty,31.61722222222222,-84.18166666666667,hazardous_inventory
