2020 Census Tract,geoid_,County Name,% of rental units occupied by 80% AMI and below with Severe Housing Problems,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?,Average change: 2020-2022
13001950100,05000US13001,"Appling County, Georgia",20.408163265306122,0.099536093,Yes,1.25
13001950201,05000US13003,"Atkinson County, Georgia",0,0.017986186897109954,No,-0.5
13001950202,05000US13005,"Bacon County, Georgia",17.741935483870968,-0.192867097,Yes,1.05
13001950301,05000US13007,"Baker County, Georgia",30.952380952380953,-2.790369594,No,0.5
13001950302,05000US13009,"Baldwin County, Georgia",23.684210526315788,-1.042139478,No,1.6500000000000001
13001950400,05000US13011,"Banks County, Georgia",38.46153846153847,-0.781054157,No,6.25
13001950500,05000US13013,"Barrow County, Georgia",27.61904761904762,2.230070811320831,Yes,3.900000000000001
13003960100,05000US13015,"Bartow County, Georgia",27.8125,1.3483093974935718,Yes,3.900000000000001
13003960200,05000US13017,"Ben Hill County, Georgia",35.294117647058826,0.16990673385019578,No,2.1
13003960300,05000US13019,"Berrien County, Georgia",66.66666666666666,-1.438160804,No,3.5000000000000004
13005970100,05000US13021,"Bibb County, Georgia",40.909090909090914,0.7018577,Yes,0.44999999999999996
13005970201,05000US13023,"Bleckley County, Georgia",35.294117647058826,-0.550251558,No,1.4000000000000001
13005970202,05000US13025,"Brantley County, Georgia",12.068965517241379,-0.851972029,Yes,3.6500000000000004
13007960100,05000US13027,"Brooks County, Georgia",20.689655172413794,1.3555113852978962,No,0.65
13007960200,05000US13029,"Bryan County, Georgia",17.647058823529413,6.5374651658115805,Yes,3.95
13009970101,05000US13031,"Bulloch County, Georgia",0,2.1183742735306317,Yes,3.1
13009970102,05000US13033,"Burke County, Georgia",40,2.483088099404977,Yes,0.8
13009970201,05000US13035,"Butts County, Georgia",11.688311688311687,1.6569002737078997,Yes,3.900000000000001
13009970202,05000US13037,"Calhoun County, Georgia",42.22222222222222,-4.010536794,No,-0.2
13009970301,05000US13039,"Camden County, Georgia",----------------------------------------------------------------------------------------------------,0.9662737805186646,Yes,2.7
13009970302,05000US13043,"Candler County, Georgia",40.625,0.17855844901409954,No,3.95
13009970400,05000US13045,"Carroll County, Georgia",39.516129032258064,0.6813572909790362,Yes,3.9
13009970501,05000US13047,"Catoosa County, Georgia",80.5,0.6394681687072825,Yes,1.8500000000000003
13009970502,05000US13049,"Charlton County, Georgia",100,-1.449713435,No,2.25
13009970600,05000US13051,"Chatham County, Georgia",47.14285714285714,0.8957640155805915,Yes,3.95
13009970701,05000US13053,"Chattahoochee County, Georgia",42.66666666666667,-3.908064335,No,0.5000000000000001
13009970702,05000US13055,"Chattooga County, Georgia",48.36363636363637,0.10876512007620356,No,-0.65
13009970801,05000US13057,"Cherokee County, Georgia",0,2.7160798556399772,Yes,3.9500000000000006
13009970802,05000US13059,"Clarke County, Georgia",94.80519481,0.9524487542726917,Yes,1.4000000000000001
13011970100,05000US13061,"Clay County, Georgia",20.98765432098765,-1.327171327,No,-1.1
13011970200,05000US13063,"Clayton County, Georgia",33.68421052631579,1.8409547793492238,Yes,3.900000000000001
13011970300,05000US13065,"Clinch County, Georgia",34.92063492063492,-0.024974786,No,1.55
13011970400,05000US13067,"Cobb County, Georgia",41.37931034482759,0.7743845163508745,Yes,3.9500000000000006
13013180103,05000US13069,"Coffee County, Georgia",69.41176470588235,0.06749326,Yes,0.65
13013180104,05000US13071,"Colquitt County, Georgia",11.666666666666666,0.1422876009517054,Yes,0.95
13013180105,05000US13073,"Columbia County, Georgia",18.181818181818183,1.5610083374429955,Yes,0.9000000000000001
13013180106,05000US13075,"Cook County, Georgia",35.55555555555556,0.007898598,Yes,1.45
13013180107,05000US13077,"Coweta County, Georgia",23.25581395348837,1.0427881520651683,Yes,3.95
13013180108,05000US13079,"Crawford County, Georgia",33.33333333333333,-0.501640009,No,0.45000000000000007
13013180203,05000US13081,"Crisp County, Georgia",23.46938775510204,-3.433005865,No,2.7
13013180204,05000US13083,"Dade County, Georgia",40.243902439024396,0.17733310039616137,No,2.1999999999999997
13013180205,05000US13085,"Dawson County, Georgia",27.55102040816326,3.1694631263462894,Yes,3.95
13013180206,05000US13087,"Decatur County, Georgia",24,2.743150962,Yes,2.8500000000000005
13013180301,05000US13089,"DeKalb County, Georgia",16.11111111111111,0.6882315471306972,Yes,3.95
13013180302,05000US13091,"Dodge County, Georgia",28.125,-1.332764095,No,0.8500000000000001
13013180303,05000US13093,"Dooly County, Georgia",22.807017543859647,-5.779379016,No,0.45000000000000007
13013180401,05000US13095,"Dougherty County, Georgia",25,-1.570123606,No,0.65
13013180402,05000US13097,"Douglas County, Georgia",17.97979797979798,0.39863932540185953,Yes,3.95
13013180501,05000US13099,"Early County, Georgia",14.000000000000002,1.521201562908478,No,1.1
13013180502,05000US13101,"Echols County, Georgia",67.56756756756756,-2.556570085,No,0.3
13013180503,05000US13103,"Effingham County, Georgia",32.093023255813954,2.634205014810919,Yes,3.9
13015960101,05000US13105,"Elbert County, Georgia",23.52941176470588,0.41938902259932725,No,1.0999999999999999
13015960103,05000US13107,"Emanuel County, Georgia",0,0.35522327919177454,Yes,2.25
13015960104,05000US13109,"Evans County, Georgia",22.564102564102566,0.10693397433955368,No,1.45
13015960105,05000US13111,"Fannin County, Georgia",26.605504587155966,0.3822234415774173,Yes,4.550000000000001
13015960201,05000US13113,"Fayette County, Georgia",47.368421052631575,1.9055621128581164,Yes,3.95
13015960202,05000US13115,"Floyd County, Georgia",14.925373134328357,0.47491578439772497,Yes,2.25
13015960203,05000US13117,"Forsyth County, Georgia",21.73913043478261,3.777994782870822,Yes,3.9
13015960301,05000US13119,"Franklin County, Georgia",10.526315789473683,1.0867276617836081,Yes,1.7499999999999998
13015960302,05000US13121,"Fulton County, Georgia",8.510638298,1.0469057622007978,Yes,3.95
13015960403,05000US13123,"Gilmer County, Georgia",6.467661691542288,1.2406170147939974,Yes,2.3
13015960404,05000US13125,"Glascock County, Georgia",58.87850467289719,-1.182349493,No,0.6
13015960405,05000US13127,"Glynn County, Georgia",19,0.16019433603162286,Yes,3.7000000000000006
13015960406,05000US13129,"Gordon County, Georgia",4.545454545454546,0.286477371,Yes,2.65
13015960407,05000US13131,"Grady County, Georgia",46.15384615384615,1.5546242819661196,Yes,2.05
13015960501,05000US13133,"Greene County, Georgia",42.63565891472868,2.8365988397528463,Yes,2.1999999999999997
13015960502,05000US13135,"Gwinnett County, Georgia",60,1.6799166535327414,Yes,3.9500000000000006
13015960601,05000US13137,"Habersham County, Georgia",33.980582524271846,1.1005284537564455,Yes,1.2
13015960602,05000US13139,"Hall County, Georgia",38.94736842105263,0.9690708038401795,Yes,3.4000000000000004
13015960701,05000US13141,"Hancock County, Georgia",33.67346939,0.45924878113381096,No,1.4000000000000001
13015960702,05000US13143,"Haralson County, Georgia",0,0.8331855811195424,Yes,3.9500000000000006
13015960801,05000US13145,"Harris County, Georgia",84.31372549019608,0.7230845629236603,Yes,0.7000000000000001
13015960802,05000US13147,"Hart County, Georgia",35.55555555555556,0.23173051349002532,Yes,4.5
13015960804,05000US13149,"Heard County, Georgia",28.57142857142857,-0.668221546,No,3.8500000000000005
13015960805,05000US13151,"Henry County, Georgia",18,2.255477631712885,Yes,3.900000000000001
13015960901,05000US13153,"Houston County, Georgia",27.857142857142858,2.051734433735591,Yes,1.15
13015960902,05000US13155,"Irwin County, Georgia",43.103448275862064,1.2367924296908772,No,1.45
13015961001,05000US13157,"Jackson County, Georgia",0,3.9426690677170813,Yes,8.4
13015961002,05000US13159,"Jasper County, Georgia",9.743589743589745,1.654519064001306,Yes,3.8500000000000005
13017960100,05000US13161,"Jeff Davis County, Georgia",25,-0.526091276,No,0.7500000000000001
13017960200,05000US13163,"Jefferson County, Georgia",33.89830508474576,-0.12949243,No,0.95
13017960300,05000US13165,"Jenkins County, Georgia",30.097087378640776,-0.507726691,Yes,3.05
13017960400,05000US13167,"Johnson County, Georgia",24.46043165467626,-1.570711597,No,0.9999999999999999
13017960501,05000US13169,"Jones County, Georgia",16.666666666666664,-0.292147004,No,0.49999999999999994
13017960502,05000US13171,"Lamar County, Georgia",12.380952380952381,-0.047498399,Yes,4
13019970100,05000US13173,"Lanier County, Georgia",17.272727272727273,-1.548915657,Yes,0.5499999999999999
13019970200,05000US13175,"Laurens County, Georgia",25.08474576271186,1.2544678784488805,Yes,1.0499999999999998
