2020 Census Tract,% of rental units occupied by 80% AMI and below with Severe Housing Problems,avg_pop_yoy_growth_2018_2021,avg_emp_growth_2020_2022
13001950100,0.2040816326531,0.000995361,0.0125
13001950201,0.0000000000000,0.000995361,0.0125
13001950202,0.1774193548387,0.000995361,0.0125
13001950301,0.3095238095238,0.000995361,0.0125
13001950302,0.2368421052632,0.000995361,0.0125
13001950400,0.3846153846154,0.000995361,0.0125
13001950500,0.2761904761905,0.000995361,0.0125
13003960100,0.2781250000000,0.000179862,-0.005
13003960200,0.3529411764706,0.000179862,-0.005
13003960300,0.6666666666667,0.000179862,-0.005
13005970100,0.4090909090909,-0.001928671,0.0105
13005970201,0.3529411764706,-0.001928671,0.0105
13005970202,0.1206896551724,-0.001928671,0.0105
13007960100,0.2068965517241,-0.027903696,0.005
13007960200,0.1764705882353,-0.027903696,0.005
13009970101,0.0000000000000,-0.010421395,0.0165
13009970102,0.4000000000000,-0.010421395,0.0165
13009970201,0.1168831168831,-0.010421395,0.0165
13009970202,0.4222222222222,-0.010421395,0.0165
13009970301,-,-0.010421395,0.0165
13009970302,0.4062500000000,-0.010421395,0.0165
13009970400,0.3951612903226,-0.010421395,0.0165
13009970501,0.8050000000000,-0.010421395,0.0165
13009970502,1.0000000000000,-0.010421395,0.0165
13009970600,0.4714285714286,-0.010421395,0.0165
13009970701,0.4266666666667,-0.010421395,0.0165
13009970702,0.4836363636364,-0.010421395,0.0165
13009970801,0.0000000000000,-0.010421395,0.0165
13009970802,0.9480519480519,-0.010421395,0.0165
13011970100,0.2098765432099,-0.007810542,0.0625
13011970200,0.3368421052632,-0.007810542,0.0625
13011970300,0.3492063492063,-0.007810542,0.0625
13011970400,0.4137931034483,-0.007810542,0.0625
13013180103,0.6941176470588,0.022300708,0.039
13013180104,0.1166666666667,0.022300708,0.039
13013180105,0.1818181818182,0.022300708,0.039
13013180106,0.3555555555556,0.022300708,0.039
13013180107,0.2325581395349,0.022300708,0.039
13013180108,0.3333333333333,0.022300708,0.039
13013180203,0.2346938775510,0.022300708,0.039
13013180204,0.4024390243902,0.022300708,0.039
13013180205,0.2755102040816,0.022300708,0.039
13013180206,0.2400000000000,0.022300708,0.039
13013180301,0.1611111111111,0.022300708,0.039
13013180302,0.2812500000000,0.022300708,0.039
13013180303,0.2280701754386,0.022300708,0.039
13013180401,0.2500000000000,0.022300708,0.039
13013180402,0.1797979797980,0.022300708,0.039
13013180501,0.1400000000000,0.022300708,0.039
13013180502,0.6756756756757,0.022300708,0.039
13013180503,0.3209302325581,0.022300708,0.039
13015960101,0.2352941176471,0.013483094,0.039
13015960103,0.0000000000000,0.013483094,0.039
13015960104,0.2256410256410,0.013483094,0.039
13015960105,0.2660550458716,0.013483094,0.039
13015960201,0.4736842105263,0.013483094,0.039
13015960202,0.1492537313433,0.013483094,0.039
13015960203,0.2173913043478,0.013483094,0.039
13015960301,0.1052631578947,0.013483094,0.039
13015960302,0.0851063829787,0.013483094,0.039
13015960403,0.0646766169154,0.013483094,0.039
13015960404,0.5887850467290,0.013483094,0.039
13015960405,0.1900000000000,0.013483094,0.039
13015960406,0.0454545454545,0.013483094,0.039
13015960407,0.4615384615385,0.013483094,0.039
13015960501,0.4263565891473,0.013483094,0.039
13015960502,0.6000000000000,0.013483094,0.039
13015960601,0.3398058252427,0.013483094,0.039
13015960602,0.3894736842105,0.013483094,0.039
13015960701,0.3367346938776,0.013483094,0.039
13015960702,0.0000000000000,0.013483094,0.039
13015960801,0.8431372549020,0.013483094,0.039
13015960802,0.3555555555556,0.013483094,0.039
13015960804,0.2857142857143,0.013483094,0.039
13015960805,0.1800000000000,0.013483094,0.039
13015960901,0.2785714285714,0.013483094,0.039
13015960902,0.4310344827586,0.013483094,0.039
13015961001,0.0000000000000,0.013483094,0.039
13015961002,0.0974358974359,0.013483094,0.039
13017960100,0.2500000000000,0.001699067,0.021
13017960200,0.3389830508475,0.001699067,0.021
13017960300,0.3009708737864,0.001699067,0.021
13017960400,0.2446043165468,0.001699067,0.021
13017960501,0.1666666666667,0.001699067,0.021
13017960502,0.1238095238095,0.001699067,0.021
13019970100,0.1727272727273,-0.014381608,0.035
13019970200,0.2508474576271,-0.014381608,0.035
13019970300,0.1090909090909,-0.014381608,0.035
13019970400,0.2987012987013,-0.014381608,0.035
13019970500,0.6111111111111,-0.014381608,0.035
13019970600,0.2765957446809,-0.014381608,0.035
13021010100,0.4128440366972,0.007018577,0.0045
13021010200,0.4778761061947,0.007018577,0.0045
13021010400,0.4821428571429,0.007018577,0.0045
13021010500,0.2500000000000,0.007018577,0.0045
13021010800,0.4539007092199,0.007018577,0.0045
13021011001,0.4568527918782,0.007018577,0.0045
13021011002,0.2448979591837,0.007018577,0.0045
13021011100,0.4864864864865,0.007018577,0.0045
13021011500,0.5294117647059,0.007018577,0.0045
13021011701,0.4814814814815,0.007018577,0.0045
13021011702,0.5324675324675,0.007018577,0.0045
13021011800,0.3114754098361,0.007018577,0.0045
13021011900,0.3906250000000,0.007018577,0.0045
13021012000,0.0000000000000,0.007018577,0.0045
13021012101,0.4782608695652,0.007018577,0.0045
13021012102,0.3975903614458,0.007018577,0.0045
13021012200,0.4545454545455,0.007018577,0.0045
13021012400,0.5986394557823,0.007018577,0.0045
13021012500,0.6616541353383,0.007018577,0.0045
13021012600,0.3669724770642,0.007018577,0.0045
13021012700,0.4931506849315,0.007018577,0.0045
13021012800,0.2666666666667,0.007018577,0.0045
13021012900,0.4285714285714,0.007018577,0.0045
13021013101,0.4621212121212,0.007018577,0.0045
13021013102,0.4100000000000,0.007018577,0.0045
13021013201,0.3731343283582,0.007018577,0.0045
13021013202,0.3394495412844,0.007018577,0.0045
13021013302,0.2666666666667,0.007018577,0.0045
13021013407,0.4117647058824,0.007018577,0.0045
13021013408,0.6862745098039,0.007018577,0.0045
13021013409,0.3750000000000,0.007018577,0.0045
13021013411,0.7798165137615,0.007018577,0.0045
13021013412,0.5000000000000,0.007018577,0.0045
13021013413,0.4193548387097,0.007018577,0.0045
13021013502,0.4157894736842,0.007018577,0.0045
13021013503,0.4687500000000,0.007018577,0.0045
13021013505,0.2363636363636,0.007018577,0.0045
13021013506,0.0000000000000,0.007018577,0.0045
13021013603,0.6451612903226,0.007018577,0.0045
13021013604,0.0000000000000,0.007018577,0.0045
13021013605,0.4782608695652,0.007018577,0.0045
13021013607,0.7777777777778,0.007018577,0.0045
13021013608,0.8039215686275,0.007018577,0.0045
13021013701,0.4000000000000,0.007018577,0.0045
13021013702,0.5769230769231,0.007018577,0.0045
13021013800,0.2063492063492,0.007018577,0.0045
13021013900,0.2708333333333,0.007018577,0.0045
13021014000,0.3620689655172,0.007018577,0.0045
13023790100,0.3750000000000,-0.005502516,0.014
13023790200,0.1607142857143,-0.005502516,0.014
