System ID,System Name,School ID,School Name,Grade Cluster,2015,2016,2017,2018,2019,15 to 16,16 to 17,18 to 19,YoY Average,Average is positive?,Average score,CCRPI Score Data Availability (years),Applicable 25th Percentile,Average Score is in Top 75%?,CCRPI Scores Qualify Under Option C?,2019 BTO Designation
601,Appling County,103,Appling County High School,H,73.6,81.3,84.4,80.9,76.2,0.104619565,0.038130381,-0.058096415,0.028217844,Yes,79.28,2015-2019,67.97,Yes,Yes,Beating the Odds
601,Appling County,177,Appling County Elementary School,E,68.8,67.5,82,71.8,69.4,-0.018895349,0.214814815,-0.033426184,0.054164427,Yes,71.9,2015-2019,66.04,Yes,Yes,Within Expected Range
601,Appling County,195,Appling County Middle School,M,68.8,74,75.8,77.1,75.4,0.075581395,0.024324324,-0.022049287,0.025952144,Yes,74.22,2015-2019,65.54,Yes,Yes,Within Expected Range
601,Appling County,277,Appling County Primary School,E,,,,66.1,60,,,-0.092284418,-0.092284418,No,63.05,2018-2019,65.75,No,No,Below Expected Range
601,Appling County,1050,Altamaha Elementary School,E,72.3,79.8,79.2,70.6,71.1,0.10373444,-0.007518797,0.007082153,0.034432599,Yes,74.6,2015-2019,66.04,Yes,Yes,Below Expected Range
601,Appling County,5050,Fourth District Elementary School,E,68.2,63,74.9,76.9,84.7,-0.076246334,0.188888889,0.101430429,0.071357661,Yes,73.54,2015-2019,66.04,Yes,Yes,Beating the Odds
601,Appling County,ALL,All Schools,E,68.7,66.8,80.6,73.2,69.3,-0.027656477,0.206586826,-0.053278689,0.041883887,Yes,71.72,2015-2019,66.04,Yes,Yes,
601,Appling County,ALL,All Schools,H,73.6,81.3,84.4,80.9,76.2,0.104619565,0.038130381,-0.058096415,0.028217844,Yes,79.28,2015-2019,67.97,Yes,Yes,
601,Appling County,ALL,All Schools,M,68.3,73.5,75.8,77.1,75.4,0.0761347,0.031292517,-0.022049287,0.02845931,Yes,74.02,2015-2019,65.54,Yes,Yes,
602,Atkinson County,103,Atkinson County High School,H,88.5,78.5,80.1,72.3,76.7,-0.11299435,0.020382166,0.060857538,-0.010584882,No,79.22,2015-2019,67.97,Yes,No,Beating the Odds
602,Atkinson County,111,Atkinson County Middle School,M,72.7,69.2,77,62.7,73.6,-0.048143054,0.112716763,0.1738437,0.07947247,Yes,71.04,2015-2019,65.54,Yes,Yes,Within Expected Range
602,Atkinson County,187,Willacoochee Elementary School,E,89.7,85.3,83.6,62.6,75.1,-0.049052397,-0.01992966,0.199680511,0.043566151,Yes,79.26,2015-2019,66.04,Yes,Yes,Beating the Odds
602,Atkinson County,190,Pearson Elementary School,E,84.8,74.2,74.7,70.6,81,-0.125,0.006738544,0.147308782,0.009682442,Yes,77.06,2015-2019,66.04,Yes,Yes,Beating the Odds
602,Atkinson County,ALL,All Schools,E,85.5,76.8,75.6,68.6,78.5,-0.101754386,-0.015625,0.144314869,0.008978494,Yes,77,2015-2019,66.04,Yes,Yes,
602,Atkinson County,ALL,All Schools,H,88.5,78.5,79.6,72.3,76.7,-0.11299435,0.014012739,0.060857538,-0.012708024,No,79.12,2015-2019,67.97,Yes,No,
602,Atkinson County,ALL,All Schools,M,72.2,68.7,76,62.7,73.6,-0.048476454,0.106259098,0.1738437,0.077208781,Yes,70.64,2015-2019,65.54,Yes,Yes,
603,Bacon County,102,Bacon County Primary School,E,,,,68,86.2,,,0.267647059,0.267647059,Yes,77.1,2018-2019,65.75,Yes,Yes,Beating the Odds
603,Bacon County,202,Bacon County Middle School,M,66.2,64.6,59.3,62.7,85,-0.024169184,-0.082043344,0.355661882,0.083149785,Yes,67.56,2015-2019,65.54,Yes,Yes,Beating the Odds
603,Bacon County,302,Bacon County High School,H,67,69.1,66.9,78.9,81.4,0.031343284,-0.031837916,0.031685678,0.010397015,Yes,72.66,2015-2019,67.97,Yes,Yes,Beating the Odds
603,Bacon County,3050,Bacon County Elementary School,E,79.8,82.1,79.9,77.6,80,0.028822055,-0.02679659,0.030927835,0.010984434,Yes,79.88,2015-2019,66.04,Yes,Yes,Beating the Odds
603,Bacon County,ALL,All Schools,E,79.2,81.6,78.4,77.5,79.8,0.03030303,-0.039215686,0.029677419,0.006921588,Yes,79.3,2015-2019,66.04,Yes,Yes,
