2020 Census Tract,Environmental Health Index,Transit Access Index,Percent of Population Above the Poverty Level,Median Income,Jobs Proximity Index,GEOID,pool,above_median_Environmental Health Index,above_median_Transit Access Index,above_median_Percent of Population Above the Poverty Level,above_median_Median Income,above_median_Jobs Proximity Index
13001950100,0.8166189111747851,0.4774995909016527,75.9,59118.0,0.5632638454000388,13001950100,other metro,1,0,0,0,0
13001950201,0.8089780324737345,0.4824496809032891,82.3,40417.0,0.5770322668884809,13001950201,other metro,1,0,0,0,0
13001950202,0.7048710601719198,0.6015382097856324,73.5,25508.0,0.5742403250266889,13001950202,other metro,1,0,0,0,0
13001950301,0.66189111747851,0.4871134020618556,84.9,46493.0,0.5835603857896801,13001950301,other metro,1,0,0,0,0
13001950302,0.6542502387774594,0.5631238749795451,65.8,32690.0,0.5798619400439835,13001950302,other metro,1,0,0,0,0
13001950400,0.8424068767908309,0.369497627229586,81.7,47188.0,0.5015627610588845,13001950400,other metro,1,0,0,0,0
13001950500,0.8481375358166189,0.5034773359515627,61.2,35921.0,0.5718804574127546,13001950500,other metro,1,0,0,0,0
13003960100,0.7621776504297995,0.5407871052200949,84.0,30268.0,0.6027402063075977,13003960100,rural,1,1,0,0,1
13003960200,0.7612225405921682,0.49185894288987075,66.4,41488.0,0.6048832361299727,13003960200,rural,1,0,0,0,1
13003960300,0.8042024832855779,0.453403698249059,77.4,34335.0,0.5863432986535934,13003960300,other metro,1,0,0,0,0
13005970100,0.8166189111747851,0.40729831451480936,83.8,46202.0,0.5661330001276205,13005970100,other metro,1,0,0,0,0
13005970201,0.7249283667621776,0.5191458026509572,76.2,46731.0,0.5693831321654109,13005970201,other metro,1,0,0,0,0
13005970202,0.7287488061127029,0.5236458844706267,68.5,29424.0,0.5676656235938776,13005970202,rural,1,0,0,0,0
13007960100,0.7497612225405922,0.4708312878415971,75.1,41307.0,0.6137326818011636,13007960100,other metro,1,0,0,0,1
13007960200,0.8099331423113658,0.49185894288987075,74.7,30583.0,0.6123881036680474,13007960200,other metro,1,0,0,0,1
13009970101,0.6905444126074498,0.5130911471117656,98.2,89318.0,0.5838668521325003,13009970101,other metro,1,0,1,1,0
13009970102,0.6532951289398281,0.4658402880052364,85.1,59502.0,0.6051434812416345,13009970102,other metro,1,0,0,0,1
13009970201,0.4937917860553964,0.5778514154802814,66.7,31716.0,0.7075992629685799,13009970201,other metro,1,0,0,0,1
13009970202,0.6208213944603629,0.47504500081819667,87.7,70722.0,0.6478557046572279,13009970202,other metro,1,0,1,1,1
13009970301,0.6934097421203438,0.46326296841760756,92.1,74286.0,0.6466852233759334,13009970301,other metro,1,0,1,1,1
13009970302,0.5128939828080229,0.5815333006054655,95.0,64457.0,0.6363631627507758,13009970302,other metro,1,0,1,1,1
13009970400,0.34861509073543456,0.6266159384716086,75.0,48856.0,0.6040726180718481,13009970400,other metro,0,1,0,0,1
13009970501,0.33142311365807064,0.6740304369170349,20.0,14632.0,0.7405747639520134,13009970501,other metro,0,1,0,0,1
13009970502,0.5348615090735435,0.5079365079365079,89.7,78040.0,0.59556412614949,13009970502,other metro,1,0,1,1,0
13009970600,0.4584527220630373,0.6057928325969563,70.3,31667.0,0.6395502772742413,13009970600,other metro,1,0,0,0,1
13009970701,0.40305635148042024,0.6409752904598265,65.3,21875.0,0.5950030286753683,13009970701,other metro,0,1,0,0,0
13009970702,0.49283667621776506,0.41552119129438714,68.7,41034.0,0.5900929807827223,13009970702,other metro,1,0,0,0,0
13009970801,0.7153772683858645,0.5081410571101292,93.2,68487.0,0.588171234020213,13009970801,other metro,1,0,1,1,0
13009970802,0.6208213944603629,0.5209867452135494,72.8,44866.0,0.5630753096278387,13009970802,other metro,1,0,0,0,0
13011970100,0.6303724928366762,0.46878579610538373,81.1,52006.0,0.59639662210941,13011970100,other metro,1,0,0,0,0
13011970200,0.7029608404966571,0.46449026345933564,87.6,64044.0,0.6217661204278018,13011970200,other metro,1,0,1,1,1
13011970300,0.670487106017192,0.5222549500900016,91.3,59442.0,0.6528256613922703,13011970300,other metro,1,0,1,0,1
13011970400,0.6790830945558739,0.5091638029782359,88.4,60694.0,0.6032619486673564,13011970400,other metro,1,0,1,1,1
13013180103,0.6055396370582617,0.5453690067092128,91.9,100046.0,0.5490439972372321,13013180103,other metro,1,0,1,1,0
13013180104,0.4794651384909265,0.5348551791850761,93.1,68911.0,0.5424296392835161,13013180104,other metro,1,0,1,1,0
13013180105,0.5969436485195798,0.54217803960072,95.0,78712.0,0.545663119432459,13013180105,other metro,1,0,1,1,0
13013180106,0.5272206303724928,0.5187367043037147,93.6,53072.0,0.5367544277692482,13013180106,other metro,1,0,1,0,0
13013180107,0.45558739255014324,0.47987236131566025,93.6,64917.0,0.5520745045583606,13013180107,other metro,1,0,1,1,0
13013180108,0.48424068767908307,0.48739977090492553,96.0,78636.0,0.5439683757098661,13013180108,other metro,1,0,1,1,0
13013180203,0.45463228271251194,0.6230976926853216,75.0,44081.0,0.5684496712808292,13013180203,other metro,1,1,0,0,0
13013180204,0.4049665711556829,0.5788741613483881,86.7,63825.0,0.5434047738973542,13013180204,rural,0,1,1,1,0
13013180205,0.3839541547277937,0.5842333496972671,83.3,55660.0,0.5499096819384267,13013180205,rural,0,1,0,1,0
13013180206,0.4087870105062082,0.5335460644738995,92.0,60739.0,0.5420813930296035,13013180206,other metro,0,0,1,1,0
13013180301,0.501432664756447,0.5604238258877434,90.5,65625.0,0.5277699416895701,13013180301,other metro,1,0,1,1,0
13013180302,0.6150907354345749,0.5795287187039764,86.9,61477.0,0.5560885502974175,13013180302,other metro,1,0,1,1,0
13013180303,0.5224450811843362,0.5121093110783832,94.9,86326.0,0.5643358857340405,13013180303,other metro,1,0,1,1,0
13013180401,0.6638013371537728,0.4949271804941908,94.2,80808.0,0.5412112330620749,13013180401,other metro,1,0,1,1,0
13013180402,0.5510983763132761,0.5630011454753723,86.2,60466.0,0.5320374291290624,13013180402,rural,0,1,1,1,0
13013180501,0.5444126074498568,0.5121093110783832,95.1,77372.0,0.5565146256590825,13013180501,other metro,1,0,1,1,0
13013180502,0.49474689589302767,0.5166093928980526,86.2,61515.0,0.5534544734752923,13013180502,other metro,1,0,0,1,0
13013180503,0.5501432664756447,0.5518327605956472,80.6,58934.0,0.5501895345782072,13013180503,other metro,1,0,0,0,0
13015960101,0.7373447946513848,0.48997709049255445,95.1,72500.0,0.6010395622166723,13015960101,other metro,1,0,1,1,1
13015960103,0.6160458452722063,0.5275732286041563,99.2,91766.0,0.6075634303153823,13015960103,other metro,1,0,1,1,1
13015960104,0.6790830945558739,0.5898379970544918,90.6,54474.0,0.5881862727988945,13015960104,other metro,1,0,1,0,0
13015960105,0.5444126074498568,0.5458190148911799,91.2,93750.0,0.5962996865619661,13015960105,other metro,1,0,1,1,0
13015960201,0.5730659025787965,0.5724513172966781,94.8,83462.0,0.5908776630428068,13015960201,other metro,1,0,1,1,0
13015960202,0.5491881566380133,0.6278432335133366,90.4,68601.0,0.570417685231971,13015960202,other metro,1,1,1,1,0
13015960203,0.6380133715377269,0.588774341351661,88.9,65123.0,0.5910098992611981,13015960203,other metro,1,0,1,1,0
13015960301,0.5931232091690545,0.4820405825560465,97.7,76667.0,0.572793375742367,13015960301,other metro,1,0,1,1,0
13015960302,0.5883476599808979,0.5595647193585338,82.4,50234.0,0.5660221943042026,13015960302,other metro,1,0,0,0,0
13015960403,0.39255014326647564,0.6724758631975127,78.1,42426.0,0.5821479989473725,13015960403,other metro,0,1,0,0,0
13015960404,0.40210124164278893,0.5739240713467517,84.8,63913.0,0.5738837658147009,13015960404,other metro,0,0,0,1,0
13015960405,0.3734479465138491,0.5440598919980363,86.1,69102.0,0.6179581152002844,13015960405,other metro,0,0,0,1,1
13015960406,0.34765998089780326,0.6585665193912615,96.1,43793.0,0.5765472165624844,13015960406,other metro,0,1,1,0,0
13015960407,0.38968481375358166,0.5967108492881689,91.0,103750.0,0.5839494860952955,13015960407,other metro,0,0,1,1,0
13015960501,0.32664756446991405,0.6084928816887579,80.0,60861.0,0.6155347266787589,13015960501,other metro,0,0,0,1,1
13015960502,0.3744030563514804,0.5642693503518246,90.5,56526.0,0.5583966620012278,13015960502,other metro,0,0,1,0,0
13015960601,0.3390639923591213,0.654025527736868,85.4,62397.0,0.5808243095734366,13015960601,other metro,0,1,0,1,0
13015960602,0.27316141356255974,0.6696939944362624,86.7,59229.0,0.619444562996938,13015960602,other metro,0,1,1,0,1
13015960701,0.2760267430754537,0.7164948453608246,76.9,48252.0,0.5760439625843705,13015960701,other metro,0,1,0,0,0
13015960702,0.4135625596943649,0.6102110947471773,97.2,44658.0,0.5905140975461433,13015960702,other metro,0,1,1,0,0
13015960801,0.5234001910219676,0.5651284568810342,76.6,50423.0,0.5721893602508511,13015960801,other metro,1,0,0,0,0
13015960802,0.43361986628462273,0.639829815087547,77.1,44544.0,0.580359637222665,13015960802,other metro,1,1,0,0,0
