CHEMICAL REPORT ID,CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,DOMESTIC PARENT COMPANY NAME,DOMESTIC PC ADDRESS LINE1,DOMESTIC PC ADDRESS LINE2,DOMESTIC PC CITY,DOMESTIC PC COUNTY / PARISH,DOMESTIC PC STATE,DOMESTIC PC POSTAL CODE,DOMESTIC PC DUN & BRADSTREET NUMBER,FOREIGN PARENT COMPANY NAME,FOREIGN PC ADDRESS LINE1,FOREIGN PC ADDRESS LINE2,FOREIGN PC CITY,FOREIGN PC COUNTY / PARISH,FOREIGN PC POSTAL CODE,FOREIGN PC COUNTRY CODE,FOREIGN PC DUN & BRADSTREET NUMBER,SITE NAME,SITE ADDRESS LINE1,SITE ADDRESS LINE2,SITE CITY,SITE COUNTY / PARISH,SITE STATE,SITE POSTAL CODE,SITE LATITUDE,SITE LONGITUDE,SITE DUN & BRADSTREET NUMBER,EPA-TSCA PROGRAM ID,EPA FACILITY REGISTRY ID,SITE NAICS CODE 1,SITE NAICS ACTIVITY 1,SITE NAICS CODE 2,SITE NAICS ACTIVITY 2,SITE NAICS CODE 3,SITE NAICS ACTIVITY 3,ACTIVITY,2019 DOMESTIC PV,2019 IMPORT PV,2019 PV,2018 PV,2017 PV,2016 PV,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV,IMPORTED CHEM NEVER AT SITE,2019 V USED ON-SITE,2019 V EXPORTED,PCT BYP CODE,PERCENT BYPRODUCT,WORKERS CODE,WORKERS,MAX CONC CODE,MAXIMUM CONCENTRATION,RECYCLED,PHYSICAL FORM(S),C / C PROD CAT CODE,CONSUMER / COMMERCIAL PRODUCT CATEGORY,CONS / COMM PROD CAT OTHER DESC,C / C FC CODE,CONS / COMM FUNCTION CATEGORY,CONS / COMM FUNCT CAT OTHER DESC,JOINT FC CODE,JOINT FUNCTION CATEGORY,JOINT FUNCT CAT OTHER DESC,CONS OR COMM USE,USED IN PROD FOR CHILDREN,C / C PV PCT,C / C MAX CONC CODE,C / C MAXIMUM CONCENTRATION,COMM WORKERS CODE,COMMERCIAL WORKERS
718276,".beta.-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)",94441-92-6,94441926,CASRN,"INNOVATIVE CHEMICAL TECHNOLOGIES, INC.","680 Douthit Ferry Road Suite 201, Cartersville, GA 30120",,Cartersville,BARTOW,GA,30120,11-277-7541,,,,,,,,,INNOVATIVE CHEMICAL TECHNOLOGIES INC,8 RIVERSIDE DRIVE,,CARTERSVILLE,BARTOW COUNTY,GA,30120,34.14025,-84.84717,11-757-5484,TSCA10054149,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Withheld,,,,,CBI,CBI,CBI,CBI,CBI,CBI,CBI,"500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",CBI,0,CBI,CBI,CBI,W2,10 Ð 24,M3,30% Ð < 60%,No,Liquid,CC105,"Leather tanning, dye, finishing, impregnation and care products",,F076,Surfactant (surface active agent),,,,,Both,No,100,M2,1% Ð < 30%,W7,"1,000 Ð 9,999"
700798,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,"INNOVATIVE CHEMICAL TECHNOLOGIES, INC.","680 Douthit Ferry Road Suite 201, Cartersville, GA 30120",,CARTERSVILLE,Bartow,GA,30120,11-277-7541,,,,,,,,,INNOVATIVE CHEMICAL TECHNOLOGIES INC,103 WALNUT GROVE ROAD,,CARTERSVILLE,BARTOW COUNTY,GA,30120-6427,0,0,02-395-7322,100606513,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,,CBI,0,CBI,CBI,CBI,CBI,"500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,,,B1,0%,W2,10 Ð 24,M3,30% Ð < 60%,No,Liquid,CC104,Leather conditioner,,U010,Finishing agents,,,,,Both,No,100,M1,< 1%,W3,25 Ð 49
718265,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,"INNOVATIVE CHEMICAL TECHNOLOGIES, INC.","680 Douthit Ferry Road Suite 201, Cartersville, GA 30120",,Cartersville,BARTOW,GA,30120,11-277-7541,,,,,,,,,INNOVATIVE CHEMICAL TECHNOLOGIES INC,8 RIVERSIDE DRIVE,,CARTERSVILLE,BARTOW COUNTY,GA,30120,34.14025,-84.84717,11-757-5484,TSCA10054149,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Withheld,,,,,CBI,CBI,CBI,CBI,CBI,CBI,CBI,"500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",CBI,0,CBI,CBI,CBI,W2,10 Ð 24,M2,1% Ð < 30%,No,Liquid,,,,,,,,,,,,,,,,
735679,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,Textile Rubber & Chemical CO,1400 TIARCO DR,,DALTON,Whitfield,GA,30721,00-102-3621,,,,,,,,,TIARCO RST,1010 VISTA DR,,DALTON,WHITFIELD COUNTY,GA,30721,34.79898,-84.94949,12-693-3714,TSCA10057576,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"219,587",0,"219,587","217,582","254,458","189,269","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,"1,320",B1,0%,W1,< 10,M3,30% Ð < 60%,No,Liquid,C105,Cleaning and Furnishing Care Products,,F076,Surfactant (surface active agent),,,,,Both,No,13,M2,1% Ð < 30%,W3,25 Ð 49
735679,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,Textile Rubber & Chemical CO,1400 TIARCO DR,,DALTON,Whitfield,GA,30721,00-102-3621,,,,,,,,,TIARCO RST,1010 VISTA DR,,DALTON,WHITFIELD COUNTY,GA,30721,34.79898,-84.94949,12-693-3714,TSCA10057576,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"219,587",0,"219,587","217,582","254,458","189,269","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,"1,320",B1,0%,W1,< 10,M3,30% Ð < 60%,No,Liquid,C106,Laundry and Dishwashing Products,,F076,Surfactant (surface active agent),,,,,Commercial,No,7,M2,1% Ð < 30%,W2,10 Ð 24
735679,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,Textile Rubber & Chemical CO,1400 TIARCO DR,,DALTON,Whitfield,GA,30721,00-102-3621,,,,,,,,,TIARCO RST,1010 VISTA DR,,DALTON,WHITFIELD COUNTY,GA,30721,34.79898,-84.94949,12-693-3714,TSCA10057576,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"219,587",0,"219,587","217,582","254,458","189,269","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,"1,320",B1,0%,W1,< 10,M3,30% Ð < 60%,No,Liquid,C108,Personal Care Products,,F076,Surfactant (surface active agent),,,,,Both,No,13,M2,1% Ð < 30%,W3,25 Ð 49
735679,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,Textile Rubber & Chemical CO,1400 TIARCO DR,,DALTON,Whitfield,GA,30721,00-102-3621,,,,,,,,,TIARCO RST,1010 VISTA DR,,DALTON,WHITFIELD COUNTY,GA,30721,34.79898,-84.94949,12-693-3714,TSCA10057576,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"219,587",0,"219,587","217,582","254,458","189,269","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,"1,320",B1,0%,W1,< 10,M3,30% Ð < 60%,No,Liquid,C204,Building/Construction Materials not covered elsewhere,,F076,Surfactant (surface active agent),,,,,Commercial,No,13,M2,1% Ð < 30%,W2,10 Ð 24
735679,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,Textile Rubber & Chemical CO,1400 TIARCO DR,,DALTON,Whitfield,GA,30721,00-102-3621,,,,,,,,,TIARCO RST,1010 VISTA DR,,DALTON,WHITFIELD COUNTY,GA,30721,34.79898,-84.94949,12-693-3714,TSCA10057576,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"219,587",0,"219,587","217,582","254,458","189,269","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,"1,320",B1,0%,W1,< 10,M3,30% Ð < 60%,No,Liquid,C401,Automotive Care Products,,F076,Surfactant (surface active agent),,,,,Both,No,21,M2,1% Ð < 30%,W3,25 Ð 49
735679,".beta.-Alanine, N-(2-carboxyethyl)-N-dodecyl-, sodium salt (1:1)",14960-06-6,14960066,CASRN,Textile Rubber & Chemical CO,1400 TIARCO DR,,DALTON,Whitfield,GA,30721,00-102-3621,,,,,,,,,TIARCO RST,1010 VISTA DR,,DALTON,WHITFIELD COUNTY,GA,30721,34.79898,-84.94949,12-693-3714,TSCA10057576,1.10E+11,325199 All Other Basic Organic Chemical Manufacturing,Manufacture,,,,,Manufacture,"219,587",0,"219,587","217,582","254,458","189,269","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000","500,000 Ð <1,000,000",,0,"1,320",B1,0%,W1,< 10,M3,30% Ð < 60%,No,Liquid,CC101,"Construction and building materials covering large surface areas including stone, plaster, cement, glass and ceramic articles; fabrics, textiles, and apparel",,F065,Processing aids not otherwise specified,,,,,Commercial,No,33,M2,1% Ð < 30%,W2,10 Ð 24
733323,"1,1'-Biphenyl",92-52-4,92524,CASRN,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,CBI,PREMIER POLYMERS,234 LOWY DR,,CHATSWORTH,MURRAY COUNTY,GA,30705,34.779575,-84.808032,78-245-1186,TSCA124313,1.10E+11,325998 All Other Miscellaneous Chemical Product And Preparation Manufacturing,Both,,,,,Import,0,"30,800","30,800","30,800","61,600","30,800","1,000,000 Ð <20,000,000","1,000,000 Ð <20,000,000","1,000,000 Ð <20,000,000","1,000,000 Ð <20,000,000",No,"24,015",0,B1,0%,W1,< 10,M1,< 1%,No,,CC107,Textile finishing and impregnating/surface treatment products,,F037,Intermediate,,,,,Commercial,No,100,M2,1% Ð < 30%,W1,< 10
