ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
GAD073460941,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,09/30/2016,,99900.0,,
GAR000011536,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/31/2016,,4000.0,,
GAR000058560,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/08/2017,,,,
GAR000033951,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,E  ,09/04/2018,,,,
GAD093380814,GA,033,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/28/1990,200000.0,200000.0,,
GAD093380814,GA,040,HQ120,WRITTEN INFORMAL,S  ,09/05/1990,,,,
GAD003480530,GA,012,HQ120,WRITTEN INFORMAL,S  ,01/19/1990,,,,
GAD003484607,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/12/1990,,,,
GAD003981446,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/14/1987,,,,
GAD003981446,GA,002,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,06/19/1987,,,,
GAD061921052,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,09/09/1993,,,,
GAD061921052,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/07/1991,,,,
GAD065344301,GA,016,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,01/05/1988,,,,
GAD067560870,GA,010,HQ120,WRITTEN INFORMAL,S  ,05/03/1985,,,,
GAD067560870,GA,008,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,01/16/1985,,,,
GAD067560870,GA,004,HQ120,WRITTEN INFORMAL,S  ,02/08/1984,,,,
GAD980839211,GA,001,HQ120,WRITTEN INFORMAL,S  ,07/17/2000,,,,
GAD980842702,GA,004,HQ120,WRITTEN INFORMAL,S  ,06/02/1987,,,,
GAD980842777,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/26/1998,,,,
GAD980842777,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/26/1996,,,,
GAR000012419,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,04/23/1999,,,,
GAD056225477,GA,004,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,04/18/1985,,,,
GAD003324985,GA,003,HQ120,WRITTEN INFORMAL,S  ,12/17/1985,,,,
GAD004065520,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/18/1995,,,,
GAD004065520,GA,001,HQ120,WRITTEN INFORMAL,S  ,05/14/1992,,,,
GAD004065520,GA,026,HQ120,WRITTEN INFORMAL,S  ,05/20/1988,,,,
GAD004065520,GA,015,HQ120,WRITTEN INFORMAL,S  ,10/21/1985,,,,
GAD003480530,GA,001,HQ120,WRITTEN INFORMAL,S  ,02/11/1994,,,,
GAD000612796,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/30/1991,,,,
GAD000814400,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/27/2000,,,,
GAD984300327,GA,001,HQ210,INITIAL 3008(A) COMPLIANCE,S  ,01/17/1995,,,,
GAD984300509,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,07/08/1996,,750.0,,
GAD984301358,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/29/1991,,,,
GAD980846109,GA,002,HQ120,WRITTEN INFORMAL,S  ,08/19/1987,,,,
GAD980847339,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/23/1993,,,,
GAD981014632,GA,001,HQ110,VERBAL INFORMAL,S  ,03/15/1995,,,,
GAD981014632,GA,002,HQ120,WRITTEN INFORMAL,S  ,02/28/1995,,,,
GAD981014723,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/13/1988,,,,
GAD981015449,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,05/16/1985,,,,
GAD095811162,GA,005,HQ120,WRITTEN INFORMAL,S  ,08/18/1988,,,,
GAD097392971,GA,001,HQ120,WRITTEN INFORMAL,S  ,09/10/1997,,,,
GAD093380814,GA,001,HQ120,WRITTEN INFORMAL,S  ,11/20/1997,,,,
GAD065365603,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/26/1999,,,,
GAD065365603,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/16/1988,,,,
GAD000814541,GA,008,HQ120,WRITTEN INFORMAL,S  ,03/07/1991,,,,
GAD000814541,GA,002,HQ120,WRITTEN INFORMAL,S  ,07/16/1985,,,,
GAD000814541,GA,003,HQ120,WRITTEN INFORMAL,S  ,02/04/1985,,,,
GAD000821934,GA,APT,HQ210,INITIAL 3008(A) COMPLIANCE,E  ,09/14/1999,,,,
GAD033885633,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/29/1984,,,,
GAD984305854,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,10/18/1995,,5000.0,,
GA7170023694,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/19/1999,,,,
GA8570024606,GA,001,HQ120,WRITTEN INFORMAL,S  ,01/29/1993,,,,
GA8570024606,GA,001,HQ120,WRITTEN INFORMAL,S  ,06/05/1992,,,,
GAD984313395,GA,001,HQ120,WRITTEN INFORMAL,S  ,03/14/1996,,,,
GAD984297150,GA,001,HQ120,WRITTEN INFORMAL,S  ,04/18/1992,,,,
GAD984297671,GA,001,HQ120,WRITTEN INFORMAL,S  ,08/22/1996,,,,
GAD984299610,GA,001,HQ120,WRITTEN INFORMAL,S  ,12/19/1995,,,,
GAD984311860,GA,001,HQ120,WRITTEN INFORMAL,S  ,10/31/1994,,,,
GAD981027055,GA,021,HQ120,WRITTEN INFORMAL,S  ,02/27/1991,,,,
GAD981027055,GA,018,HQ120,WRITTEN INFORMAL,S  ,02/15/1989,,,,
GAD981260151,GA,001,HQ310,FINAL 3008(A) COMPLIANCE ORDER,S  ,06/30/1995,,1800.0,,
