ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
GAD047590476,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/18/1995,N  
GAD047608245,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/18/1994,N  
GAD051011344,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,07/08/1994,N  
GAD051011609,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,10/15/1992,N  
GAD051011609,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,08/16/1994,N  
GAD053611273,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,12/15/1992,N  
GAD990675118,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/10/1991,N  
GAD991275124,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,01/17/1991,N  
GAD033590514,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/03/1996,N  
GAD033817354,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/20/1996,N  
GAD033842543,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/14/1995,N  
GAD040673469,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,11/30/1995,N  
GA0210020046,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/04/1994,N  
GA3210020084,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,12/18/1996,N  
GA3210020084,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/19/1998,N  
GA7170023694,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/03/1998,N  
GA8570024606,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,01/02/1996,N  
GAD069223584,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/30/1994,N  
GAD070330576,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/26/1993,N  
GAD070330576,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/19/1997,N  
GAD072473622,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/20/1995,N  
GAD073460941,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,11/22/1993,N  
GAD082830803,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/10/1995,N  
GAD091534776,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,08/23/1995,N  
GAD092375427,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/15/1992,N  
GAD033842543,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,05/03/1993,N  
GA0000999805,GA,002,SNY,SIGNIFICANT NON-COMPLIER,E  ,10/20/2014,Y  
GAD073460941,GA,002,SNY,SIGNIFICANT NON-COMPLIER,E  ,06/11/2014,Y  
GAD981230535,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/02/1994,N  
GAD981234248,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,09/26/1994,N  
GAD981237118,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,E  ,03/06/1992,N  
GAD981238199,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/24/1995,N  
GA0000064691,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/21/1994,N  
GA0000091785,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/10/1995,N  
GA0000181388,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/25/1994,N  
GA0000233163,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,07/20/1994,N  
GA0000362079,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/18/1995,N  
GA0001004456,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/11/1995,N  
GA0120513759,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,04/15/1994,N  
GAD066465824,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/01/1994,N  
GAD066468521,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,06/22/1994,N  
GAD981250335,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/28/1994,N  
GAD981260151,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/25/1995,N  
GAD981262462,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,12/22/1995,N  
GAD094075553,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,04/18/1991,N  
GAD094075553,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,02/06/1992,N  
GAD094075553,GA,CNV,SNY,SIGNIFICANT NON-COMPLIER,S  ,03/30/1994,N  
GAD107525503,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/20/1994,N  
GAD115319204,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/18/1995,N  
GAD980803860,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,01/19/1996,N  
GAD980839211,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,06/17/1994,N  
GAD981014632,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/13/1995,N  
GAD981024334,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,07/22/1996,N  
GAD041013657,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/30/1992,N  
GAR000006940,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,02/17/1997,N  
GAR000010314,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,12/24/1996,N  
GAD991275322,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,10/20/1997,N  
GAR000002626,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,05/20/1996,N  
GAR000000901,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,12/29/1995,N  
GAD981237118,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,E  ,05/13/1993,N  
GAD981238199,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,03/25/1996,N  
GAD981239619,GA,CV3,SNN,NO LONGER A SIGNIFICANT NON-COMPLIER,S  ,09/22/1994,N  
