ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
GAR000036301,MOMENTIVE PERFORMANCE MATERIALS,GA,------,Other,1775 WESTGATE PARKWAY,ATLANTA,GA,30336,33.706651,-84.609211,N  ,N  ,-----,------         
GAD984298091,COUNTRY CUPBOARD #1,GA,------,Other,280 INDUSTRIAL BLVD,ELLIJAY,GA,30540,,,N  ,N  ,-----,------         
GAD984294470,COUNTRY CUPBOARD #19,GA,------,Other,703 OOTHOALOOGA ST,CALHOUN,GA,30701,34.498049,-84.96185,N  ,N  ,-----,------         
GAD984298190,COUNTRY CUPBOARD #7,GA,------,Other,HWY 76,BLUE RIDGE,GA,30513,,,N  ,N  ,-----,------         
GA0000079947,NATIONAL FILTRATION SYSTEMS,GA,------,Other,2825 SIMPSON CIR,NORCROSS,GA,30071,33.96707,-84.177686,N  ,N  ,-----,------         
GAR000021360,RAINBOWS PAINT & BODY INCA,GA,------,VSQG,1288 E HWY 80,POOLER,GA,31322,32.102213,-81.223984,3  ,N  ,H----,------         
GAD984316240,SOUTHWEST STAINLESS LP HG9221,GA,------,Other,200-C PIEDMONT CT,DORAVILLE,GA,30348,,,N  ,N  ,-----,------         
GAR000036293,SHORT STOP #5,GA,------,Other,2510 MILLEDGEVILLE RD,AUGUSTA,GA,30904,,,N  ,N  ,-----,------         
GA0000927145,RITZ CLEANERS,GA,------,Other,3600 DALLAS HWY #B330,MARIETTA,GA,30064,,,N  ,N  ,-----,------         
GAD984293597,EXPRESSWAY BODY WORKS INC,GA,------,Other,1300 50TH STREET,COLUMBUS,GA,31904,,,N  ,N  ,-----,------         
