ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
GAD040690737,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,05/18/2000,09/15/2000,
GAD991276007,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,11/15/2000,03/16/2001,
GAD002270239,GA,262.A,Standards Applicable to Generators of HW: General,S  ,05/24/2002,06/10/2002,06/21/2002
GA0000999805,GA,268.A,Land Disposal Restrictions: General,S  ,10/22/1999,02/01/2000,
GAR000004937,GA,262.D,Standards Applicable to Recordkeeping and Reporting Applicable to Small and Large Quantity Generators,S  ,05/22/1997,10/27/1999,
GA0000012914,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,04/21/1999,06/19/1999,
GAD981265424,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,05/19/1994,06/07/1994,
GA1570024330,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,04/15/1985,08/01/1985,
GAD073460941,GA,263.A,Standards Applicable to Transporters of HW: General,E  ,07/27/1993,11/02/1994,
GAD003310810,GA,262.A,Standards Applicable to Generators of HW: General,S  ,07/21/1991,08/09/1991,08/08/1991
GAD003306750,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/07/1997,06/10/1997,05/27/1997
GA8570024606,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/27/1997,06/30/1997,
GA8570024606,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,01/29/1993,11/04/1993,
GAD981229347,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/03/1987,07/07/1987,03/15/1987
GAD981226145,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,07/30/1993,11/10/1993,08/27/1993
GAD984312512,GA,262.A,Standards Applicable to Generators of HW: General,S  ,02/25/1999,04/08/1999,05/17/1999
GAD984307801,GA,268.A,Land Disposal Restrictions: General,S  ,06/30/1992,09/14/1992,08/14/1992
GAR000004614,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/24/1996,08/20/1996,
GAD000653360,GA,262.A,Standards Applicable to Generators of HW: General,E  ,05/07/1991,05/07/1991,
GAR000002899,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/29/1996,12/05/1996,09/30/1996
GA0000012914,GA,264.S,Standards for Owners and Operators of HW TSDs: Special Provisions for Cleanup,S  ,09/16/1993,02/23/1994,
GA7170023694,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,06/25/1986,09/12/1986,09/01/1986
GAD981268295,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,03/06/1997,08/27/1998,08/02/1998
GAD981266208,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,05/02/2000,07/05/2000,
GA0000081281,GA,262.A,Standards Applicable to Generators of HW: General,S  ,03/23/2000,06/19/2000,06/16/2000
GAD991302225,GA,262.A,Standards Applicable to Generators of HW: General,S  ,01/10/1991,02/14/1992,02/25/1991
GA4210022733,GA,262.A,Standards Applicable to Generators of HW: General,S  ,06/29/1994,06/29/1994,
GAD981283096,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/16/1992,03/15/1993,01/22/1993
GAD008212409,GA,264.K,Standards for Owners and Operators of HW TSDs: Surface Impoundments,E  ,03/19/1991,12/20/1991,
GAD003300969,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/09/1994,11/15/1994,10/07/1994
GAD003300969,GA,262.A,Standards Applicable to Generators of HW: General,S  ,09/09/1994,11/15/1994,10/07/1994
GAD003302064,GA,264.H,Standards for Owners and Operators of HW TSDs: Financial Requirements,S  ,08/28/1986,10/17/1986,
GAD003299526,GA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,06/15/1993,12/15/1993,
GAD003299526,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,06/15/1993,01/11/1994,
GAD984322727,GA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/12/1995,12/31/1996,
GAD000823096,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/02/1993,07/02/1993,
GAD991275900,GA,264.A,Standards for Owners and Operators of HW TSDs: General,S  ,01/09/1985,09/28/1987,
GAD991275900,GA,265.F,Interim Status Standards for Owners and Operators of HW TSDs: Ground-Water Monitoring,S  ,08/18/1988,12/21/1988,
GAD061022216,GA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,08/24/1995,10/02/1995,
GAD033582461,GA,264.J,Standards for Owners and Operators of HW TSDs: Tank Systems,S  ,12/30/1996,07/31/1997,
GAD093380814,GA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,05/06/1996,10/10/1997,
GAD092375260,GA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/16/1995,05/03/1995,04/17/1995
