ID_NUMBER,ACTIVITY_LOCATION,YRMONTH,VIO_FLAG,SNC_FLAG
GAD003480530,GA,200003,Y,N
GAD003480530,GA,200004,Y,N
GAD003480530,GA,200005,Y,N
GAD003480530,GA,200105,Y,N
GAD003480530,GA,200106,Y,N
GAD003480530,GA,200107,Y,N
GAD003480530,GA,200307,Y,N
GAD003480530,GA,200308,Y,N
GAD003480530,GA,200309,Y,N
GAD003480530,GA,200310,Y,N
GAD003480530,GA,200311,Y,N
GAD003480530,GA,200408,Y,N
GAD003480530,GA,200409,Y,N
GAD003480530,GA,200410,Y,N
GAD003480530,GA,200507,Y,N
GAD003480530,GA,200508,Y,N
GAD003480530,GA,200607,Y,N
GAD003480530,GA,200704,Y,N
GAD003480530,GA,200705,Y,N
GAD003480530,GA,200706,Y,N
GAD003480530,GA,200709,Y,N
GAD003480530,GA,200710,Y,N
GAD003480530,GA,200807,Y,N
GAD003480530,GA,200808,Y,N
GAD003480530,GA,200809,Y,N
GAD003480530,GA,200811,Y,N
GAD003480530,GA,200812,Y,N
GAD003480530,GA,200908,Y,Y
GAD003480530,GA,200909,Y,Y
GAD003480530,GA,200910,Y,Y
GAD003480530,GA,200911,Y,Y
GAD003480530,GA,200912,Y,Y
GAD003480530,GA,201001,Y,Y
GAD003480530,GA,201002,Y,Y
GAD003480530,GA,201003,Y,Y
GAD003480530,GA,201004,Y,Y
GAD003480530,GA,201008,Y,N
GAD003480530,GA,201009,Y,N
GAD003480530,GA,201010,Y,N
GAD003480530,GA,201011,Y,N
GAD003480530,GA,201012,Y,N
GAD003480530,GA,201104,Y,N
GAD003480530,GA,201105,Y,N
GAD003480530,GA,201106,Y,N
GAD003480530,GA,201107,Y,N
GAD003480530,GA,201108,Y,N
GAD003480530,GA,201109,Y,N
GAD003480530,GA,201112,Y,N
GAD003480530,GA,201203,Y,N
GAD003480530,GA,201204,Y,N
GAD003480530,GA,201205,Y,N
GAD003480530,GA,201206,Y,N
GAD003480530,GA,201207,Y,N
GAD003480530,GA,201208,Y,N
GAD003480530,GA,201209,Y,N
GAD003480530,GA,201210,Y,N
GAD003480530,GA,201308,Y,N
GAD003480530,GA,201309,Y,N
GAD003480530,GA,201310,Y,N
GAD003480530,GA,201407,Y,N
GAD003480530,GA,201408,Y,N
GAD003480530,GA,201503,Y,N
GAD003480530,GA,201504,Y,N
GAD003480530,GA,201505,Y,N
GAD003480530,GA,201506,Y,N
GAD003480530,GA,201511,Y,N
GAD003480530,GA,201512,Y,N
GAD003480530,GA,201601,Y,N
GAD003480530,GA,201602,Y,N
GAD003480530,GA,201611,Y,N
GAD003480530,GA,201612,Y,N
GAD003480530,GA,201701,Y,N
GAD003480530,GA,201702,Y,N
GAD003480530,GA,201703,Y,N
GAD003480530,GA,201704,Y,N
GAD003480530,GA,201705,Y,N
GAD003480530,GA,202206,Y,N
GAD003480530,GA,202207,Y,N
GAD003480530,GA,202208,Y,N
GAD003480530,GA,202209,Y,N
GAD003480530,GA,202210,Y,N
GAD003480530,GA,202211,Y,N
GAD003480530,GA,202212,Y,N
GAD003484607,GA,199004,Y,N
GAD003484607,GA,199005,Y,N
GAD003484607,GA,199105,Y,N
GAD003484607,GA,199106,Y,N
GAD003484607,GA,199107,Y,N
GAD003484607,GA,199108,Y,N
GAD003484607,GA,199109,Y,N
GAD003484607,GA,199110,Y,N
GAD003484607,GA,199111,Y,N
GAD003484607,GA,199112,Y,N
GAD003484607,GA,199201,Y,N
GAD003484607,GA,199202,Y,N
GAD003484607,GA,199203,Y,N
GAD003484607,GA,199204,Y,N
GAD003484607,GA,199205,Y,N
GAD003484607,GA,199206,Y,N
GAD003484607,GA,199207,Y,N
GAD003484607,GA,199208,Y,N
GAD003484607,GA,199209,Y,N
GAD003484607,GA,199210,Y,N
GAD003484607,GA,199211,Y,N
GAD003484607,GA,199212,Y,N
GAD003484607,GA,199301,Y,N
GAD003484607,GA,199302,Y,N
GAD003484607,GA,199303,Y,N
GAD003484607,GA,199304,Y,N
GAD003484607,GA,199305,Y,N
GAD003484607,GA,199306,Y,N
GAD003484607,GA,199605,Y,N
GAD003484607,GA,199606,Y,N
GAD003484607,GA,199607,Y,N
GAD003484607,GA,199708,Y,N
GAD003484607,GA,199709,Y,N
GAD003484607,GA,199710,Y,N
GAD003484607,GA,199711,Y,N
GAD003484607,GA,199808,Y,N
GAD003484607,GA,199809,Y,N
GAD003484607,GA,199810,Y,N
GAD003486297,GA,199212,Y,N
GAD003486297,GA,199301,Y,N
GAD003913159,GA,200205,Y,N
GAD003913159,GA,200206,Y,N
GAD003913159,GA,200207,Y,N
GAD003913159,GA,200208,Y,N
GAD003981446,GA,198503,Y,N
GAD003981446,GA,198504,Y,N
GAD003981446,GA,198505,Y,N
GAD003981446,GA,198705,Y,N
GAD003981446,GA,198706,Y,N
GAD003981446,GA,198707,Y,N
GAD003981446,GA,198708,Y,N
GAD003981446,GA,198709,Y,N
GAD003981446,GA,198710,Y,N
GAD003981446,GA,198711,Y,N
GAD003981446,GA,198712,Y,N
GAD003981446,GA,198801,Y,N
GAD003981446,GA,198802,Y,N
GAD003981446,GA,198803,Y,N
GAD003981446,GA,198804,Y,N
GAD003981446,GA,199901,Y,N
GAD003981446,GA,199902,Y,N
GAD003981446,GA,199903,Y,N
GAD003981446,GA,199904,Y,N
GAD004058384,GA,198401,Y,N
GAD004058384,GA,198402,Y,N
GAD004058384,GA,198403,Y,N
GAD004058384,GA,198404,Y,N
GAD004058384,GA,198405,Y,N
GAD004058384,GA,198406,Y,N
GAD004058384,GA,198407,Y,N
GAD004058384,GA,198408,Y,N
GAD004058384,GA,198409,Y,N
GAD004058384,GA,198410,Y,N
GAD004058384,GA,198411,Y,N
GAD004058384,GA,198412,Y,N
GAD004058384,GA,198501,Y,N
GAD004058384,GA,198502,Y,N
GAD004058384,GA,198503,Y,N
GAD004058384,GA,198504,Y,N
GAD004058384,GA,198505,Y,N
GAD004058384,GA,198506,Y,N
GAD004058384,GA,198507,Y,N
GAD004058384,GA,198508,Y,N
GAD004058384,GA,198509,Y,N
GAD004058442,GA,200009,Y,N
GAD004058442,GA,200010,Y,N
GAD004060968,GA,198501,Y,N
GAD004060968,GA,198502,Y,N
GAD004060968,GA,198503,Y,N
GAD004060968,GA,198712,Y,N
GAD004060968,GA,198801,Y,N
GAD004060968,GA,199411,Y,N
GAD004060968,GA,199412,Y,N
GAD004060968,GA,199501,Y,N
GAD004060968,GA,199502,Y,N
GAD004060968,GA,199503,Y,N
GAD004060968,GA,199504,Y,N
GAD004060968,GA,199505,Y,N
GAD004060968,GA,199905,Y,N
GAD004060968,GA,199906,Y,N
GAD004060968,GA,200109,Y,N
GAD004060968,GA,200110,Y,N
GAD004060968,GA,200111,Y,N
GAD004060968,GA,200209,Y,N
GAD004060968,GA,200210,Y,N
GAD004060968,GA,200211,Y,N
GAD004060968,GA,200212,Y,N
GAD004060968,GA,200301,Y,N
GAD004060968,GA,200503,Y,N
GAD004060968,GA,200804,Y,Y
GAD004060968,GA,200805,Y,Y
GAD004060968,GA,200806,Y,Y
GAD004060968,GA,200807,Y,Y
GAD004060968,GA,200808,Y,Y
