TRI Facility Name,TRI Facility ID,Year,Census Tract,Latitude,Longitude,Releases (lb),Waste Managed (lb),RSEI Hazard,# of TRI Facilities
BASF CORP ATTAPULGUS OPS,31715NGLHRDEPOT,2023,13087970800,30.738055,-84.49394,"5,018,680.00","7,236,621.00","37,278,998",1
PCS NITROGEN FERTILIZER LP,30903CLMBN23COL,2021,13245010602,33.426976,-81.932898,"4,933,990.40","4,977,208.40","200,601,816",1
RAYONIER PERFORMANCE FIBERS JESUP MILL,31545TTRYNSAVAN,2023,13305970600,31.6582,-81.8407,"4,592,076.41","47,975,944.02","6,073,728,044",1
PCS NITROGEN FERTILIZER LP,30903CLMBN23COL,2023,13245010602,33.426976,-81.932898,"4,523,457.69","4,523,457.69","200,571,861",1
RAYONIER PERFORMANCE FIBERS JESUP MILL,31545TTRYNSAVAN,2021,13305970600,31.6582,-81.8407,"4,516,046.16","44,021,025.29","5,196,298,748",1
BASF CORP ATTAPULGUS OPS,31715NGLHRDEPOT,2022,13087970800,30.738055,-84.49394,"4,361,187.00","5,966,769.00","45,790,140",1
BASF CORP ATTAPULGUS OPS,31715NGLHRDEPOT,2021,13087970800,30.738055,-84.49394,"4,145,041.00","5,752,861.00","37,320,417",1
PCS NITROGEN FERTILIZER LP,30903CLMBN23COL,2022,13245010602,33.426976,-81.932898,"3,986,849.95","4,170,972.95","208,190,221",1
RAYONIER PERFORMANCE FIBERS JESUP MILL,31545TTRYNSAVAN,2022,13305970600,31.6582,-81.8407,"3,823,928.89","43,479,850.92","5,190,728,202",1
INTERNATIONAL PAPER ROME LINERBOARD MILL,30162NLNDR238MA,2021,13115001400,34.253517,-85.329016,"2,542,013.43","16,414,673.94","2,940,807,707",1
INTERNATIONAL PAPER ROME LINERBOARD MILL,30162NLNDR238MA,2022,13115001400,34.253517,-85.329016,"2,282,622.16","15,404,420.70","2,638,206,172",1
INTERNATIONAL PAPER ROME LINERBOARD MILL,30162NLNDR238MA,2023,13115001400,34.253517,-85.329016,"2,268,779.95","14,629,687.63","2,532,176,270",1
GRAPHIC PACKAGING INTERNATIONAL LLC,30913FDRLPHIGHW,2021,13245010706,33.3286,-81.9537,"1,962,979.31","18,855,380.20","1,364,085,857",1
GRAPHIC PACKAGING INTERNATIONAL LLC,30913FDRLPHIGHW,2022,13245010706,33.3286,-81.9537,"1,941,056.42","18,126,257.28","1,414,168,147",1
GRAPHIC PACKAGING INTERNATIONAL LLC,30913FDRLPHIGHW,2023,13245010706,33.3286,-81.9537,"1,766,883.42","18,392,783.53","1,246,360,199",1
