CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
13001950100,Georgia,Appling County,0,3190,1270,0,34,1.07,0,0,0,0,0,0,17.4,68250,1,1,0,0,0,1,0,0,1004,1004,NULL,334,334,NULL,3190,100,1217,38.15,811,25.42,431,13.51,2976,93.29,116,3.64,7,0.22,0,0,5,0.16,86,2.7,104,3.26,76,5.97,183,14.44,3190,100,1217,38.15,811,25.42,431,13.51,2976,93.29,116,3.64,7,0.22,0,0,5,0.16,86,2.7,104,3.26,76,5.97,183,14.44,1004,31.48,334,10.48,235,7.38,150,4.7,957,30,25,0.78,1,0.03,0,0,1,0.03,21,0.65,29,0.9,24,1.89,59,4.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1167,811,431,2976,116,7,0,5,86,104,68,164
13001950200,Georgia,Appling County,1,4530,1631,0,269,5.94,1,1,1,1,1,1,19.4,45669,1,1,1,1,1,0,0,1,3185,4241,3185,1764,2374,1764,4241,93.62,2374,52.41,1163,25.67,436,9.63,2072,45.75,1869,41.25,18,0.4,0,0,5,0.11,277,6.11,378,8.34,171,10.47,345,21.15,3185,70.3,1764,38.95,851,18.8,318,7.03,1822,40.21,1097,24.22,18,0.4,0,0,5,0.1,243,5.37,330,7.29,116,7.14,253,15.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2275,1237,484,2194,2027,18,0,5,286,400,184,354
13001950300,Georgia,Appling County,1,5176,1969,0,123,2.38,1,1,1,1,1,1,29.8,41306,1,1,1,1,1,0,0,1,3110,4555,3110,1764,2536,1764,4555,87.99,2536,49,1181,22.82,673,12.99,3259,62.97,717,13.85,84,1.63,12,0.23,8,0.15,475,9.17,671,12.97,215,10.89,381,19.33,3110,60.08,1764,34.08,780,15.07,407,7.87,2248,43.44,488,9.42,67,1.29,12,0.23,4,0.08,291,5.62,439,8.48,123,6.25,260,13.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3166,1351,770,3749,778,85,12,12,540,768,251,411
13001950400,Georgia,Appling County,0,1476,606,0,0,0,1,1,0,0,0,1,17,50000,1,1,0,0,0,1,0,0,923,923,NULL,260,260,NULL,1476,100,503,34.11,324,21.95,268,18.16,1138,77.1,274,18.56,8,0.54,0,0,10,0.68,46,3.12,38,2.57,36,5.86,91,15,1476,100,503,34.11,324,21.95,268,18.16,1138,77.1,274,18.56,8,0.54,0,0,10,0.68,46,3.12,38,2.57,36,5.86,91,15,923,62.55,260,17.61,197,13.35,164,11.1,828,56.11,71,4.79,5,0.34,0,0,0,0,19,1.31,10,0.69,21,3.47,57,9.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,590,324,268,1138,274,8,0,10,46,38,38,96
13001950500,Georgia,Appling County,0,3864,1493,0,0,0,0,0,0,0,0,1,25.2,47258,0,0,0,0,0,0,0,0,487,487,NULL,109,109,NULL,3864,100,1532,39.64,971,25.13,503,13.02,3328,86.13,197,5.1,8,0.21,11,0.28,36,0.93,284,7.35,394,10.2,37,2.48,247,16.58,3864,100,1532,39.64,971,25.13,503,13.02,3328,86.13,197,5.1,8,0.21,11,0.28,36,0.93,284,7.35,394,10.2,37,2.48,247,16.58,487,12.61,109,2.82,112,2.91,74,1.93,448,11.59,5,0.12,3,0.08,0,0,5,0.13,26,0.69,60,1.56,0,0,32,2.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1759,971,503,3328,197,8,11,36,284,394,49,246
13003960100,Georgia,Atkinson County,0,2077,770,0,0,0,1,1,0,0,0,1,30.9,33203,1,1,0,0,0,1,0,0,1842,1842,NULL,1182,1182,NULL,2077,100,1335,64.3,599,28.84,246,11.84,1195,57.53,548,26.38,4,0.19,3,0.14,18,0.87,309,14.88,387,18.63,75,9.72,214,27.74,2077,100,1335,64.3,599,28.84,246,11.84,1195,57.53,548,26.38,4,0.19,3,0.14,18,0.87,309,14.88,387,18.63,75,9.72,214,27.74,1842,88.67,1182,56.89,540,26.01,228,10.96,996,47.94,526,25.31,4,0.19,3,0.14,18,0.85,296,14.23,371,17.87,67,8.77,190,24.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1334,599,246,1195,548,4,3,18,309,387,67,200
13003960200,Georgia,Atkinson County,0,5053,1763,0,20,0.4,0,0,0,1,1,1,25.9,43462,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,4698,92.98,2544,50.35,1351,26.73,482,9.55,2908,57.56,720,14.24,16,0.32,19,0.37,15,0.3,1021,20.2,1299,25.72,138,7.82,309,17.51,4007,79.29,2110,41.76,1164,23.04,406,8.03,2590,51.27,494,9.78,12,0.23,13,0.25,15,0.3,882,17.46,1114,22.04,116,6.58,261,14.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2521,1503,505,3015,864,16,21,16,1121,1437,124,290
13003960300,Georgia,Atkinson County,0,1245,450,0,0,0,0,0,0,0,0,1,40.4,41765,0,0,0,0,0,0,0,0,126,126,NULL,70,70,NULL,1245,100,697,55.99,328,26.35,139,11.16,1003,80.56,41,3.29,3,0.24,0,0,13,1.04,185,14.86,215,17.27,26,5.69,88,19.61,1245,100,697,55.99,328,26.35,139,11.16,1003,80.56,41,3.29,3,0.24,0,0,13,1.04,185,14.86,215,17.27,26,5.69,88,19.61,126,10.1,70,5.66,26,2.06,18,1.49,109,8.77,9,0.72,0,0,0,0,0,0,8,0.6,10,0.84,3,0.7,11,2.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,878,328,139,1003,41,3,0,13,185,215,29,100
13005970100,Georgia,Bacon County,0,3057,1167,0,0,0,0,0,0,0,0,1,26.8,49148,0,0,0,0,0,0,0,0,288,288,NULL,113,113,NULL,3057,100,1390,45.48,755,24.7,348,11.38,2719,88.94,173,5.66,5,0.16,5,0.16,8,0.26,147,4.81,211,6.9,0,0,81,6.93,3057,100,1390,45.48,755,24.7,348,11.38,2719,88.94,173,5.66,5,0.16,5,0.16,8,0.26,147,4.81,211,6.9,0,0,81,6.93,288,9.41,113,3.69,71,2.33,40,1.3,270,8.82,6,0.2,0,0,0,0,0,0,12,0.39,16,0.52,0,0,8,0.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1324,755,348,2719,173,5,5,8,147,211,0,76
13005970201,Georgia,Bacon County,0,4233,1606,0,135,3.19,0,0,0,1,1,1,28.1,48404,0,0,0,0,0,0,0,1,80,80,NULL,32,32,NULL,4233,100,2290,54.09,1141,26.95,631,14.91,3056,72.19,914,21.59,24,0.57,5,0.12,9,0.21,225,5.32,247,5.84,120,7.46,305,19.01,3417,80.72,1595,37.68,936,22.12,457,10.81,2730,64.5,451,10.65,16,0.38,1,0.02,8,0.19,211,4.98,237,5.61,77,4.77,249,15.49,80,1.89,32,0.75,25,0.6,12,0.28,79,1.86,0,0,0,0.01,0,0,0,0,1,0.02,1,0.03,1,0.07,6,0.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2043,1141,631,3056,914,24,5,9,225,247,100,283
