"cbsa","statefp","cnty","stcnty","tract","splittr","qct_id","fips"
100000,"01","047","01047","9565.00",0,"010479565000","01047956500"
100000,"01","047","01047","9564.00",0,"010479564000","01047956400"
100000,"01","105","01105","6871.00",0,"011056871000","01105687100"
100000,"01","121","01121","0106.00",0,"011210106000","01121010600"
100000,"01","119","01119","0113.01",0,"011190113010","01119011301"
100000,"01","109","01109","1891.01",0,"011091891010","01109189101"
100000,"01","131","01131","0347.00",0,"011310347000","01131034700"
100000,"01","005","01005","9509.00",0,"010059509000","01005950900"
100000,"01","053","01053","9706.00",0,"010539706000","01053970600"
100000,"01","121","01121","0118.00",0,"011210118000","01121011800"
100000,"01","119","01119","0114.00",0,"011190114000","01119011400"
100000,"01","087","01087","2316.02",0,"010872316020","01087231602"
100000,"01","109","01109","1891.02",0,"011091891020","01109189102"
100000,"01","049","01049","9613.00",0,"010499613000","01049961300"
100000,"01","005","01005","9506.00",0,"010059506000","01005950600"
100000,"01","045","01045","0207.00",0,"010450207000","01045020700"
100000,"01","091","01091","9729.02",0,"010919729020","01091972902"
100000,"01","121","01121","0105.00",0,"011210105000","01121010500"
100000,"01","011","01011","9522.02",0,"010119522020","01011952202"
100000,"01","031","01031","0113.00",0,"010310113000","01031011300"
100000,"01","047","01047","9569.00",0,"010479569000","01047956900"
100000,"01","047","01047","9563.00",0,"010479563000","01047956300"
100000,"01","099","01099","0756.00",0,"010990756000","01099075600"
100000,"01","091","01091","9729.01",0,"010919729010","01091972901"
100000,"01","109","01109","1889.00",0,"011091889000","01109188900"
100000,"01","025","01025","9577.00",0,"010259577000","01025957700"
100000,"01","005","01005","9504.00",0,"010059504000","01005950400"
100000,"01","011","01011","9522.01",0,"010119522010","01011952201"
100000,"01","123","01123","9626.00",0,"011239626000","01123962600"
100000,"01","119","01119","0116.00",0,"011190116000","01119011600"
100000,"01","053","01053","9703.00",0,"010539703000","01053970300"
100000,"01","027","01027","9590.00",0,"010279590000","01027959000"
100000,"01","011","01011","9521.00",0,"010119521000","01011952100"
100000,"01","047","01047","9568.00",0,"010479568000","01047956800"
100000,"01","047","01047","9573.01",0,"010479573010","01047957301"
100000,"01","045","01045","0205.00",0,"010450205000","01045020500"
100000,"01","091","01091","9731.00",0,"010919731000","01091973100"
100000,"01","005","01005","9508.00",0,"010059508000","01005950800"
100000,"01","059","01059","9734.00",0,"010599734000","01059973400"
100000,"01","025","01025","9580.03",0,"010259580030","01025958003"
100000,"01","049","01049","9608.00",0,"010499608000","01049960800"
100000,"01","131","01131","0348.01",0,"011310348010","01131034801"
100000,"01","099","01099","0760.00",0,"010990760000","01099076000"
100000,"01","013","01013","9531.00",0,"010139531000","01013953100"
100000,"01","123","01123","9621.00",0,"011239621000","01123962100"
100000,"01","095","01095","0301.01",0,"010950301010","01095030101"
100000,"01","039","01039","9627.00",0,"010399627000","01039962700"
100000,"01","075","01075","0300.00",0,"010750300000","01075030000"
100000,"01","087","01087","2319.00",0,"010872319000","01087231900"
100000,"01","005","01005","9502.00",0,"010059502000","01005950200"
100000,"01","071","01071","9508.00",0,"010719508000","01071950800"
100000,"01","095","01095","0308.03",0,"010950308030","01095030803"
100000,"01","071","01071","9502.00",0,"010719502000","01071950200"
100000,"01","091","01091","9732.00",0,"010919732000","01091973200"
100000,"01","095","01095","0308.04",0,"010950308040","01095030804"
100000,"01","025","01025","9578.00",0,"010259578000","01025957800"
100000,"01","131","01131","0348.02",0,"011310348020","01131034802"
100000,"01","121","01121","0113.01",0,"011210113010","01121011301"
100000,"01","039","01039","9626.00",0,"010399626000","01039962600"
100000,"01","121","01121","0116.00",0,"011210116000","01121011600"
100000,"01","059","01059","9733.00",0,"010599733000","01059973300"
100000,"01","047","01047","9566.00",0,"010479566000","01047956600"
100000,"01","023","01023","9567.00",0,"010239567000","01023956700"
100000,"01","099","01099","0757.00",0,"010990757000","01099075700"
100000,"01","095","01095","0311.00",0,"010950311000","01095031100"
100000,"01","017","01017","9538.00",0,"010179538000","01017953800"
100000,"01","039","01039","9621.00",0,"010399621000","01039962100"
100000,"01","131","01131","0351.00",0,"011310351000","01131035100"
100000,"01","049","01049","9603.03",0,"010499603030","01049960303"
100000,"01","095","01095","0312.00",0,"010950312000","01095031200"
100000,"01","023","01023","9570.00",0,"010239570000","01023957000"
100000,"01","127","01127","0210.00",0,"011270210000","01127021000"
100000,"01","025","01025","9579.01",0,"010259579010","01025957901"
100000,"01","095","01095","0310.02",0,"010950310020","01095031002"
100000,"01","099","01099","0761.01",0,"010990761010","01099076101"
100000,"01","031","01031","0109.00",0,"010310109000","01031010900"
100000,"01","095","01095","0307.01",0,"010950307010","01095030701"
100000,"01","013","01013","9527.00",0,"010139527000","01013952700"
100000,"01","105","01105","6870.02",0,"011056870020","01105687002"
100000,"01","087","01087","2320.00",0,"010872320000","01087232000"
100000,"01","087","01087","2323.00",0,"010872323000","01087232300"
100000,"01","059","01059","9737.01",0,"010599737010","01059973701"
10180,"48","441","48441","0102.00",0,"484410102000","48441010200"
10180,"48","441","48441","0119.00",0,"484410119000","48441011900"
10180,"48","441","48441","0108.00",0,"484410108000","48441010800"
10180,"48","441","48441","0104.00",0,"484410104000","48441010400"
10180,"48","441","48441","0105.00",0,"484410105000","48441010500"
10180,"48","441","48441","0124.00",0,"484410124000","48441012400"
10380,"72","005","72005","4006.00",0,"720054006000","72005400600"
10380,"72","141","72141","9574.00",0,"721419574000","72141957400"
10380,"72","005","72005","4008.00",0,"720054008000","72005400800"
10380,"72","141","72141","9575.00",0,"721419575000","72141957500"
10380,"72","131","72131","0092.00",0,"721310092000","72131009200"
10380,"72","081","72081","9584.00",0,"720819584000","72081958400"
10380,"72","005","72005","4009.00",0,"720054009000","72005400900"
10380,"72","005","72005","4015.00",0,"720054015000","72005401500"
10380,"72","071","72071","4106.00",0,"720714106000","72071410600"
10380,"72","131","72131","9593.00",0,"721319593000","72131959300"
10380,"72","071","72071","4107.04",0,"720714107040","72071410704"
10380,"72","071","72071","4107.01",0,"720714107010","72071410701"
10380,"72","081","72081","9583.00",0,"720819583000","72081958300"
10380,"72","099","72099","4203.03",0,"720994203030","72099420303"
10380,"72","005","72005","4013.01",0,"720054013010","72005401301"
10380,"72","131","72131","9589.00",0,"721319589000","72131958900"
10380,"72","003","72003","4303.00",0,"720034303000","72003430300"
10380,"72","099","72099","4205.00",0,"720994205000","72099420500"
10380,"72","081","72081","9577.00",0,"720819577000","72081957700"
10380,"72","011","72011","8101.00",0,"720118101000","72011810100"
10380,"72","011","72011","8104.00",0,"720118104000","72011810400"
10420,"39","153","39153","5083.01",0,"391535083010","39153508301"
10420,"39","133","39133","6015.02",0,"391336015020","39133601502"
10420,"39","153","39153","5019.00",0,"391535019000","39153501900"
10420,"39","153","39153","5053.00",0,"391535053000","39153505300"
10420,"39","153","39153","5089.00",0,"391535089000","39153508900"
10420,"39","133","39133","6015.03",0,"391336015030","39133601503"
10420,"39","153","39153","5068.00",0,"391535068000","39153506800"
10420,"39","153","39153","5066.00",0,"391535066000","39153506600"
10420,"39","153","39153","5031.00",0,"391535031000","39153503100"
10420,"39","153","39153","5042.00",0,"391535042000","39153504200"
10420,"39","153","39153","5038.00",0,"391535038000","39153503800"
10420,"39","153","39153","5065.00",0,"391535065000","39153506500"
10420,"39","153","39153","5017.00",0,"391535017000","39153501700"
10420,"39","153","39153","5086.00",0,"391535086000","39153508600"
10420,"39","153","39153","5011.00",0,"391535011000","39153501100"
