state,county,stcnty,tract,tract_id_20,split_tr,qct_id,metro,Area_Pop,cbsa,cbsasub,VLIL_4_Person_19,VLIL_4_Person_20,VLIL_4_Person_21,P1,P5,H1,B17001est1_19,B17001est2_19,B19013est1_19,B17001est1_20,B17001me1_20,B17001est2_20,B17001me2_20,B19013est1_20,B19013me1_20,B17001est1_21,B17001me1_21,B17001est2_21,B17001me2_21,B19013est1_21,B19013me1_21,AvgHHSize,adj_inc_lim_19,adj_inc_lim_20,adj_inc_lim_21,inc_factor_19,inc_factor_20,inc_factor_21,pov_rate_19,pov_rate_20,pov_rate_21,qct
13,001,13001,950100,13001950100,0,130019501000,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,3018,0,1238,3156,641,57365,3246,553,746,499,48136,28742,3399,588,820,579,59118,19099,2.437802792,28956,29313,30690,0.504767716,,0.519131243,,,,0
13,001,13001,950201,13001950201,0,130019502010,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,2129,0,806,4454,901,35475,2276,392,306,242,42857,8633,2491,481,441,286,40417,16406,2.641439199,29654,30020,31431,0.835912585,0.700469017,0.77766782,0.202000007,,,0
13,001,13001,950202,13001950202,0,130019502020,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,2159,270,793,4454,901,35475,2221,406,500,244,24008,7673,2238,536,592,294,25508,7865,2.38209343,28764,29119,30487,0.810824513,1.212887406,1.195193648,0.202000007,0.224999994,0.264999986,1
13,001,13001,950301,13001950301,0,130019503010,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,3090,79,1147,5031,1338,38017,2883,423,565,366,44018,22102,2856,515,432,324,46493,26705,2.625108957,29598,29964,31371,0.778546453,,,0.266000003,,,0
13,001,13001,950302,13001950302,0,130019503020,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,2421,0,927,5031,1338,38017,1729,362,564,283,26318,21087,1596,364,546,324,32690,25650,2.611650467,29552,29917,31322,0.777336478,,,0.266000003,,,0
13,001,13001,950400,13001950400,0,130019504000,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,1481,0,624,1674,332,44336,1892,414,337,157,44643,15413,1852,382,339,172,47188,16294,2.37339735,28734,29089,30456,0.648096383,0.651591539,0.645418346,0.197999999,0.178000003,,0
13,001,13001,950500,13001950500,0,130019505000,0,1801928,1300000,NCNTY13001N13001,28597,28950,30310,4146,49,1600,3660,830,41555,3744,596,1196,434,38535,6255,3717,605,1442,570,35921,11158,2.560625076,29377,29740,31137,0.706942618,0.771765947,0.866818845,0.226999998,0.319000006,0.388000011,1
13,003,13003,960100,13003960100,0,130039601000,0,1801928,1300000,NCNTY13003N13003,28597,28950,30310,1924,0,764,2119,535,32157,2342,286,415,189,29603,5264,2214,334,354,197,30268,4595,2.518324614,29232,29593,30983,0.909040034,0.99966222,1.023622274,0.252000004,0.177000001,,0
13,003,13003,960200,13003960200,0,130039602000,0,1801928,1300000,NCNTY13003N13003,28597,28950,30310,4910,14,1763,4648,1374,39655,4469,329,1425,314,43292,9145,4563,389,1532,368,41488,8903,2.777084589,30120,30492,31924,0.759551108,0.704333365,0.76947552,0.296000004,0.319000006,0.335999995,0
13,003,13003,960300,13003960300,0,130039603000,0,1801928,1300000,NCNTY13003N13003,28597,28950,30310,1452,0,537,1433,573,39375,1463,269,491,219,31802,17215,1451,260,328,219,34335,22767,2.703910589,29869,30237,31658,0.758577764,,,0.400000006,0.335999995,,1
13,005,13005,970100,13005970100,0,130059701000,0,1801928,1300000,NCNTY13005N13005,28597,28950,30310,3017,0,1191,2737,683,44022,2869,445,595,336,38056,6505,2699,476,437,224,46202,12498,2.533165455,29283,29644,31037,0.66519016,0.778957307,0.671767473,0.25,,,0
13,005,13005,970201,13005970201,0,130059702010,0,1801928,1300000,NCNTY13005N13005,28597,28950,30310,4176,81,1599,4290,985,46563,4073,432,1171,302,44250,20352,4176,478,993,381,46731,16417,2.560975552,29378,29741,31138,0.630930126,0.672113001,0.666324258,0.230000004,0.287999988,0.238000005,0
13,005,13005,970202,13005970202,0,130059702020,0,1801928,1300000,NCNTY13005N13005,28597,28950,30310,3947,186,1461,3438,818,30863,3395,415,933,311,32872,6183,3583,548,1127,393,29424,3818,2.574264288,29424,29787,31186,0.953374565,0.906151116,1.059883118,0.238000005,0.275000006,0.314999998,1
13,007,13007,960100,13007960100,0,130079601000,0,1801928,1300000,NCNTY13007N13007,29042,29400,30781,1936,0,781,1989,638,27266,2017,230,511,216,32734,16812,1910,222,476,159,41307,18872,2.478873253,29549,29913,31319,1.083730698,,0.758200765,0.32100001,0.252999991,0.248999998,1
